cid,text,time,author,channel,votes,photo,heart
UgxD0I8o6McX-smC4ox4AaABAg,"Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib
____________________________________
►Check my podcast here:
https://open.spotify.com/show/2TCEknmn1VexWXAHLYdcvL
____________________________________
►Check out our new course website:
https://wisdomhatch.com/
____________________________________
►For personalized classes on Stock Market, check out : https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true
____________________________________
►To get your economics concept cleared, you can check Ayushi Chand's channel - she's an Indian Economics Service Officer working with the Ministry of Finance:
https://www.youtube.com/c/AyushiChand",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,40,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMEBLjW6lkSiR68cR4AaABAg,"No, 2x/3x/4x are not multi baggers. 100x 200x 350x are multibaggers and I own three.",3 days ago,Arka Bhattacharjee,UCPGhpEzBQNcUpHTfkINCcgQ,1,https://yt3.ggpht.com/ytc/AKedOLQEyqJQ38SX-cY3XXV80lsdGykhtw1RLRLeJy3inA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzewhRK8Y5zQQRrkXx4AaABAg,Make a video on potential MidCap stocks for long term...,6 days ago,Around A Farm,UC6xBxbGetIkCsEIXfIv2hgA,1,https://yt3.ggpht.com/_HfZr3LZPCTunQh2KpmAGXxK_dZBWqBwINOWF14I6UyH0jemQEik4IuwP4JckqqpJVJQPVlXbto=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKbpXe0AyV3MP-d3F4AaABAg,"Great Akshat, excellent clarity on the investment thesis with the clear risk disclaimer! Appreciate your efforts on sharing the knowledge🙏👍",7 days ago,Vel Murugan,UCj1X9XxRsmbrVXdQ1lyGtKg,0,https://yt3.ggpht.com/ytc/AKedOLQkbmetGFXW6i9h31pcanPMd2uOQnB8lrpSrQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNJnnGttG2Djh1s1d4AaABAg,Please can you make a video over stocks that are related to defence 🙏🏻,10 days ago,Muhet Bulchandani,UCFLZ8Z1DY1kOg0dwcdbu7uA,1,https://yt3.ggpht.com/ytc/AKedOLTQXQvASsP-tPckdps4ullYngKXjpWG9_B8-vHbxYB05rXpnp5EOiRxqQeBXN_R=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmY2SOIWrTh3q32Ft4AaABAg,"How to find the ""rockets"" like JP power ? 😐",2 weeks ago,Hesh,UCoIlq7S89Ip2Da7bQsylS0Q,1,https://yt3.ggpht.com/ytc/AKedOLTyB92f7lm2anJsDR44fDCs7wFhDK4Z95NZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZBvVuhwAB7flz24B4AaABAg,"Hey Akshat. Can you make a video on how to get started with investing for beginners? What books to read, what tools to sign up for, etc.",3 weeks ago,EnglishLearner,UCx71m8AtTzoa-xgDXh2IEkw,1,https://yt3.ggpht.com/ytc/AKedOLS2boP55K-DcnntSic8_LVDgqxSQPOkVlX0pA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzovvgFagJQvNmUbNZ4AaABAg,What about VEDANTA sir?,3 weeks ago,PasuPathy,UCJgG8Djox60VfQPQSOGK74g,1,https://yt3.ggpht.com/ytc/AKedOLQs3f3UDtEoWhaX1Vcfs_6GzhKcm4rClR4Y49qS=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz00YXiYawbXt5dIWN4AaABAg,Awesome!,3 weeks ago,NinjaThug,UCQZyX3NGUVFuLSjzUF81mrQ,1,https://yt3.ggpht.com/BnXhb_COzc03KZYOKXw1bFgVTbQsaHVIc8_tpe5aoLLsS_3ltYMxrGROfAt5mET3iSt_4W5r7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxACYC923ulMrzTMqV4AaABAg,You r harsa bhogle in stock market sir.,1 month ago,D.K. Das,UCTw7PkeSGherstXxJvx0mAQ,1,https://yt3.ggpht.com/ytc/AKedOLT2Tiq2o1L15xwNxDsRZjM6-6dhFf4QjOGKjQ=s176-c-k-c0x00ffffff-no-rj,0.0
