cid,text,time,author,channel,votes,photo,heart
UgyX-0qeVfjYmfAsaCB4AaABAg,"►If you want to look at some good courses, you can check out Upgrad:
https://bit.ly/3oFDyyr
____________________________________
►For personalized classes on Stock Market, check out: https://wisdomhatch.com/",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,11,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxC8nDtfwMka-GdmQF4AaABAg,"Stung by 2008 crash at a young age, I maintained distance from market and put all my savings in PF only, which gave a 'good' return of 8.5% initially and helped me raise a certain corpus. Now with changed environment in 2021, I re-entered Stock market with some homework done, made some positions and now I'm getting the opportunity to shift that accumulated PF money into stocks. 
15×15×15 opportunity somewhat lost but still I am happy to have some corpus to make a good portfolio.",1 month ago,Maneesh Solanki,UCRGAnC4IT20MmD3os-928HA,1,https://yt3.ggpht.com/ytc/AKedOLQoABMZ0baHHskV7bo0e6K-jsFFMAIMuVe2bQcRSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxedS-HgS0DDufsgkx4AaABAg,60 years of to earn 5cr is a big challenge for me ! aside actors taking 20cr for 1 movie/6months 😁,1 month ago,sudhir 6199,UCUqKObDODFLjeqf0BVAgJbA,1,https://yt3.ggpht.com/ytc/AKedOLS5BL1PXxc7UuCTCaQiuXq7SjySRpdWioHFSV3FqQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrtUCMFmkwK4XCC-B4AaABAg,🧡🧡,1 month ago,shubham bansal,UC-47wypM99xkKDxVrvghHSA,1,https://yt3.ggpht.com/Vd5d3EcSPHCAZfOw2Ilz1jrH2yfIESxShEcIVhaQ7uxzGXaWU0tftoB7xRc7Pgn3wcLR7_nsfQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyl_SwglpOcJvEQun14AaABAg,Hey akshat...Indiabull housing finance Stock has fallen 10% today...what should we do with the stock ?,1 month ago,Redmi Purana,UC7sjJr8DAhVwjNCdacsVBZA,0,https://yt3.ggpht.com/ytc/AKedOLSUTX3RVH4QHi6bTl9gHXkDOTTSa7mj0S9WpA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAdlpZ7V_hjv8sCul4AaABAg,Hey Akshat i have no words to express heartfelt thanks for the valuable knowledge you are imparting to the mass. Plz keep sharing your scientific views on finance and skill upgradation opportunity. Highly rich content you are producing keep it up. Thanks a lot,1 month ago,Abhinav Alok,UCILltvopt0i2eHpW6IUnltA,1,https://yt3.ggpht.com/ytc/AKedOLQ9idfsN1WXm98wsqpQSIayZhE2fav6-7I9Rnaa=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnWRYa3CkDOGmwLdV4AaABAg,In 15-15-15 rule monthly 15 thousand will not be the same you can increase the amount later.,1 month ago,Abhishek Titan,UCKnyw74BDSueFAaS9HM25RA,1,https://yt3.ggpht.com/ytc/AKedOLREipP_oHwPauOH116bw2VUJUekvX1UFMA00RHf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyb-TQYKOzh6FqsQm94AaABAg,Most people who are gold investors enjoy massive returns after analyzing and forecasting geo political conditions. Personally I was quite successful in this during the inception of pandemic where I pulled 76% of my money from stocks and invested that in gold. Just pay alot of attention to the EXIT STRATEGY.,1 month ago,Ahsan Iqbal,UCJlUuvPVBGOvFXOPUT7gXNA,0,https://yt3.ggpht.com/ytc/AKedOLTGDd6O2Aen_vg4H7qxq6xz7JJmD3NuNqAJCw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqqCbTsiPOqCXSTht4AaABAg,"I don't know what logic you're applying with Gold CAGR being 5-6%.
Everyone in world says it's around 9%",1 month ago,ARMWRESTLING NEWZ,UCdCGMR_8NeATGsFTms6m5Ag,1,https://yt3.ggpht.com/Uxy_U7DqJFtuAP3DDZro5t-Q_s2cxNfq-LVJOZU_ib2G6656EeScY53bEa7rT3HmWaYdRBRG3g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw22Yoo0CvWINyW2L54AaABAg,"Sad to see scamster dev gadhvi's stupid ad popping when playing this video.
Why has not YouTube got rid of that Rascal yet?",1 month ago,Alok Y,UCwKDUhKF9pb-3fkiPsXqRxA,0,https://yt3.ggpht.com/ytc/AKedOLQtQZDBdI1Whvq9Crybb35ddo7PIDR8Brs4QQ=s176-c-k-c0x00ffffff-no-rj,0.0
