cid,text,time,author,channel,votes,photo,heart
UgwekjPZIJgm2G1pOR14AaABAg,"►For personalized classes on stock markets and cryptocurrencies, please check [Last few seats left for March batch]:
https://wisdomhatch.com/
_____________________________________________________
►To learn more about blockchain, cryptos and NFTs, you can check out Zionverse:
Discord Link: https://discord.gg/zionverse
Reach out on Twitter: https://twitter.com/thezionverse",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,6,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUmu797dgFNYS2uqJ4AaABAg,"Todays word Somber Means depressing, Uncheerful",1 month ago,niraj mohite,UCW3mp_ITYWfPCtgCWfVnT0g,1,https://yt3.ggpht.com/ytc/AKedOLQINhtwNtp60L16R6XsTaNKf7tHi8_ECxvdcxyq=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwg2y2W4PlXfGEEeOV4AaABAg,Please make a second video on this sir 🙏,1 month ago,Abhishek TMR,UCOrdQGKgu3idNHAVNxxAqQw,1,https://yt3.ggpht.com/ytc/AKedOLTUqr4Z9e_zhB3XGKP4d8OHnHWvsftALvuguARANg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyj0TNW9xm-FTnUo0F4AaABAg,"""Anyone who is not investing now is missing a tremendous opportunity.""
Imagine investing $1,000 and receiving $8,300 in  2 days profits.
Ms Rita Matt is the best.🇺🇲🇺🇸🇺🇲🇺🇸",1 month ago,Trisha White,UC2d0f34D4PEGc2STJgW4qgA,42,https://yt3.ggpht.com/ytc/AKedOLR0k5WJILEWo8RCJYcM2TiR6Z2V2MzPy7ipHX--=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwfg-I6UuyfzD7bnD14AaABAg,How to invest in gaming metaverse,1 month ago,just free,UCNqXsKQp-beOMHRDdkqIQFg,1,https://yt3.ggpht.com/ytc/AKedOLTfphQXLlxu5oZerIyRN-f6sbZIJtjWTH_STKTbzw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfOzUMY5-oaDZjxOB4AaABAg,Polygon chain means,1 month ago,Piyush Gour,UCi2U-mbjS-13rYpnYlmLINg,0,https://yt3.ggpht.com/ytc/AKedOLRIfEjjR6i7XrgnK3hddYhjV5idljySsiWCh7GdWA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgqAWxRjt_ZnaPRbJ4AaABAg,"NOBODY BECOMES MILLIONAIRE OR A BILLIONAIRE'S BY WORKING FOR OTHERS AND DEPENDING ON THEM, GOOD INVESTMENT BRING MILLIONS OF DOLLARS, AND CONSISTENCY BRING BILLIONS, THE MARKET IS ALL ABOUT BITCOIN AT THE MOMENT NOW.,",1 month ago,Sherrie Lynn Snyder,UCYF9ArcouU8AuOLrM9iD8-w,65,https://yt3.ggpht.com/ZbFVkKyG-icph9u2zXs6L9YbCbtM3HBb-un9V4HNRSpcuVFXohUI7CaiO_hVp_wpqELom_RRelM=s176-c-k-c0x00ffffff-no-rj,0.0
UgweChpJWi9rQn4mmgV4AaABAg,"Wow ,what a video, missiles fired one after other in last part ,superb",1 month ago,ashish anand,UCyYknyjFLu4P5bUfjoMiTpw,0,https://yt3.ggpht.com/ytc/AKedOLQQMFDL7-rOU1vyaYbbnfXSTh1H8EY3bARwow=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAC2vTWnuTQVTl_pB4AaABAg,No more Ex-CHILD? 😀,1 month ago,Abhinav Srivastava,UCc4aixb2jSg-6G6tL0K9m2g,0,https://yt3.ggpht.com/ytc/AKedOLSiLtliugawkBqOV7qTcxo-Avyr0V-BJ5LKC_INmGk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcAfe8qBAxFzNnFcN4AaABAg,i bought palantir roughly 6 months back and i am sitting in a loss but i am slowly aggregating some more,1 month ago,Surya Raya,UCTO-VwitKdmjePT0DFslPrQ,0,https://yt3.ggpht.com/ytc/AKedOLQYsuVSeiA5Tyu2EBahp8POwcuZhahke5vulw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2U935K3sfvcW6NYh4AaABAg,can you stop with bitcoin if you don't have content please dont make one on bitcoin.,1 month ago,Karishma Shivlingkar,UC740iZzMhz89__ZwAkZB8HA,0,https://yt3.ggpht.com/ytc/AKedOLRWlXKuGysLl2r8YRvKPO-CEM5XZoogLxmVa2pVzfw0nkNK7C-JFyQW5GcEfKta=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjK6gbBu9pj0g109p4AaABAg,Somber : having or conveying a feeling of deep seriousness and sadness.,1 month ago,singularity,UCGajC1aEISOsmXpaIakEfKw,0,https://yt3.ggpht.com/ytc/AKedOLQkorMHItippycbnAvzIkJy63bj9J0BpyJVtRfmUg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_-nhO2Y6GxYedUPd4AaABAg,even NAS covered about Axie Infinity,1 month ago,baldy,UCBlPNbu2DqwqZe8sMCaKpjg,0,https://yt3.ggpht.com/ytc/AKedOLRAmN8ugRdT7loEusfZgeEHU_yJIyTBfh88I6t-tg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZKP_9gx9H1drY0EN4AaABAg,Vguard gone 😂,1 month ago,Lakshman Ganga,UCfIhKkEVy9lLkspSZ-qfkxA,1,https://yt3.ggpht.com/ytc/AKedOLQTkmNhyFv9X-fhfd6L_6IpdtffyZ0C__yjiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHciwsGoWqGBQDvOF4AaABAg,In every video you should add a summary slide.,1 month ago,rhishabh singh,UC45hnyQ578HNOkwPBAgKk3w,0,https://yt3.ggpht.com/ytc/AKedOLSxkABq_8B-oI0iZhiL5Wyu8XMfNRwd_qonHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjtZfHnMkKHvLKryp4AaABAg,Sir why are you obsessed with Bit coin ????,1 month ago,VINAY JAIN OSTWAL,UCiVqU9HIq_C2sACxuNHvBRg,0,https://yt3.ggpht.com/ytc/AKedOLTnyYfiTWP53W-R4n0-9WH7XwiU5TMB0lM7sA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzdwUAlNzwF_W03Rp4AaABAg,ICO/IGO or UNLISTED STOCKS kaise purchase kare iss par video bana do kab se kah rahe h aap se,1 month ago,NISHUGARVU,UC_-jA1RO9p307vTIVnXEztA,0,https://yt3.ggpht.com/ytc/AKedOLQuGHv7fEcT0FPgZym7-KKE9JlW1EtN2__YhjuGxEU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRAQO7nypbiJvWBOF4AaABAg,"$76,000 in two weeks 🥰",1 month ago,Lian Chose,UCNwhirrmWeOpH9Op8XOccYQ,21,https://yt3.ggpht.com/jnTF-hqin3nMOzgDLX953VIlhUiGDcbXvzPDoFpx6mnKJvqCiSxgx0IvI6YNz9aBSHxQTTzC=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyvdbdx_8ICHs87IBJ4AaABAg,"Hi akshat, It would be lovely if you uploaded the crieteria of the bitcoin functioning for example such as what are the parameters which detrmine the fluctuations in bitcoing like shares.",1 month ago,Abdul Rahman,UCKK2JHfj-660YeMZ-a-BtYg,1,https://yt3.ggpht.com/ytc/AKedOLTjS6FasaS-Hv3BpeSsKW_iSo2GwBM5w61ROsqf3g=s176-c-k-c0x00ffffff-no-rj,0.0
