cid,text,time,author,channel,votes,photo,heart
UgzduxDEmRSt116T0954AaABAg,"►Do check out Zionverse:
Discord Link: https://discord.gg/zionverse
Reach out on Twitter: https://twitter.com/thezionverse
_________________

►For personalized classes on stock markets and cryptocurrencies, please check:
https://wisdomhatch.com/",2 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,32,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKfBGg5V9Om6fpftl4AaABAg,❤,1 day ago (edited),aalok0123,UC1Kn31qPdpo1B73KS4BsfhQ,0,https://yt3.ggpht.com/ytc/AKedOLRPkpfXdI7yfbiePzirgC0-V3Rc03ymRGTRpDwUbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUs55dulfFfnXo7eF4AaABAg,"U are excellent 👍,I really understand s crypto now",3 weeks ago,Jaswinder singh Sarao,UCtd1S9Kx5o2pE4HRroNcZ6Q,0,https://yt3.ggpht.com/ytc/AKedOLQX09reoy-taOrpyLXkbX834bOefrsRNc7DdIWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLjwz-Updl52niU8h4AaABAg,sir can you review tata aia param rakshak plus plan,1 month ago,Piyush Singal WEDS Kanchan Gupta,UCvpcwL8muKbouM1LId8cBGQ,1,https://yt3.ggpht.com/ytc/AKedOLSc1N1YjZg_25jzmICw7aVjwdkfbx8tS13X7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHp5-pAfKcFUbyOHZ4AaABAg,Please update the background 🙂🙂,1 month ago,Money Motivation,UC9_003tk6aDWy4xdV2YbERA,0,https://yt3.ggpht.com/ytc/AKedOLTavEsMvS9pVh21yKqhyK_nfe_T6bDmbmkgKybq=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyrsBpCpqg3X8KJeZ4AaABAg,"Very nice video. Can you make a video on NFTs specifically? How to invest, which platform etc",1 month ago,Sunny Bhalla,UCeJsHklV2E7EaHS_VcTrKbg,1,https://yt3.ggpht.com/ytc/AKedOLTU_VgK7gyLblzFg7LyMr2Pc-brRocob94AjjOz=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcNsaytUMOYM2J4T54AaABAg,where we can invest in these blockchain companies,1 month ago,Apurv Tripathi,UC3nElHKuMUEEdEuO6yYsnKg,2,https://yt3.ggpht.com/ytc/AKedOLT_WS-6YUW7X64tQ0Zmfw7VHXGRRHJwa5V4CmdDYNY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4Duf16xoRalEaWod4AaABAg,PLEASE PLEASE PLEASE SUGGEST SOME NFT COURSE,1 month ago,Now what Harsh,UCf_vGQPD8mzfKgMNUMAfkfA,1,https://yt3.ggpht.com/dqBnK7GUo37fBKS5SYA6wEA73BUt336IqMdrhwrbXHsmAPPL575-_pCptVLmqkGkQo1UefRPdSo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3SiXeWcRHouBEZNR4AaABAg,"In 2018 xrp had a market cap of 100billion$ because they said that transaction cost was 0.0001% by using xrp.(ripple).
In 2018 Btc cash,neo,gas,vechain was considered as future 

In 2022 xrp is irrelevant. All other coins I mentioned went irrelevant.
Akshat please don’t get into crypto blindly because this market has been extremely cluttered and has no bound.
Anyone can call himself an innovator in defi but they r not producing anything.",1 month ago,Film Probe,UCrTtvp6_j93cyHzzoFaorew,0,https://yt3.ggpht.com/ytc/AKedOLQ86d7Utevh6vrti4-uU0foeS_6b2ogPE42Q5LxvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUDGtLXt_V3drB7yl4AaABAg,"XPR and MTV is goona be massive, xpr has no transaction fees and mtv can scale upto unlimited TPS",1 month ago,subhasis M,UCU89zLM0__2pHGQaKkixAXA,0,https://yt3.ggpht.com/ytc/AKedOLTa3HFWct3X1a8IyOekwIv9O2EmTsJ5grHO2Z1GCA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyfh0pGbJ6wVLEGeiV4AaABAg,Very insightful inputs,1 month ago,Abhinav Sharma,UCKiy7kv_MuvDpuEZDlF3wTA,2,https://yt3.ggpht.com/n8u-EBBbNNyfYCRlLO4wg4Xj2RQ-ioU514t4UWR6ciB8Yvq2nwe949_wvsXz35gaSPPYbzYy8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwV065bG7D2mnlZtgh4AaABAg,Such a misleading title !,1 month ago,Roshan Tated,UCqDgYFPCV4yCMQ5mIcXDD5Q,1,https://yt3.ggpht.com/ytc/AKedOLRqR6-9dplPlC93o89yH6iQj-iJFl-M83oxdlVcQQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5EarZdCBNgqM8wTh4AaABAg,Pls resolve the Vauld platform issue. Our money is stuck from long time now.,1 month ago,Puneet Praveen,UC3x4QFa23XuTY_Zt9DQzyug,1,https://yt3.ggpht.com/ytc/AKedOLTLMApv5EuQDUyG2HI6m80Y6wTl1fVIcVdY1xMATv4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3ma8AkvWv_o5ztct4AaABAg,"I just want to wake up one morning and find out that my portfolio is filled up with the sum of $1,000,000... Can someone tell me how to go about it?",1 month ago,Ryan Scribner,UCU-t0_7fgt9Vwj1NkpsQ6bQ,20,https://yt3.ggpht.com/ytc/AKedOLSW7p73WnCi-HupNPlHWbcDLhXtvh8zYlUCj0Nf=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtJEIlsz5T_84sDcd4AaABAg,Polygon Matic,1 month ago,bhavesh Dewangan,UC06BumGiV7_11d5CFOgDDjA,0,https://yt3.ggpht.com/ytc/AKedOLTo5XkR35CTbPDCijSTDUKiP9eQYq1CyF9E1a41CA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdOUhV-K114t4bTAR4AaABAg,You should be in Shart Tanks,2 months ago,Anil Rawat,UC7ghBxwNdC_7GsJjx1lKQbg,2,https://yt3.ggpht.com/ytc/AKedOLQio1oRV_TK0LTefnmqloEmkUg1KGZ6-4lRaKxN=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxmg1cOHCZh8dUF96p4AaABAg,"There is no value shift happening from big tech (Apple, Google, MSFT, Amazon) to these decentralized companies. Someday if crypto, NFT, blockchain, metaverse etc becomes a technology from where stable and value based returns can be made, these big tech companies will absolutely crush everyone to become market leaders in them. So the safe bet is not to invest in volatile things like crypto, nfts etc. Just stay invested in Google, MSFT, Amazon, Apple, Meta etc. In the dotcom era, there was a value shift which happened because internet has probably been the biggest value add in human lives in the last 500 or so years (in addition to critical vaccines and antibiotics), so any company which had a huge vision based on internet(like Amazon, Facebook) or companies who were smart enough to see that change (MSFT, Apple), made a lot of money by building and using internet. There wont be any value shift which will happen from these companies unless there is a massive advancement in AI which these companies fail to see or monetize on (which is highly unlikely), as they are also the market leaders in AI.",2 months ago (edited),lakshay kaushik,UCAsdbKGdKOhkgC3ID4B25ww,0,https://yt3.ggpht.com/ytc/AKedOLSamn6N0eD8kdFJIVkZIoUAen-oCSkKcNZnoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTqNn1dX2AvF__Q0t4AaABAg,Please make a video on jp power,2 months ago,Chef Bhubaneswar Chatterjee,UCirapAq2aO9wR3m4-7-Dt7w,0,https://yt3.ggpht.com/ytc/AKedOLRkzLFnWRgiyCtYFEOfPMJeTYAK8wRes1fWZA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3ahJOMx8HjFHMvyB4AaABAg,Are you still holding CAMS ?,2 months ago,farhan sheikh,UCLvTxmkw2NjD15ZR7D6otJA,0,https://yt3.ggpht.com/ytc/AKedOLRCinGgHIZaJnWbWtLCwkQf4OiDs4-5gzE7wqxB=s176-c-k-c0x00ffffff-no-rj,0.0
