cid,text,time,author,channel,votes,photo,heart
UgysthPiPQzrShaYVLh4AaABAg,"►My upcoming LIVE course on investing (batch starts in March, last few seats left): 
https://wisdomhatch.com/
_____________________________________________________
►Check out my curated list of audiobooks on KukuFM!
Use the Coupon code - AKSHAT50 for a special offer ( Valid till 22nd February )
https://kukufm.sng.link/Apksi/0oz0/lzdt",1 month ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,14,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyh1wdcDRAkmQTkxZV4AaABAg,Elon Musk is like Jesse levermore .,4 weeks ago,faran baig,UC1iUZUYxwoRHkKFs7VXJt0Q,0,https://yt3.ggpht.com/ytc/AKedOLRbJ55hP7GatLL4N7h6k9jGVy2Kk635BQqqzQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJUbVB7PlADGndKuN4AaABAg,"I was able to build a huge income stream during the COVID-19 pandemic investing with a professional trader, Mrs Miriam Kojnok",1 month ago,Leron semendo,UCprwgMcr7uqM62RNcsRmomA,2,https://yt3.ggpht.com/S0i133Xq_7_9T9NR3A2zx9r3iBCdEOGpo1nyvcoBZBidjmHhpVfRqVfySRhZpQ6iMfB6KwTn=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMr5Vlspw6pEOGSoZ4AaABAg,Ferrari guy:this is my gully,1 month ago,Adil umr,UCTeStAX7_GEhce31PtMkP0g,0,https://yt3.ggpht.com/ytc/AKedOLSrlMf6_956ZqVCcDFJs1fcpNQZ2sKJDxzufw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrIZVqSdw36hiyT654AaABAg,"I must say that knowing you is my greatest achievement in life, i receive my profit $10,000 successful, all thanks to Mrs Linda may God keep on blessing you.",1 month ago,Odunayo Oselayo,UCOBKWPxpJwhDCc5VfFwmLgQ,22,https://yt3.ggpht.com/j1xwQjaXpZSPbKO6Fe5NaYEhzFZbC5NZUz8KD8mbiWy26P71ONOppiaR58e7grlQLbj6InUvMi8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5VKCXoCXhgAFLLiN4AaABAg,"Ferrari guy, 😂😂 got it",1 month ago,Meeth Desai,UCD5C_FXlETysRrXL9aYXhTw,0,https://yt3.ggpht.com/ytc/AKedOLR8OicaEFfVasagu1Ec-XT9lQ52Ofo24XAzSD_vWw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-5RQnvtKIWWvcPaN4AaABAg,Your content is great but reduce it to a weekly or bi weekly content instead of daily. This way the content deeply sinks and you would also have time to see the responses.,1 month ago,Karthik Raj,UCgQN297LDu0B2SiKej7Kb6Q,2,https://yt3.ggpht.com/ytc/AKedOLRzerImNtDtXYRwoVARFej2P96kRkOupcuaFQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8kIxe2yGNjFpMDTR4AaABAg,"Nice content. To me, trading the stock and crypto market is way better than any online investment",1 month ago,Sophia Miller,UC12le3DEn6KL2lzrV2qBTkw,183,https://yt3.ggpht.com/EpK2qN0hkEqlTiDtPcjfmVlkLjw6u8L8RL7ev93_pQxaVdVe1IhH_vOeV1sRuy_UGakJ5TmjPg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRLZZFQoSoIDtfjnl4AaABAg,"I realized that the secret to making a million is making better investment. I always tell myself you don't need that new Car or that vacation just yet and that mindset helps me make more money invest:ng. For example last year I invested 70k in blue chip stocks and crypt0 s (with the help of my advisor of course) and made about 380k, but guess what? I put it back and traded with her again and now I'm rounding up close to a million. Delayed gratification always pays off",1 month ago,Wedson Olivia,UCOzM258Ga3lZh0ngZhes_yw,495,https://yt3.ggpht.com/ytc/AKedOLRRNYT9-yX-JPhvMnYm-1JggZ2aznGuC_9djSOFgA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQgAjLPhtaOEYwSIh4AaABAg,"09:00 Red Ferrari Guy! 🤣🤣🤣 
Dev Gadhvi Scam is even bigger than MLM scam",1 month ago,Grow With Lakshay,UC9kEJvDcuSfEijQCPFFZI3Q,0,https://yt3.ggpht.com/ytc/AKedOLSo6nrM1HCt9yruN2XuFc8Tvvsit9QmRJb0ZXBQ=s176-c-k-c0x00ffffff-no-rj,0.0
