cid,text,time,author,channel,votes,photo,heart
UgyHwJ1KDXQmiGtBT6Z4AaABAg,"►First 250 users shall get flat 50% off on Kuku FM's annual subscription - Use the coupon AKSHAT50
https://kukufm.sng.link/Apksi/0oz0/lzdt
_____________________________________________________
►I teach about stock market and cryptocurrencies on my course, you can check it out here: 
https://wisdomhatch.com/",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,15,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2MX3nglLjf2NAO-J4AaABAg,Not quite understanding the dApps Shopify example.. could someone explain the problem?,3 weeks ago,Dwyane Isiah,UC4PNaybkE4Bt_lDY_0alHrQ,1,https://yt3.ggpht.com/ytc/AKedOLSMzRj4NcZStjC65u_4Cv2KRhoq1R3vyfIigVws=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKlY7t7ffy6iYXHbB4AaABAg,Sir I want to learn web 3.0 digital marketing ..which trainings I need to take?,1 month ago,SADHNA UTREJA,UCRDz-tJXl-K7uCDeE2Fk7kQ,1,https://yt3.ggpht.com/ytc/AKedOLTDiMOYi1MvDD2zVuEqxAFnozdfSzgGFBZOjg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwM7cIaQpxsbuC_CbF4AaABAg,Speak Hindi...,1 month ago,World Die very SooN,UCh3DK4zC-lZcTemL3Qibsfw,1,https://yt3.ggpht.com/9H6y-qX1MNckxnpLgYiVQtHJRG06s51rnZKaGMiD-PdkFR4Ll-U4vKm0k81YgiZ3s5xqLf6L9AM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3JjSzeWkzJ7x-RWt4AaABAg,"Also in general perspective.
There were more number of jobs and running buisness before 1.0
Fewer after 2.0 
Will get more less after 3.0
And at last AI - u can all go to sleep ...
So I believe this is our last chance to really cash in, have to work very hard and be financially independent ASAP..",1 month ago,SOHEL Rana,UCjD0-zbs32hy4fMuLceI5lA,1,https://yt3.ggpht.com/xogUlqT6n---sjTnIe3RGT71LZx8wFLu4ujvGf1qyhkSRtXnN8xhBhFgJbxnsd3eEBrjQ_cpQ3I=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVX-Ub5Tl-v2A7LQx4AaABAg,"@Akshat Shrivastav this video I felt like watched previously from Silicon Valley Girl. (Profitable Business Ideas for the Next 10 Years | Crypto, Blockchain) published 9th Dec 2021. 
It may be coincident or inspirational I""m not sure however better use different examples incase you inspired. Good Luck.",2 months ago,Madhu B,UCVYq5SL8hoMqntOuFe3XISA,1,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
Ugww7HqdXb3Y3PaEvyN4AaABAg,"I'm going to start AMC Hedge fund.
plz post regarding this",2 months ago,Faique Shakil,UCGE_U8ji5zOabq1TKlB-1tQ,1,https://yt3.ggpht.com/ytc/AKedOLTtgZ8BOHG1IbJqjvVmCl8ynBBpMBNvddQ_8OpzUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMsGmpTk1qS6YkYPZ4AaABAg,"Akshat, how much knowledge you have! Impressed!!",2 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,0,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyokHCwz5bvM7FnPKN4AaABAg,can anyone explain in detail about   shopify for dapps!,2 months ago,pardha saradhi,UClDXIzyHyR2lHVGORHZ4W1A,1,https://yt3.ggpht.com/ytc/AKedOLRmzVWYfouHYPbq-1817MuaCBBvYckfRns6TwtIJA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuLmv_RJze2n_VCfJ4AaABAg,"IDEA IS-buying nft from india,it's  big process like convert to dollars,bitcoin .idea is make an easy process like instantly buy nft",2 months ago,sricharan,UC_AoIlHWP_pn7i2KID2SgCQ,1,https://yt3.ggpht.com/ytc/AKedOLRnQjHKABEOS4ROeWsW-ejkVaV_QfiWB4xSxepOaMM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiEJrhnopTs9jmV314AaABAg,"I can learn blockchain technology,but without any experience can I get into freelance.",2 months ago,sricharan,UC_AoIlHWP_pn7i2KID2SgCQ,1,https://yt3.ggpht.com/ytc/AKedOLRnQjHKABEOS4ROeWsW-ejkVaV_QfiWB4xSxepOaMM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7PtiLv_rbx5pxHp14AaABAg,Loved the video. How do I write to you?,2 months ago,Aditya Lad,UCjN3jhDh3GvHFg-kdIvsKlg,5,https://yt3.ggpht.com/ytc/AKedOLTUFNUBBuWuwc5lD9WboHALWfhyrYBhYWLgwg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyvtlr04ttaTx-V7AF4AaABAg,Make 3.0 Video please,2 months ago,663 20 Navneet Sharma,UCLRfRXOSPzYL_S0pqNXS09Q,1,https://yt3.ggpht.com/ytc/AKedOLSoI_TiNh-tICubAyRqBJG2gtcQQhGeOogx3RZ5k3k=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2YgXbu9s7zICtHuN4AaABAg,How will you get 774 K subscriber in just 1 year ?? 🧐🧐🧐🤷🏻‍♂️🤷🏻‍♂️,2 months ago,rahul,UCdcolRMsC_6qICvDZQNRFsQ,0,https://yt3.ggpht.com/ytc/AKedOLQ8quiEJGDe-TYamC5Fzb1aa9DjAIncANlgGDoNtg=s176-c-k-c0x00ffffff-no-rj,0.0
UgztXm-1p_WXIcG8TIB4AaABAg,Very good,2 months ago,Doctor jignesh talavia,UCv_3dyXy-z_XOBSj0EhDj-A,1,https://yt3.ggpht.com/ytc/AKedOLRcXP5-FBXr0VMXc-SNr0-tdr-SkpvIH6VhjyG5XxPvk8XAG7cpgwXshtxd1h3Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxxl-fxRSaEJkoDRdd4AaABAg,"Good morning suggestions please - On the topic of integrated apps - we can create a wallet on DAPS which can function like Metamask but the problem would be individual or the data subject never gets to see document like medical records as hospital never shares, School/ colleges never issued the LOR's and performance reports are difficult to take out of intranet as mostly companies treats it as their own data even thought its not their own data. 
To integrate and to save  the data in his/her wallet data needs to be available. I guess this model would work perfect in the EU and in the UK where GDPR is strictly followed.",2 months ago,Ajay Chhettri,UCX2HXCq687Uq68kY3ggS4hQ,1,https://yt3.ggpht.com/ytc/AKedOLRYIJPXIJvlh7qj9OazQ5KpTTWyI0JrGhjRRjd-uQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaRoGgyOPE41knakh4AaABAg,This is great information. One of the best videos of 2022. Am a software developer moving into the blockchain space slowly you gave me a lot of ideas thanks.,2 months ago,Abdulazeez Sule,UCfEOV1f4siBQlO8qKkhKwQw,0,https://yt3.ggpht.com/8ORxb-Evu1Xm35-7WhbeagjmAfHIvuuN9rjRI-KK-FnfpElG0uGASsPY8W42wSSAFMFpP_ISLzE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSjKH1emk3vV2WA294AaABAg,"Thanks 
This is 🔥 content",2 months ago,Anukriti Tripathi,UCB46zach3VvAT6ZFbv3tNYA,0,https://yt3.ggpht.com/ytc/AKedOLRwiL-YbOCbwG0yxubOYE9eHRtQVgFXS6Xa=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFrN5Ba0NT-YcfMAR4AaABAg,"Hey Akshat, I follow your videos a lot of times. 
I want to develop some DAPP for you. So with your financial knowledge it can help us build something concrete and scale the same.",2 months ago,Akshay Parab,UCmSEPYrzxu86gQCUQZkeD9g,1,https://yt3.ggpht.com/ytc/AKedOLSTxH9djBxR0kFoIPS4wvjNDXksGRqVJRPuljrabA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzHNrQySv5fzGWdEh4AaABAg,This is some GOLDEN information. Really happy to support you Akshat,2 months ago,Aaeush Singh,UCzcsGLs8lHAh7huOgEU9W9Q,0,https://yt3.ggpht.com/ytc/AKedOLQ0GYlcmvx-b3_ZNzfLqSbfPVUj5G-gnPhnIBZIEQc=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHwJ1KDXQmiGtBT6Z4AaABAg.9Wwpvir-AQ-9Wwq-mf5tez,Bruh that was quick,3 months ago,Atharva sabde,UCAoyqZqON_m8ErbS89vAs6g,1,https://yt3.ggpht.com/ytc/AKedOLTY5QDXFl-R7m_Lb22-SxrY8_4hC_u0g3mJHkK5fA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHwJ1KDXQmiGtBT6Z4AaABAg.9Wwpvir-AQ-9Wwyiqxo01K,Difference between zerodha and Angel one how to buy stock otherwise,3 months ago,Anil A R,UCfRhKQ23N_EKdU65hwCnZYg,0,https://yt3.ggpht.com/ytc/AKedOLS7yd1j66VCKwY1j-6xKiBBrn5gqPtpQBV95g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHwJ1KDXQmiGtBT6Z4AaABAg.9Wwpvir-AQ-9Wx5tL753mi,How do i see the list of books recommded by you as the link leads me to the premium subscription page which i already have,3 months ago,Rohan Chandran,UCaidBOEnQBbvKrVtA8CNY8A,0,https://yt3.ggpht.com/ytc/AKedOLQA64fCGCOGlrkOtbWVDaIuduTkV7ObFsnqpP8CPw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHwJ1KDXQmiGtBT6Z4AaABAg.9Wwpvir-AQ-9WyUTPnR64z,"Hi Akshat, I have completed my B.Tech from a teir-3 college and having salary of 9lacs, I want your views on investing 5lacs in online MBA programs by Upgrad and continue earning along with that Or leave my job start preparing for CAT and invest 25 lacs to get into tier - 1 MBA colleges in India, according to what would be correct ROI strategy and would request to put your views on FRM. 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",3 months ago,Love Kumar,UCfiG1zmu8X4w2NzIlyv2lCg,0,https://yt3.ggpht.com/ytc/AKedOLR2Gph62zjA3l6SO_T4HTDI1usJdu-PgdKDHA=s176-c-k-c0x00ffffff-no-rj,0.0
