cid,text,time,author,channel,votes,photo,heart
UgySxsRtBbyrlMyhWqB4AaABAg,"►Get 50% off on my Business Analysis/ Management Consulting course: taught by me and an ex-Mckinsey consultant: https://wisdomhatch.com/management-consulting/
_____________________________________________________
►Check out Wint Wealth if you want to explore bond investing:
https://www.wintwealth.com/referral/?affId=AkshatS",8 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,11,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgykMFVeAnnn23xAuzp4AaABAg,Crypto is the new gold,13 hours ago,Taylor Moore,UCvOUqaEsQyQ0qBk6yEB_A6g,25,https://yt3.ggpht.com/CnnoZStcMkbR6cOTMUfVnByUt41fl19fz9WihzuVY3BsamMeBsuYr-mLtiLEEuLJweNGkiJ4vQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzror5jHjMTd5vACjZ4AaABAg,It is impossible to reach financial independence in 10 years by saving 70%..false..!!!,14 hours ago,amit parashar,UCJ-aGui-uLcnotPpCCbI8DQ,1,https://yt3.ggpht.com/ytc/AKedOLQvMZJffx8QD3ispUZATLfAtg1LEi5d1mdMentJjlc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzv3USQRqaJk4ICzGF4AaABAg,https://www.youtube.com/watch?v=NSECCaDchT4 (learn how to earn Rental income from stock market),14 hours ago,The Big Short,UCkZ3dt--FxVsanxMAdw50rQ,0,https://yt3.ggpht.com/KQWtIh_tnIh25YxHVdm47JpP469y2DorwJCb9EAx34WpKDPkyxs2ceEqkFVH2vnGVKliYMUDnGo=s176-c-k-c0x00ffffff-no-rj,0.0
UgwckG_dwmS7r3F38Hx4AaABAg,My son stopped his maid and cooks himself to save that money for investment,17 hours ago,Lavina Dsouza,UCS2nHr6xINVm4_kDJ5qmRew,1,https://yt3.ggpht.com/ytc/AKedOLStfh7ScrfC7VlZxdzg1Qw6-G3Lx_UfEXaMUYL8gQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzVsbeAweiXoSGfWx4AaABAg,"Reasonable Feedback⬆️⬆️Contact the WatSApp line above for consultation, assistance on profitable investment⬆️⬆️",17 hours ago,Akshat S.+⑨①⑨③③⑨⑦⑤⑨②③①,UCPDt9QuVWB6P4gNtePdoQvQ,0,https://yt3.ggpht.com/qiRsNsEgaFsiFdxsLOMJLKt6fUWs8TZ0K_hjIkielZGpQ30ggD0yugwMxgbwuDKMGxm6UBaPp2U=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSVLkhlKLu2C0pJO54AaABAg,Simply beautiful!,22 hours ago,renju,UCNSfhfdd9bZyxgOcMm_-Aeg,0,https://yt3.ggpht.com/ytc/AKedOLQ1TRpt9vAnSuvWQxONBEhM6hmjwd1RPcc2hg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5tawbUXm4XJARpj14AaABAg,Pl make in hindi also,22 hours ago,Yogendra Singh,UCHSef_40p07rAJcb-ZqYkOg,0,https://yt3.ggpht.com/ytc/AKedOLTr_LBSqkrUSCnTff25RltWotLwXNsLAMRg8282vA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwp2ED_dhoSbn_ExBF4AaABAg,Plz explain in hindi language sir,22 hours ago,Ashish Gupta,UC9Px7hRM-dpX4zCQrFnpfTg,1,https://yt3.ggpht.com/ytc/AKedOLSYUmRL610vA2U7VUvDWA2JPbhadzKHjbTSbQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdjDwHeZEoD5NxzLB4AaABAg,Hindi me video banavo,1 day ago,kusum gawande,UCZiD-5nl-fDTa4FCDbA8l2g,0,https://yt3.ggpht.com/ytc/AKedOLTzgKAVV-NwvgGX6EZTa7Vs-IgUaba9teEgaA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSkSW074Ty-Bp1JUF4AaABAg,Excellent explanation 👍👍👍🙏🙏 god bless you with lots of knowledge and success,1 day ago,Bharat kumar m,UCBJOybG-uw-NiBgHm4PfLOg,1,https://yt3.ggpht.com/ytc/AKedOLSLF8Bf-YD4kuQ1a_6NL_J08Zyw2UQO0wpGVzL9ow=s176-c-k-c0x00ffffff-no-rj,0.0
