cid,text,time,author,channel,votes,photo,heart
Ugy7K16RZ4eij1jrkPp4AaABAg,"*THIS VIDEO IS FOR EDUCATIONAL PURPOSE ONLY, NOT AN INVESTMENT ADVICE*
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat
_____________________________________________________
►For personalized classes on cryptocurrencies, please check:
https://wisdomhatch.com/
_____________________________________________________",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,24,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHY1jXBtvIg1k4Glx4AaABAg,Hello Mrs Maria is legit and her method of works like magic I keep on earning every single week with her new strategy.,2 months ago,Jackson Jack,UCHs67TZ_N_sHWlWmK4Urgow,49,https://yt3.ggpht.com/ytc/AKedOLQqRlFf5_ZWRrqvbVKm3OUs2Jw1aUcVzPZfjnuo=s176-c-k-c0x00ffffff-no-rj,0.0
UgxX5nMtpunV7H7WTwZ4AaABAg,"dear akshat .... i understand stocks price going up or down as there is a direct co-relation between companies sales / profit performance vs share price . however , i fail to understand what governs price of bit coin going up or down ...where from they derive a reason to go up . your insight would be helpful . thansk Nishant",2 months ago,NISHANT Singhal,UCNDRGXTooyKVNSyogQKxSeQ,2,https://yt3.ggpht.com/ytc/AKedOLQRLd986WD41Vu5mJ9oT-n3mONw0kt4T5pdLx0OKQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOK1u-PrVSVCy0q_Z4AaABAg,Awesome,2 months ago,Divya Alok,UCd7um5BJATQBvTfNAPGvRhQ,1,https://yt3.ggpht.com/ytc/AKedOLSdPQCvWlpTyjAMBiFtwKUpzIurV9ddwd6u4MNVPg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSxB9njpXqI4mOSkd4AaABAg,Stocks is great but crypto currency is more profitable,2 months ago,Crypto Anarchist,UC-7F9n8-4sGvsPETBgQZwxQ,61,https://yt3.ggpht.com/ytc/AKedOLQgL8l1kEDM40IxWPeCwtkHDoSqvE0EyzGhygKR=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUkqJWDT9KsmScmtF4AaABAg,"Hi Akshat sir, anything on Intraday or Swing ?",2 months ago,tuhin mandal,UCzsEa9e_PXFXnpEUOYr1gBg,0,https://yt3.ggpht.com/z1yWyWvwlczL_KZaJPiOjDwj8g9WnS8Xbwd-u7hQTzXMLQx5DomIZdAfaIyTArEOXf6GjnSJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxnZkfsK6lfKdcCie14AaABAg,make video on advanced hedging,2 months ago,Nilay Patel,UCU4E45j-RKtIe1n2Ox_6HuA,0,https://yt3.ggpht.com/ytc/AKedOLRhCxT17PYnTS6ZCrQbxCoijE9mUCVuZB520yJvkA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx519PNkLbq8Dky5O14AaABAg,yesss akshat we want a part 2 of this. cheers on your amazing work!!,2 months ago,ANANT VERMA,UCegLx7GnpQyLvEMRLheQG6A,1,https://yt3.ggpht.com/ytc/AKedOLSlnnTtSL7UZJGBYbUWE05raU_M5IXVNJUSOCI0uA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUhYr38sc05fq_57t4AaABAg,"Sir your videos are so informative and simple for anyone to understand. if you could help me , why can you start series on how to do the technical analysis like courses, in a series and how to make trading in zerodha. If yes then i would be the most delightful person.",2 months ago,Anish Gopinath,UCGQQztNQu1Bd3UmiwJr1-kw,2,https://yt3.ggpht.com/ytc/AKedOLQkeZ1odzPIIcevV7hM7bYfv-sTG5bn28Skc1ZHgQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMFbdN_4ZWLNgmgqZ4AaABAg,"ITC is not defensive stock, its a stable coin of INR 200 ...
😊😊",2 months ago,Nitesh Rawat,UCm60JnYiHV7UYk4DZUKkSeg,1,https://yt3.ggpht.com/ytc/AKedOLRGqxTntoTPVmba33JEMrmdAYFY_6J6aa7CyQ=s176-c-k-c0x00ffffff-no-rj,0.0
