cid,text,time,author,channel,votes,photo,heart
UgyS4e1T7455ZOtudYx4AaABAg,"►For personalised classes on Stock Market, check out here [Last few seats left for March slot]: https://wisdomhatch.com/
____________________________________
►Talk to an insurance expert today and get a health/term insurance. Check out Ditto: https://bit.ly/3hhtCal",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,19,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCnVHfQokgECGin6l4AaABAg,"you missed one point, as you mentioned the importance of heath insurance you missed on pointing taking care of ones health and eating healthy, those two are like value investing too, it will take lots of time to see the changes which someone do on this front everyday, the best example is jhunjunwala, i read it somewhere that he regrets on not taking of his health and he realised that he cant fix that with his immense wealth
so eat 2000calorie, exercise regularly, invest wisely.",2 days ago,nonsense,UCVhLrbf1W7T7C8igDF5obng,0,https://yt3.ggpht.com/ytc/AKedOLQaV3yGTQJAiTpNurvHFem-qjMJC8cwprRIfgRBWHh_EfEz1m2kKNQC52xlWdts=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzonq_RBUkd_pPXwMZ4AaABAg,@Akshat Shrivastava you spoke about emergency fund and Liquid money...can we treat emergency funds as liquid money?,2 days ago,Kiran Shetty,UC-dDilJ55QmHfN_9QVFc9QQ,0,https://yt3.ggpht.com/ytc/AKedOLQkklDyv8lXRFpDl96tX0wSSP7zThWdmOwNDb-w_A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwgff8ojz2aQ7-9bbZ4AaABAg,How are these strategies to buy the dip? Really confusing title!,3 days ago,Aayush Nalwaya,UCzdlnXfqsDKu5LShuhqqg8g,1,https://yt3.ggpht.com/1xNH5HJ7R9SBP61kTGTTbcS0vGarRGAHCokQd_zrrKOdmcVCm15Sv2VBdWfYtmtxsvYyKjRIpA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVa5mbN0U56DT4j6h4AaABAg,you invest 90% of your income because your bank balance is already 1 Cr+,10 days ago (edited),Ak,UCt-XmEhJjXHdqPKQ5r4aceg,0,https://yt3.ggpht.com/ytc/AKedOLQrsYA7ej5wW7-oPSJpfxCcGrFL7pjSRiQdcWNSnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxRVvVaosSj04REjkx4AaABAg,Yeah by the time most of them realise these valuable information they are in thr mid 30's. Hope the current generation pick these up in thr mid 20's.,2 weeks ago,bharathy b,UCBtZHe9H7g2NJiQOYKFlaVQ,1,https://yt3.ggpht.com/ytc/AKedOLRGe-JkEzt1d2cXGnqaIXx8KJ0VJumZuRDIiw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCj0Mq6zgT8CoI_UV4AaABAg,Wrong title,4 weeks ago,Rushikesh Ambekar,UCukAFmIEM1ok9R3EfVqyVWA,0,https://yt3.ggpht.com/CFJeLdwg0z4otAj4YJFhl0HW_QvZq_-FEG8_zmQ6agKptJdEczivCSnMgZpEogOkvxUR5j9fbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxRWGsy_OWA-a2rTMx4AaABAg,"Ap jada bakbak karta hai.
Video chota ki jie.",1 month ago,Sanjay Chakraborty,UCzG1vEYcRgiS3HieLnyUtDw,0,https://yt3.ggpht.com/ytc/AKedOLSP22i7iQJBDlka3-7W5lLy-w2LEM8lVILbmQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNHtKcb4jh9za8DCV4AaABAg,"Just make fool of people is best business in this world. YouTube is just another and now,a big medium to do so.",1 month ago,Jaspreet Singh,UCsoh-0SKPovgz-Gue6s5bGg,0,https://yt3.ggpht.com/ytc/AKedOLSQc2kxdRt9ElI9TMy_TzdYueFQ6DEP8ueT0Nz_=s176-c-k-c0x00ffffff-no-rj,0.0
UgytgIONICMWHFf-kfp4AaABAg,"Good day wishes!
Namaste 🙏",1 month ago,Rishi Raj,UCwvWN-tEi9F75yfKy9ppEFA,1,https://yt3.ggpht.com/ytc/AKedOLQrZci-4u5uMdTrNKkeuDCHuG8O9NTwcu1HTVILdg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_Wjk3vNtc_oC0yyl4AaABAg,"Akshat in your recent videos you had defended against people complaining about your continuous support for hdfc bank that was not giving returns in last 1-2 years. I think in those defences you haven't mentioned that a key reason for the poor performance could have been RBI restriction on new digital initiatives and new credit card issues put on the bank since december 2020, which was a speed bump in the bank's progress and looks like there was some market share loss too since that time.

But good news is recently the restriction was lifted and now the stock has surged as the bank announced resumption of new digital plans",1 month ago (edited),Nipunn V,UCnhRgolRXSWJXMkcZ8HcBYA,0,https://yt3.ggpht.com/ytc/AKedOLQf1co3oLL-HawVCAgncJX6Ot1Rf9NPMWSdb7MGwevrUs5uoBTd1dzcHK2g1CB3=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCTzrEMVaYxUOhZdB4AaABAg,"we can't survive on 10% of our income, so can't invest 90% of our",1 month ago,Abhijit Mhasagar,UCGYXJW_c3ABEl_V8OwO3rew,0,https://yt3.ggpht.com/ytc/AKedOLRHCYUdTQszN5bU0WtoLfqBSCkQjp1242S06wjVeA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxnuxgd4W7DO2Ba0eF4AaABAg,"Akshat has started adding so many clickbaits in his video titles and thumbnails these days. I started watching this video to know a few ""buy-dip"" strategies. I understand that one can give a lot of GYAAN about there is nothing like buy-dip thing. But there can still be some strategies which can help u get most in the bear runs. Should better have added warning in the beginning saying that the title was just a clickbait for people who really wanted to know some buy-dip strategies.",1 month ago,Make me Money,UCdZFtOkvkLi82mtPFKwjdyA,0,https://yt3.ggpht.com/ytc/AKedOLQw2U51eSWLXJpCYMvxOfJKW0XxrEYAlhSa3RbGJgYez3mPGT9EiOiWUnRDbS6r=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYyqSL7VrGf0Pdn114AaABAg,"Thoda hindi bhi bole le bhai , kiyo itni important baat Angrezi Mai bol ke apna or 65% viewers ka time barbaad Kiya .

You uneducated log ho Kiya gya h ap logo Ko, aisa boliye Jo sabko samajh aaye .
Point sare badiya h thanks",1 month ago,Deepak Gupta,UCd4Jmn-yakBxK2d4rCWUKow,0,https://yt3.ggpht.com/ytc/AKedOLTp1ZkFhDGKb91v3R7hZdstadODy3dC4tTWJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUADG1JBTj8002z014AaABAg,How you know you will leave tomorrow?,1 month ago,BASURAJ SOBRAD,UCHcH-O5rRlfi_Uk9H8pICSA,0,https://yt3.ggpht.com/ytc/AKedOLQv6TAUbp6i21SDyGwrSIgkQN4Q3mnwQCprdW8UEg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdCyj_qvXOYlgUvEN4AaABAg,"The stock market is still a fantastic tool for building wealth, however, so it's wise to consider investing even if you don't have much money to spare",1 month ago,Bartosz Dobroslaw,UCWYhJzx4KzkGTgYcloE8q0A,1,https://yt3.ggpht.com/ytc/AKedOLRPz7woa-JHbe2ED2qqTRHy4c0jD3tPpWxKeQo6=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4zAJm_Cdbge5uIS94AaABAg,Hindi bolo chacha angrej mar gaye tumhe chodh gaye,1 month ago,sunny,UCEIFQ-rJ711UJzZs5ceUo3g,0,https://yt3.ggpht.com/ytc/AKedOLSwtwH8NxLGpBuSHLuQYN53aUeD3HxTPPtn5A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7jnkh0ahvIkkGBwF4AaABAg,"Hi Akshat, I have ap plot of land where I am taking a loan of 25L at an interest of 7% and making a commercial building. I have banks and few other medical shops which are interested in renting. Should I go along with this and consider it a investment?",1 month ago,Satyajit Sutradhar,UCSteW_GEuWgqfE7we9NvRBQ,0,https://yt3.ggpht.com/ytc/AKedOLRHismuEhlwOg7vL4UtzL3ZJnX1W0bivA1UGtA7ntE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxlrMGcJ995r8Fuv54AaABAg,Pls sir make VIEDOS in hindi,1 month ago,Bhushan Dranch,UCXC6SRL_3CdNgkzKgxRDvfg,0,https://yt3.ggpht.com/ytc/AKedOLQBikr7qnCdz9Gkjr63GPkDBY7A2UBxu4aSAQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAe9nFLsqKX4LDkjh4AaABAg,Very good,1 month ago,S Rengarajan,UCmU_FXzQ3mpvI11jXoMQvhw,0,https://yt3.ggpht.com/ytc/AKedOLSiiT46TYzt3IiFuVvC04GdPDsjiBdqWQmbgg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379Yv9SdKV1v5,"Sir could you make video 
When you withdraw your shares
Because sometimes I invest when you are. But when do we withdrawl is also important
To reinvest again",1 month ago,Pratik Dubey,UCJuFn2khBKdmIaOQRwuBV9A,1,https://yt3.ggpht.com/ytc/AKedOLTXnYGwcJTv4JzFZid-X6SwKa1BvL5XSL3RMxmf-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379Yvk6buC592, @Mr freeze jones  Wow!!! you trade with FREDERICK! I thought people don't know him that well... He's really awesome!,1 month ago,Msuur Shimaior,UC-4WrKoS4ghpF0AHJgJPkKw,0,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379Yvp09-xNm5,Just bought $10k alcoins and $30k worth Ethereum. With the recent dip in Crypto I was told it's the right time to invest set down and see myself turn to a millionaire soon,1 month ago,Chinenye Juliet,UCi0wE2JAehfawNbvvt9YOpg,0,https://yt3.ggpht.com/ytc/AKedOLRsWVAQL07R9A0ZIHe6fHEcEHO1D3iYYnM6rOgnj5TX28gRWy3lvWcnEHwVzSCZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379Yvri5HUZ4t,Just made my first withdrawal last week and I wasn't happy with myself because I was skeptical which made me invest so law meanwhile I'm on my second trade with him and this time I invested in a big way,1 month ago,Adeiza Abdul,UCt1CDvBs5LMwUAaS2BOtaag,0,https://yt3.ggpht.com/ytc/AKedOLRg28jXG8gHL4IwEg8mjTaAbj1s0dlVBmGowsnVQVUWXUPO4SkIxujnbzlr94ga=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YvuuELviJ_,"I met him last year for the first time at a conference in London, I invested £25,000 and traded in one month making close to £200,000.",1 month ago,Michael Ramos,UCF26S3NzgcumKVvrJWXV-ng,0,https://yt3.ggpht.com/A8ovnR2WEyFqdvKD5b5hSUy14-MbChb0tpZ1ceZ7GQ-m1v3dvoam-kSlu0KhtmwehoH0zmnHHyQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YwXssBdnZJ, @Adam Christin  Тежт нм оп шнат_Дрр,1 month ago,Mr freeze jones,UCXnQGPhAvpRXUWSqMh_RiVw,0,https://yt3.ggpht.com/0pkYR2vXBQLwMRGGlCuU0-g53LbxlQWqQhrXKFcBr0cMm3_54IAR-CtlPrT_OClZxFnto3wxJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YweQbOGpZu,十① ⑥ ⓪ ① ⑥ ② ⑦ ⑤ ⑤ ⑥ ②,1 month ago (edited),Mr freeze jones,UCXnQGPhAvpRXUWSqMh_RiVw,0,https://yt3.ggpht.com/0pkYR2vXBQLwMRGGlCuU0-g53LbxlQWqQhrXKFcBr0cMm3_54IAR-CtlPrT_OClZxFnto3wxJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YwhkR271Hl," @Mr freeze jones  Thanks, will get to him immediately",1 month ago,Adam Christin,UCKycVEZ_qKJEtwko_CNOgZg,0,https://yt3.ggpht.com/3buqIwRR-THO7PXH4As_P3EdL00zp_rPILtJ08UgdIBdkPKc5XSz7Ze4BwHCOjPTb5THgmaUQDA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YwjtbtDb8d,"needed his info as well, will get to him thanks.",1 month ago,Doctor Jason Pius,UCI0WgLvXNUyMCN3y5EBWwvw,0,https://yt3.ggpht.com/ytc/AKedOLRi7KqZs9Sfd3v-NXioSYJVQ0HRvH68hAeRmA_rG8xsG5FQzpb2JtqnRE0f4byE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YwmGPSH7px,"When someone is straight forward and good at what he/she does, people will always speak for them. For me I will keep on working with Mr Frederick of financial education and keep on winning",1 month ago,Agber Martins,UC_L9DZyhmuDuPUPr6WOdiJw,0,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379Ywojp2JiTe,"My previous trade with him gave me a total profit of €42,000 so am definitely going for a new trade this week.",1 month ago,terhemba ikutor,UCV6A2rs1Rm38LLKcFwEzLqg,0,https://yt3.ggpht.com/ytc/AKedOLRgTxQlkrOz_Gew2jnBnSmUGZdDkAZp9MAPXDhI3zn4V3vgxRTwVA_AUu_0Z78U=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379Ywq9YO6zCO,"I remember back in 2018 when I start my journey in crypto, I was warned but today that have been my best decision ever Sir Frederick has made a good name for himself by always ensuring his clients satisfaction is his foremother",1 month ago,Benedict Ikwuta,UCNdz2uz0tuLc_YSTN9PWf8w,0,https://yt3.ggpht.com/ytc/AKedOLSypYY6yaqv64AUX-ndKuhyFvjuf-Wduz1_NDYrCFXPFUxgn16nGU04xDovqee8=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379YzZk-l24Lu," @Ray WA+①④②③④⑥⑦⑤③②②  This is a fake account meant to scam people, isn't it?",1 month ago,Navneet Singh Kushwaha,UCs2W4HDyJ5LPQ0yluNE-Axg,0,https://yt3.ggpht.com/ytc/AKedOLSO1P8PNgUQG_xtoSJKBIdylzACYh1YxYxtTxuYkTM=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379_3p_mE2D-L,@Akshat - The title of the video suggests strategies to identify dips in market. Disappointingly its all about basic personal finance. Didn't expect such clickbait from you :/,2 weeks ago,Abhinav Gupta,UC5edZPVfHZjfiaFJ0d95WEQ,0,https://yt3.ggpht.com/ytc/AKedOLTPIi5oj2xG8YSHnlBNEIf8t--OnZdMgixs5bWXXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyS4e1T7455ZOtudYx4AaABAg.9Yuz-Ux8R379_3qcmMVObq," @Abhinav Gupta  don't watch him for any personal finance content, there are many better channels for that, he is a feku and has target to hit every week and so content quality is often poor",2 weeks ago,Siddhartha Mishra,UC4YHF_CThQFgH0LNw9ZjgEw,0,https://yt3.ggpht.com/ytc/AKedOLSMyLzMFoCMByUI9wXg0e7nmAloNUsee9tMUg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzonq_RBUkd_pPXwMZ4AaABAg.9_nrtbUbyZS9_p8qT1GmZw,⬆️⬆️Contact the Wat'sap line above for more information and advice on investment.... Thanks for your comment.,2 days ago,Akshat S+①⑧⑥⑦②⑨②⑧③③⑥,UCyU4YyOtBhgMT-sFoxOYQCA,0,https://yt3.ggpht.com/igMavDt9s4qxlRrd6LFohxgt2thZbrn1FjBUQ4TbbhluwyRxQMo96_xhvU4qY_BTVn81Y3dweA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwgff8ojz2aQ7-9bbZ4AaABAg.9_n0UOez87Q9_nBzZaEK2F,Feel free to reach out l have something really big that I would like to introduce to you,2 days ago,Whatsap+①⑦②④③①⑤⑤⑤⓪⑦📩,UCoXac_jASoTVwmmzR3pYsEA,0,https://yt3.ggpht.com/uz11b1QmczGqSlUUkysHpV8j1IAgdLKC0m5HV4p2C5eDF-ymjmC5dWz_11K7YX0YavxNf-4n=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVa5mbN0U56DT4j6h4AaABAg.9_Tg9E8vN_r9_TjJcuOD_h,Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳•,10 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCJou5ccuWm2jnLxBEIPkP9Q,0,https://yt3.ggpht.com/BM08PvmIoJWPVQyuFuw_GNbedFuDyMYBAk2rue7ctibvTykRp5d9gbkBUcf6a7aqfW8_zZ605w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxRVvVaosSj04REjkx4AaABAg.9_LaGQa2Akr9_MZHneFaA8,"Thanks for the feedback,
contact the What'sap line above for more information and advice on investment, also participate in the ongoing new investment plan .",13 days ago,WhatsApp +⓽⓵⓽⓼⓶⓽⓽⓶⓽⓷⓶⓸,UCRBGuqujQeCG1gxpvoLEvpQ,0,https://yt3.ggpht.com/ITI6H_xhgtHsuLbHq4DPCjbIEY2Z8HB8Hqv70FGMlrytL9iy-qwejrZIWAFVuseFuVLX8XhjyD4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCj0Mq6zgT8CoI_UV4AaABAg.9ZmLeueeOUR9ZvMQ8P4n-_,"Feedback appreciated
Wanting more info and insight?
WatsApp the number above,⬆️⬆️
Endeavor to reach out📩",3 weeks ago,Akshat S+①⑧⑥⑦②⑨②⑧③③⑥,UCh1q--QezVSYxtvgPFUqREw,0,https://yt3.ggpht.com/tk10jTEk6mpfQYPiQgiuqJmIzsj62haKiqoBVmGXqA75W0Q3lxOjRfyUYwF_VF2Q0lqkfAijDg=s176-c-k-c0x00ffffff-no-rj,0.0
UgytgIONICMWHFf-kfp4AaABAg.9ZaQDIRI4JZ9_TjL0PAn51,Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳•,10 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCJou5ccuWm2jnLxBEIPkP9Q,0,https://yt3.ggpht.com/BM08PvmIoJWPVQyuFuw_GNbedFuDyMYBAk2rue7ctibvTykRp5d9gbkBUcf6a7aqfW8_zZ605w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7jnkh0ahvIkkGBwF4AaABAg.9ZVQeNdVWIz9_TjMCAX5IO,Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳•,10 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCJou5ccuWm2jnLxBEIPkP9Q,0,https://yt3.ggpht.com/BM08PvmIoJWPVQyuFuw_GNbedFuDyMYBAk2rue7ctibvTykRp5d9gbkBUcf6a7aqfW8_zZ605w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxlrMGcJ995r8Fuv54AaABAg.9ZU86cU-boh9_TjNE9gUEI,Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳•,10 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCJou5ccuWm2jnLxBEIPkP9Q,0,https://yt3.ggpht.com/BM08PvmIoJWPVQyuFuw_GNbedFuDyMYBAk2rue7ctibvTykRp5d9gbkBUcf6a7aqfW8_zZ605w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAe9nFLsqKX4LDkjh4AaABAg.9ZTXq9vIXOs9_TjOAJHppb,Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳•,10 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCJou5ccuWm2jnLxBEIPkP9Q,0,https://yt3.ggpht.com/BM08PvmIoJWPVQyuFuw_GNbedFuDyMYBAk2rue7ctibvTykRp5d9gbkBUcf6a7aqfW8_zZ605w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzymS9Aql9nJslFjV4AaABAg,remove these spammers 😭 cant all people related to stocks and cryptocurrency community do this,1 month ago,shonty Speaks,UCl6jHNht1N7iqCbELepPwfw,0,https://yt3.ggpht.com/6A6WAiknbwbWAPioXqTZjJg1oULtGgTGMx4fj0_yMgp9qYhJEdLHZUX2Bo0bx20Omp__CkpzJYE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuZxwbyXkL0LvRhet4AaABAg,Title of the Video is misleading and wrong..,1 month ago,Sunil Verma,UCdkn-AbpcLzZIf1cKd6Qq_A,0,https://yt3.ggpht.com/ytc/AKedOLRWXKX4sTVUOR2pZFGMx3mLzLsAvUGPk2Ew7jzfvw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtVMqxO18RmxEqh_p4AaABAg,"I think I had wrong expectations from the video due to the topic given, 5 strategies given are to have money to invest, but not how to invest during the corrections, which may go like, SIP, SEPs, or staggered investing for every 5%-10% dip, etc.",1 month ago,Sachin Mehta,UCh423Ew0spwS1tvmzrTa9Iw,0,https://yt3.ggpht.com/ytc/AKedOLRMAIONbDbKkfK33OKxwqfgYENlc5RTFsGdThvkXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuVxb4g1wagU1JRw14AaABAg,Your wisdom will enlighten a lot of people.,1 month ago,Madhusudan Sinha,UCOQrVR3KFnk_8_VpzkFXacw,1,https://yt3.ggpht.com/ytc/AKedOLQGIsJyH2ttsYr-WPuPZUA0b7PSzZblBmhG65mAt8I=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8q3gqxEDUbIjlQMx4AaABAg,Faltu ka time kharab,1 month ago,Gopal Mohta,UCchTXsS3J73N6iJDAOmaUIw,1,https://yt3.ggpht.com/ytc/AKedOLRR5wKhyh5LHdpZo3ojG5iM6TxhHs6kteYYf_LAKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLtCapYBUvIb84g6t4AaABAg,Any unemployed person here 🙏,1 month ago,Atul Singh,UCsQXAuFFcMZnEat8MGkSOdg,0,https://yt3.ggpht.com/ytc/AKedOLS5GT-JmPD7ln9_NaTW4whWKi6rdjCi6K5dqsI9WP-NdZIPbO9lrIpJcvnS7u30=s176-c-k-c0x00ffffff-no-rj,0.0
