cid,text,time,author,channel,votes,photo,heart
Ugz3uyMW5RTUcvezrKZ4AaABAg,"►For personalized classes on stock market, please check [Last few seats left for March Batch]:
https://wisdomhatch.com/",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,3,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQ_42YL55WFI3G9wt4AaABAg,"Hello sir, I've got a question : Robert Kiyosaki says that debt is money, so shouldn't borrowing money be considered a good debt wherein you pay 8%(approximately) to the loans and get an average return of 15% on a time period of more than 5 years?",1 month ago,Jugal Shah,UC3YfmU9yuhp66TSjp9GLsZg,0,https://yt3.ggpht.com/ytc/AKedOLQCA12iR6SOxNNx9afMbZpVVNlZ4-SqxNGYJA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZl1vJbwK_y76ovs14AaABAg,PLEASE MAKE A VIDEO ON WHY HDFC BANK IS DOWN BY 5% TODAY. IS THERE ANYTHING OFF WITH THE BANK/COMPANY?,1 month ago,Bharat Dedhia,UCqaSgb9HCrJjOdqgW5Vsqbg,0,https://yt3.ggpht.com/ytc/AKedOLT2MMl2KHkqyfYYKo0cu45_a_2E-m3W2UVTolBnpPw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3r8Oz6vdfU98VjYJ4AaABAg,Video on l&T financial holding please,1 month ago,NCC United,UCjaI0T6hJ1FoyCAUzaPTuQg,0,https://yt3.ggpht.com/2UL__DAaHYUwMEIqTi0cJWuA4VrR4SfKloTtIHGo9SGkjwvu_tUeRUbjxLy-hpHqza7fps9yRQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrAsWmZGQFuF84JDx4AaABAg,"Hey Akshat, first things first. Great content that you provide. I love watching your videos. It helps me learn a thing or two each day about personal finances and  investments. Thanks a lot for that . 

However, I have a question about debt. I have read Robert Kiyosaki's ""Rich Dad Poor Dad"" and have also been watching his talk shows. In his book and on one of the shows he talks about purchasing Real estate with 100% debt and 0 investment from his hand, contradictory to what you have said here. I may be mis-interpreting it, can you please advise / clarify?
Ref: https://youtu.be/lXcnJmBGAeU",1 month ago,Aravind Molugu,UCwFQJ7Y-qF0e9kikZlgwgMA,0,https://yt3.ggpht.com/ytc/AKedOLRoCzKCsJ7gibG3D8LAWm02FEpw4qS_BNYWkjwE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx45M9ourKjAwmmUn14AaABAg,Can You also make a video on how to increase the earning potential ??,1 month ago,Atharva Chousalkar,UCu2Lx-oda5nUzIKPbrzkznQ,0,https://yt3.ggpht.com/TcZzEOGlPJqyn6pySIUQdr_mgm6OqVLRCJPPAmQdoRvIzb8rMANvLWbp_ZEIvsujetUCIobJWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxK7WSRGZeJfQkNpOJ4AaABAg,"Hey Akshat, I can not thank you enough for making me a little bit financially literate.",1 month ago,dovahkiin,UCfeePRF8Nkmx7add-s47TRg,0,https://yt3.ggpht.com/ytc/AKedOLSxa1t94TzCWxmLu_IkmIo_1J5QYwly3uRwGw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxr4nLAh0nKLG0jrs94AaABAg,"Taking a housing loan is very best as now there is very much less interest rate and also we can deduct much of the money as tax dudections 

It's really good to take a considerable amount of loan for purchasing a house",1 month ago,ANUSHA GOUD,UCToTilpiVN2ads3coKqQ0dQ,1,https://yt3.ggpht.com/ytc/AKedOLSf1SaChmKd0twC7AuRD0k1MzRkJVAv_KwzfQO2EEjHMCQXknLPhYCTQcfTaVOx=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwc0LI8q89Dck5hg2R4AaABAg,"Hey Akshay, I love watching and implementing your content... Have you done any calculation on what % of salary can be spent as rent?",1 month ago,PRATIK SAKHARE,UCSlVlC4Y0pZKTHc8xx1EEZw,0,https://yt3.ggpht.com/ytc/AKedOLT2sc1PeCgwgXWE-MMflVSPpFTSLe3V0HcFqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlHfa4VTfMcqwIwRJ4AaABAg,"Hey Akshat, I have an education loan and now I am repaying the loan. Right now, My 50% salary goes to EMI. Should I reduce it? Going as per 50%, I would be able to fill it in 1 year.",1 month ago,Arnav SINGH,UCC28WMfYfxWTYZPG23CcldA,2,https://yt3.ggpht.com/ytc/AKedOLQdp31GHV9X7gDlGnIStTqKpY14Zr12L9GfpA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwlna9cQuUFP9E4lCh4AaABAg,You look good in formals,1 month ago,That Guy,UCnDvpiepOo8gI6t8q6oWFdA,1,https://yt3.ggpht.com/ytc/AKedOLQLYMwHqBIwBD4fJE_U-XXQe9S6Lg0cLjF_sg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHtJaa5zsya7_Zrjp4AaABAg,ok,1 month ago,Goldy Behen 1000 kg ka genda,UCEEiJR9D1u6qUE5e_sl11nA,1,https://yt3.ggpht.com/ytc/AKedOLSOiR09D5kZSqILkEdkusQUe19Q_lxUb9ccDZPiseZdAAO34fSheiQ3KeQYdDiu=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrAsWmZGQFuF84JDx4AaABAg.9Z38IG2ZbUi9Z79VFP06WX," @Crypto Matrix +①⑥①⑨⑦⑨⑥②⑧⑨⓪   I posted the question to Akshat, not you imposter. Please don't mislead people.",1 month ago,Aravind Molugu,UCwFQJ7Y-qF0e9kikZlgwgMA,0,https://yt3.ggpht.com/ytc/AKedOLRoCzKCsJ7gibG3D8LAWm02FEpw4qS_BNYWkjwE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwc0LI8q89Dck5hg2R4AaABAg.9Z1UG4gytkH9Z2ChezGdUG,learn from each other,1 month ago,+⁸⁵³⁶⁶⁷⁶⁰⁷³⁴ WhatsAppGet more,UCBag3kiXzcKMooX4Cy3tTfA,0,https://yt3.ggpht.com/EW7kT36-wQ9FA-O-fmAFxg0uElhsvreWA69oJbStX4dMCJEQ0UoQUBPPbUS5yvELTLn1x8tQDw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlHfa4VTfMcqwIwRJ4AaABAg.9Z1Nf9slpgn9Z1OvakdDXh,"clear off loans first , but take care in future",1 month ago,ketan Ahuja,UCs2AJEaSmqSnu1QKG5IOYKA,2,https://yt3.ggpht.com/ytc/AKedOLQKOHgJ6SlxtAY682HuDFPUA1nH_cjWSzuEbvoDpQ=s176-c-k-c0x00ffffff-no-rj,0.0
