cid,text,time,author,channel,votes,photo,heart
UgwKELZ2GkAYJCSWqEZ4AaABAg,"►I teach about Indian and US Stocks on my course, you can check it out here [Last few seats left for March Batch]:
https://wisdomhatch.com/
_____________________________________________________
►Check out Jupiter - a neo banking app that allows you to manage your money in a smarter way:
https://jptr.onelink.me/TOMp/ec58c68",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,24,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCisVGdQBvRtBccip4AaABAg,Can anyone tell me why hdfc fell more than icici?,1 month ago,Hash,UCPn53UZ3EofNZAdvMlGyAjg,0,https://yt3.ggpht.com/AXYSYWvMhmZjLpLLUQ4CNqC8AhMz1U_C0cJbFgy1m6FEDVzHFlsncSBZClol53JjaqgFibI5nQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv1fXXMXoCLebbfUF4AaABAg,"I will forever appreciate this channel, you've helped my family alot, your videos, advice, lessons and funny words are inspirational and helpful to us. My husband and I have been able to be minimal, conscious in spending, saving and investing wisely, I now earn every week. You're such a blessing to this generation. we all love you ❤️",1 month ago,Arjun Isaac,UCatbabSMw1HKwmAgz7UdTIw,54,https://yt3.ggpht.com/IAWilWso3T19s5u1zUpUQsiLNYGx3yduvYA9ppY1dqPlWrg0KC5J6fZxWkvnvIRadCRjvrBE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0Th4WcpWmqtYkz3F4AaABAg,"Asset risk- The risk of lending, where money lent is not expected to come back

Deposits taken are not assets but liabilities for banks",1 month ago,pstaney,UCDgdm2AqGB6I9jjXyrcSH6Q,1,https://yt3.ggpht.com/ytc/AKedOLS91TFA3evOfgTvrSatfSQj5Mx2BpLC4lkOGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgweIs7-lygFhs2t4uF4AaABAg,"Akshat you smile from time to time and it shows, that you speak what you think. Your smile is also nice! The content is also very good. Keep up the good work.",1 month ago (edited),Ashish Bakshi,UCq518jlU1UvdExwrbbcTbDA,1,https://yt3.ggpht.com/ytc/AKedOLSaEMfx8Xx3f7fghV9sF9WCr3NKcMo_IgUPDHLR=s176-c-k-c0x00ffffff-no-rj,0.0
UgzY57Qklk5FqK2z6ht4AaABAg,Brilliant peicee of info Akshat...R we ok to buy bank stock only...any other recommendations buddy...,1 month ago,PANKS A,UC3UvCYlGHJpby0WMmHvXAXw,0,https://yt3.ggpht.com/ytc/AKedOLSKy4hVPla_FFpin40erRJAwkY7PGNDf7if_imLcw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_HhraB77x7Dk8bah4AaABAg,The list of the stocks you purchased was not visible.,1 month ago,Vidyadhar Ganpule,UC_zooSkirveyXbQERGoNE6Q,1,https://yt3.ggpht.com/ytc/AKedOLT_ZcBmFxPwIOJIBA4bL_MrsRVZLm3CHnDfWQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyf4Eg9Zu7fVNB7Wo94AaABAg,U were saying time to buy .. u think investors hv so much money in hand … that they can keep on buying … u r I think gone berserk….😡😡😡,1 month ago,MANJIT SINGH PUNIANI,UCHyYDTkOOlclVv3rSRDV_rQ,1,https://yt3.ggpht.com/ytc/AKedOLTFVI3WvP6B07qZWDbj-4b7Yy5OUwbBEHnhWKc6eF4=s176-c-k-c0x00ffffff-no-rj,0.0
UgytqxwHXTBMu3XTP6t4AaABAg,Sir plz make futures video,1 month ago,Uma Shankar,UCa3xc_pEPJ0QRKb9UVHV9Nw,0,https://yt3.ggpht.com/ytc/AKedOLRZ5IuK6NLOIWltpB54SDm4OuGI-rl-3nHirw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3EwJlzGLwn1FTS5J4AaABAg,We are helping mba aspirants in the times of lockdown at a very affordable price with personalised mentorship by IIM C mentors. Interested aspirants can follow us and contact us.,1 month ago,CAT Preparation - Prepzone,UCdMIUMS6rPVVL_yHIUMHdrQ,0,https://yt3.ggpht.com/6sseA2FWUQmqOciO2Kz9wsCcAi59YfSGScCG05B_itEp-ojKixn-iOIgo5mzr-bwoGMTmaERdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLEYE7aRBrt_8tLfN4AaABAg,"Hii Akshat what about the bad loans given by Icici to ABG company,how will it affect the stock price?",1 month ago,arvind pillai,UCdvFhPnScQlOKEslfpwlUQg,1,https://yt3.ggpht.com/ytc/AKedOLRaQj9mB1wJMK7D80FlKTHMy7kX341-EuchmZWkxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxTTT4ahP1DZRpZeV4AaABAg,"Akshat, you do FnO also!! New thing I got to know. Would like to have your video on it one day.",1 month ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,1,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQYeq64eyi11Hc8QB4AaABAg,Hi akshat do you invest in gold,1 month ago,chetan urkude,UC-0xA8oklnz76pgDn4bp0cw,1,https://yt3.ggpht.com/ytc/AKedOLSHeTZMq82oKSOA18iEg0komdEU2GRp94qga7pT=s176-c-k-c0x00ffffff-no-rj,0.0
