cid,text,time,author,channel,votes,photo,heart
UgztCtXPIcgpkiuEj4R4AaABAg,"►For filing taxes, you can check out TaxBuddy.com and avail 35% discount for all ITR filings:
https://filemyreturns.taxbuddy.com/akshat
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock market investing on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true
_____________________________________________________
My Podcast ► https://anchor.fm/wisdom-hatch-by-akshat",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,25,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyh2DHAGNNseM5Fwip4AaABAg,"Please make a video on how retail investors can make investments in new age startups! Thanks! Also, if you’re reading this comment, i want to appreciate the great content that you make and it really shows how much work you put into everything. Thanks again! Wish you great success!",12 hours ago,Astitva Tiwari,UCtq8M25k1LTiIF40YmCfAXA,0,https://yt3.ggpht.com/ytc/AKedOLQpzB14rEjSegYsCaQgEKbGVIzdsJQodNFbEw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaM0PSreeFWaXwdpZ4AaABAg,I am your fan.,2 days ago,Abhishek Asthana,UCcKCG-CiDQN6zdA90PVMWeQ,0,https://yt3.ggpht.com/ytc/AKedOLR2b7VJ3uCXdK_c0A15__5lz5cQz6Pgn7PrKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNcQgnfEoGZLD__It4AaABAg,"akshath your explaination its Express not everyone like me to catch all your express points , better to upcoming videos be some slowly explain many peoples to listen it .",1 month ago,Kedar Nath,UCn---0Ecg7H15HzSQ0AjsgQ,1,https://yt3.ggpht.com/ytc/AKedOLS84MHuDDOmFAD0k1jza1zpkgCX1yAOv9AsVXKVBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqCBWSZDGSVjBCCQ14AaABAg,"Nice video!! Very engaging from the beginning to the END..,I'm new to Crypto trade and I have been making huge losses but recently see a lot of people earning from it. Can someone please tell me what I'm doing wrong.",1 month ago,Halatu Sani,UCacmSsZeoTnYvG7-bfqtqAg,3,https://yt3.ggpht.com/1_J0-qE2AfIJO4n8VLFioIs9d9d-86rIwTghS_9YkSONJGxCSa90BfmaDSDaBqiBfgHtzKYPrw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTjLqDaV25_mPJj-14AaABAg,"I'm starting a retail business if you or anyone wants to invest, please let me know.",2 months ago,Financial Technologist,UCdy0Zbi-utzFDVrtHGHlfxQ,0,https://yt3.ggpht.com/ytc/AKedOLRzQmk6dun1JIQqIXMTcFKpeSfI_4BOCW-rB4oNpA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR6ewfczQULhYA5Oh4AaABAg,Hi Akshat ! Can I invest in your business idea ? 😊,2 months ago,S. Sharma,UC2JiPZ087o6MBxQdcjjpI4Q,0,https://yt3.ggpht.com/ytc/AKedOLRtFJltdisLel0ancGXK5Z9ML61FBrOpBi00xlQ9w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6d3h6jPdta_NTvEZ4AaABAg,"Great ideas! Your mind must be something ""super human"".Now, to suggest a name for your new start up my MBA, here is my suggestion ""New age  management trainee""",2 months ago,sethumadavan srinivasan,UC2eDmEQPqpc5qohqGON9mpQ,0,https://yt3.ggpht.com/ytc/AKedOLRCNOe8F6hqOzrGKD9PAWJBdCvuaZXcudEsUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsezBO_TrmFTWlHaR4AaABAg,how we can invest in startups?,2 months ago,Vijitha G,UC_tpJoBDTxjiqDtLbS9WNUg,1,https://yt3.ggpht.com/XfVtb6LHF_Of4jfQuAN7Sx-P69DjUq9EGCfbMhnfWJqPe1osf19l2r0jBDJYf3Cbpyr6BSek7g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9FBOOZH7Vi0_kDMB4AaABAg,"I invested in Aditya birla AMC at 712, what should I do now?",2 months ago,Nikunj Pande,UCq2vcfCfrrJ7XE0aRzqwedg,1,https://yt3.ggpht.com/ytc/AKedOLQd3PezodkU6rP1FNX2y2EE5E5W4nQdRfig2N6D6s4=s176-c-k-c0x00ffffff-no-rj,0.0
