cid,text,time,author,channel,votes,photo,heart
Ugx0SHgDm-7_KpUFIZV4AaABAg,"►I teach about US Stocks on my course, you can check it out here:
https://wisdomhatch.com/

*************************

Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb

►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb

►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,31,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUmdQiDgYFZcl3tT54AaABAg,Why ICICI Lombard in general insurance is going down continuously ?,1 month ago,Knowledge & Ideas,UCpDK67OpLCtu4IvmmqRAexQ,1,https://yt3.ggpht.com/NAszSMRog4zUFExwHdYB5ZSrLqMxo6M8Byx31TH4pc-1Ei5_LEFj7rQPZIYB4vyVcMXKjqk0Pw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWV75g0zOU8sBpfrp4AaABAg,👍🏼👍🏼👍🏼,2 months ago,Tashi Lhamo,UCjS5jA_vHz8xbjnkeoR0a0g,1,https://yt3.ggpht.com/ytc/AKedOLS17kzwIeHlZ5WNS778uBnN5tGmzU0S86khZLDe7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZtU5mU6x-stenjGt4AaABAg,Stocks is great but crypto currency is more profitable,2 months ago,Katelyn Gibbs,UCicv7qKA897bXJQ_hLmtUJA,61,https://yt3.ggpht.com/cIeJ5tcEfeOYBXnTuXIMmk8xI7P_e44xzm3m9dy4HfZPQMhyM7BD-8bTrOU52FSWyUhf4KvlMg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNW9OCVSgyx-HBo-R4AaABAg,Would love to have a video on stock recommendations for speciality chemicals,2 months ago,Anshul Aggarwal,UCKHH8ww4wPgSiN_mQhZRKxA,0,https://yt3.ggpht.com/ytc/AKedOLTOEfHmNHQ725VReH6MmufpsuIJFNbTw91RoSjk=s176-c-k-c0x00ffffff-no-rj,0.0
UgykpKDYcWNhNQj3cyN4AaABAg,I think sound or volume for this video was slightly low,2 months ago,Anshul Aggarwal,UCKHH8ww4wPgSiN_mQhZRKxA,1,https://yt3.ggpht.com/ytc/AKedOLTOEfHmNHQ725VReH6MmufpsuIJFNbTw91RoSjk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxY-S0GIo0iu0vTAJ4AaABAg,"Akshat I am new to stock market and your channel. I am trying to learn first and do mock investment for 3-6 months then go for actual business. If you can give very short videos every day regarding which stock to buy or sell, that can act as guidelines for us.",2 months ago,soumya purohit,UCX08HHJ6g5woAyk-fHYL-vg,1,https://yt3.ggpht.com/ytc/AKedOLTwU7Q8SWTm93_29gttzK5VfiUDGkZd1kZCsrs9RXQGTD5VxxIHDaDTSJA2Dm5y=s176-c-k-c0x00ffffff-no-rj,0.0
UgylgwHrJE_YOdi4WuF4AaABAg,Low audio quality,3 months ago,Kali Ahir,UCHs827VoX9ErT7uhtTrcmpg,0,https://yt3.ggpht.com/ytc/AKedOLQub2GO0vN8TmzR18siFKIedxl810j4LcvCqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMDf5XlcJtslXjD-94AaABAg,how do you assess that a stock is discounted,3 months ago,Nishant Misra,UCmlroB-PxmXXg4rqV9mOp4w,0,https://yt3.ggpht.com/ytc/AKedOLTklI7YxKgIEuUsknAByu1hhjr3tdqKjEy3eg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzk1K65cdTigJ34ZBF4AaABAg,Hey akshat plz bring Saurabh Mukherji....to supplant is like to replace I guess,3 months ago,Sanjay,UCcMtZt3MmSmOTjQZEVZJFQA,0,https://yt3.ggpht.com/ytc/AKedOLSF4xPkEeK5IBzSFsMX61n5oeOUmM4BdX7dBK4a_w=s176-c-k-c0x00ffffff-no-rj,0.0
