cid,text,time,author,channel,votes,photo,heart
UgyFea_GV4Nw1hsbrJ14AaABAg,"►For personalized classes on stock market, please check [Last few seats left for March Batch]:
https://wisdomhatch.com/",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,2,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz62em_3-tn_ksMsE94AaABAg,Akshat ....Please stop the Buy on DIP videos...Though You are right on Your perspective.Market is fuckin has its own Perspective.,1 month ago,XMan,UCx0aUmFaw5eXSb8Yn4LKHIw,0,https://yt3.ggpht.com/-EEkQTWCo0D9Exjw3VqVuPAnkYJMFw5fpUP75Sh_fXYhL0OscjPL18TocjxeMIVq7-ReRMtnqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdiFuW3G4D2jrDM254AaABAg,"Hi Akshat , can you please talk about NSE IFSC US stocks topic?",1 month ago,vinoth kannan,UCzT_cymcDEjCi5FyHEj36JQ,0,https://yt3.ggpht.com/ytc/AKedOLRIED9IJ2o8NO0ECHWokeWmsDN00_eG-75Z86bixQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxRkGJt-7UyTtvq8rJ4AaABAg,"i will forever be indebted to you, you've changed my whole life and i continue to preach about your name for the world to hear you've saved me from a finacial debt with just little investment, thanks so much Mrs Natalia Watson.",1 month ago, carlos Zach,UCbwV_2sLwx6lo3mEgxmnE9Q,15,https://yt3.ggpht.com/GqmrpDpsF_gC_VR99sYkB5qDd3JcTC3xD82e6gFIXnAHpE9nQ_4pFHOQOxrb57m4S24reB2QXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgztP8yvMSosSYXGoMx4AaABAg,Sir hindi me video banao na..,1 month ago,Satish Kannan,UCErSfWX-D12UO_JsdZCCZiw,0,https://yt3.ggpht.com/ytc/AKedOLS8XV1pWlQqRGo8wJj5iH_-1Mi4JzGC3l-dBSmbcQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgOzme8HlZFhSGI5t4AaABAg,"Hi Akshat, I appreciate your efforts to create videos for everyone from beginners to experts in stock market. However, videos which are ""so obvious"" like these spoils the mood and flow of your whole YouTube channel for people who have atleast this much common sense. I urge you to split your channel into 2 parts (one for beginners and one for advanced level folks) so that neither of them feels cheated of their time watching such videos.",1 month ago,siddhant guralwar,UCTLC3iHQKssz_koPAg8m53g,0,https://yt3.ggpht.com/ytc/AKedOLRxoEBPe6zPg4wI7MKgCvqNq-4ROdOTjFum-w3aY78=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbCurjfrtwivPLvAJ4AaABAg,Hello sir. You do put up videos on Live Investing. Please also let us know whenever you sell the stocks and why. Thanks.,1 month ago,VISHWANATH SHETTAR,UCTqZwJYcixJMWHYLzp5UjGg,0,https://yt3.ggpht.com/ytc/AKedOLRyWv4d5BPa0fHBpbQ7zR5_z2Rg41dxTG21rTKehWv7wolI4v8Km1onHMKuNfxP=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgF47z5j5EMlvMZ854AaABAg,such misleading content,1 month ago,HLX S94,UC7HifjaRtpvSPccNCGmpzaw,1,https://yt3.ggpht.com/ytc/AKedOLSZgXoMhDTuOhVKrPlChPXt0GRQGaC1ZIA6Jm48=s176-c-k-c0x00ffffff-no-rj,0.0
UgzArVvZBEQR_PnKa7J4AaABAg,Akshat ur videos are having lower volume compared to other YouTube videos. This is true for most of the videos. Can u pls fix this sound issue. Thanks,1 month ago (edited),Arpan Shome,UCFhhwMs5h2AfAUQ81I4Ravg,1,https://yt3.ggpht.com/ytc/AKedOLR5BgJH5RVwSgXhOHwPEul2rMr5fozQ1fN-SA=s176-c-k-c0x00ffffff-no-rj,0.0
UgytGlPOi-vUd6hP8RF4AaABAg,Volume is too low,1 month ago,Ritesh Singh,UCTLBM3ke8LDUigyOwL6wYLQ,0,https://yt3.ggpht.com/ytc/AKedOLQjmJ6g-SH4oytptboEx44J8AcEiO5O67JtPUreBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzybAhFMr5PkHpc4XJ4AaABAg,"anyone here who believes in
buy high sell low?",1 month ago,Viraj Shah,UCvAPYenbGmTba3p7vh8b11Q,1,https://yt3.ggpht.com/ytc/AKedOLQ8_5zLsxl6JFtDRlK6HPNTwNRuduLRFDMLjg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhI99xP-1T6Dq225Z4AaABAg,"But guys this has to assured by Putin alone, am not seeing any indications of war being stopped.  That guy Comedian has no brain he wants to fight a big war without weapon,  he might ne thinking that it's a cinema shoot.  Totally the current situation is unpredictable,  it may worsen even more.",1 month ago,Manju N H,UC9LwWd1J-UOM18c-quS5z_g,0,https://yt3.ggpht.com/ytc/AKedOLTqFfJCXsjlMZRpecHAO0gNHWJKk-pfGp9OPuOD=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwjoLhmDZK4MW7CLB4AaABAg,"If it were only that easy.

How can anyone predict what is the actual low and when is it exactly on the high??
No matter how much of current affairs you are upto date, its not an easy job.",1 month ago,A M,UCV6Mi2J8TJGGcD5LWstiwbA,0,https://yt3.ggpht.com/ytc/AKedOLQeDkr7Dj0in_N_-3WUMVuXcUHvCvuJ0vlgDR6j=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKoJiLNY5banCS_494AaABAg,Very soft volume 😭,1 month ago,Samit Chakraborty,UCgSUPj_dqZ3FYjxJP8KmJGQ,0,https://yt3.ggpht.com/ytc/AKedOLRG5Cr0lri2quXc9tk-w9tyXDcP5Yzm04oEcw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEd8yJNInvpp9YCRh4AaABAg,Can u give some idea if any housewife has to start investing in share market..how she should start   ?,1 month ago,Gurmeet Chadha,UCHMmG4qNkiXRtEGKCQgtRHQ,0,https://yt3.ggpht.com/ytc/AKedOLRDHrT2oIPVr8vn_KuiUWrJCPPPcV8RR_cv9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyGDa3YkefFolw6YL54AaABAg,What if the war does escalate and it falls much lower like it did dyeing COVID,1 month ago,SuperKnight1010,UCfdDlNjT9N4CWxRXR5Gm6RA,0,https://yt3.ggpht.com/ytc/AKedOLT5Gvl4IN_NoRokBa5Pq7tXWaXiihNbGeOp=s176-c-k-c0x00ffffff-no-rj,0.0
Ugycg9EC_nsPVWDf2wF4AaABAg,"The lesson to be learnt by #India from #RussiaUkraineWar is that, if at all we are going to have a conflict with western countries, then we need to be ready to face their multinational companies like Alphabet Inc, Meta, Mastercard, Boeing, etc. too, in addition to their army...you were Questioning why we need a youtube alike a setup for india !!",1 month ago,Madhu R,UC2eQ5lEGLKj5D8b3376alIw,0,https://yt3.ggpht.com/ytc/AKedOLR96zuSr2LYqM-EqUDPzmMImvLI1NjBw4e29a85iaQ=s176-c-k-c0x00ffffff-no-rj,0.0
