cid,text,time,author,channel,votes,photo,heart
UgwKVtWku7p2jLXmmRl4AaABAg,"►For personalized classes on Stock Market, check out: https://wisdomhatch.com/
____________________________________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,14,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgydnMuUSwMhmSp2Yfx4AaABAg,"Sir, plz some more videos on mutual funds as i cannot do stock picking and investing because i do not trust this world.",1 month ago,Sky Blue,UCojgEX3XXzfFiCzcRsyUz_A,1,https://yt3.ggpht.com/ytc/AKedOLQqzsyXxP9tKybQarTpEHCwAiSB9yhA6oJBfQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyN2PS-Q6XNwqoSLuV4AaABAg,"Hi Askhat, v interesting videos.  Would also be interesting to hear your take on the market valuations and how you think about those.  You dont seem to talk much about valuations.  Not interested in buying or selling recommendations but whether you look at PE / PB / EV multiples etc and your take on those",1 month ago,Suneet Singh,UCUExMeUtANNObMHJLBtOEHg,2,https://yt3.ggpht.com/ytc/AKedOLQB0vLGjKWKbbdNKDhHexdXMPj_EjTfr1tNDw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJpfIrCK3S9s94vp94AaABAg,"Dear Akshath,
wonderful video  
loved it 
Could u help me learn about averaging when the stock price is going up and going DOWN THANKS",1 month ago,gowrishankar swamy,UC9IZpjyS-ZE5XH7PA9qbiCQ,1,https://yt3.ggpht.com/ytc/AKedOLSCODdR-MEDg-B2zJTNFEkMbtRJCBKos69VUnw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYORJih-v1i-0_3V94AaABAg,Tarsons is a great pick and a potential multi bagger as explained by Saurabh Mukherjee.,1 month ago,Ashish Sahu,UC_WpU2l5_VWhH1Rs6UisK6g,0,https://yt3.ggpht.com/ytc/AKedOLRfdHjlQ33ng4rzgDQvlDSPQIB0xAwZ1po6bA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7DSXarWaQ_Bd1zv14AaABAg,11:57 please make a video on this  sir,1 month ago (edited),Soumen Chakraborty,UCwkTmdpM84ycD_B0sBI6Mng,0,https://yt3.ggpht.com/ytc/AKedOLS1R5lvYGq97ZCqawLm3IOpCgmx5BBxGZ1TqY0h8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYctEOkGRaMCj2j8N4AaABAg,"Akshat, Should you try make your videos 1.25x faster and then upload it? 

Also, I would like to know what your daily routine looks like on weekdays and weekends, how many hours you work on your business, how many hours in reading/learning, how many hours for stock market, how many hours for your kid, family etc. It will help me understand if I can also increase my productivity. Also share some thoughts on productivity also. Thanks!",1 month ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,2,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7kr9weDw1ZjlIHZN4AaABAg,HDFC AMC has been gradually loosing its market share in the industry. This is a big red flag.,2 months ago,Raunak Rajpal,UCybZfBy3N5ziErbVpyCtILg,0,https://yt3.ggpht.com/ytc/AKedOLQLFqJzLsDGT6gGKNwVv2LN9zenrlYvHPwX9y5QbQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsmaJlIQmEU1uhSo54AaABAg,Crypto is the future of banking. Hdfc is going to go Kodak way.,2 months ago,Naman Gupta,UC7alEu9xzT3lC_VhQWX0QEw,0,https://yt3.ggpht.com/ytc/AKedOLQGW3mPlO1xx-1RJDonMpp_EcsjUxOghm3FmiJd9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVJP5-NnPaKA1WSE14AaABAg,SEL or sakuma posted superb result sell UP 700% profit up 1000% sakuma cross 28rs soon . Lahot overseas and Ester ind also multibagger stock. BSE LTD cross 5000 before bonus,2 months ago,Stock Market Kaa Dhamaka,UCsHXuOFNFjIwjf4hV-OvU2A,1,https://yt3.ggpht.com/5ymQSc24XNJfAERsPz0KBlf7CYUo0JNrLyqPgD1IbxiAuqy7QVmRHHHS6b5zQkLYDaaWbhjALEo=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUGH98ScE0Cow73aF4AaABAg,Will HDFC amc not meet competition from ZERODHA,2 months ago,Chittibabu Vakati,UCAb6-6PXFH2o0AOwTvDTHcQ,0,https://yt3.ggpht.com/ytc/AKedOLSfhDHlXFpyP-IXlymh2ltQDWxNTU4OPwCDSA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0ploPVIHVLu14wD54AaABAg,"Akshat- can you please provide your view on L&T Finance Holdings, Gillette, and Jhonson Hitachi control?",2 months ago,Abhishek Gupta,UC_RYM0rwI6uukd00KmBK20A,0,https://yt3.ggpht.com/ytc/AKedOLQEgir_uu8RXUvCxn4DAF5M1I9g47lnYkr0hw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyztkodrkxH6AFs-p14AaABAg,"Hi akshat, I see a lot of good chemical stocks down, at least by 10 to 20%, for ex rossari bio, ngl fine, fairchem etc, do you think we add them in small quantity or we can add 50% now and they are not expected go down further ?",2 months ago,vivek subramanian,UCY4L4yxJAQJYYMNJbuG61IA,0,https://yt3.ggpht.com/ytc/AKedOLQO3h8o5XmUEL9wEx8vjilsLJFXIVeJDCKAsw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyeCz9He0tecrxydV4AaABAg,Nice information sir,2 months ago,sunil patil,UCA8ZuFDW9BUCG-W5HiYqAzg,1,https://yt3.ggpht.com/ytc/AKedOLS5BY23EU4ojgnBxY4nRcpFqeZO7slQ2pNuQw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtRIbvBxSvlrzfmCN4AaABAg,"Akshat I am amazed with your time management skills as you regularly make videos despite your busy schedule 👏
Although your views are different for investment in Indian IT stocks but any suggestions or your take on TCS's recent announcement of buy back option at around 17% premium?",2 months ago,MP MG,UCjt-leotNqNY4TsfJ4mJGuQ,0,https://yt3.ggpht.com/ytc/AKedOLQ_OLwVjgNIfeAgvZxthSEDYtbXKijy0Kq03g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXXM0-vK3PboxD3ql4AaABAg,"Hi Akshat, can you please make a video on midcap fund investment and the forecast on its performance in the near term given the current geopolitical uncertainties and market volatility. Thanks",2 months ago,SWAKSHAR BASU,UCPMc0lmvXOn47TM9d5ncbQA,2,https://yt3.ggpht.com/ytc/AKedOLQzRMIuikEAB7PNGao8S7qak-bAYuo0oHWHLC31Nrc=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmEWYkoCEh0httVoV4AaABAg,Good explanations.Please do separate video how to buy stock in downtrend and uptrend as suggested in this video. Thanks,2 months ago,tokapoor,UC7NWdfZdesRW2KANXGY5Z2Q,2,https://yt3.ggpht.com/ytc/AKedOLSqPH0fD4DrFApguk3l46zdfBY7P0Ld6wUNqg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwuj6JyOladJmYCL3p4AaABAg,"14:52
Lot of people started not stopped 😂😂",2 months ago,Sunny,UCs87mtGtazptmvv6kbrpn2Q,1,https://yt3.ggpht.com/ytc/AKedOLQ8UtsCNwlIRQhlor3WS47-rNMm0wLSQk0DiH4rXg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwc4jCHDDfHOSzsaBB4AaABAg,This guy always mention will explain in other video by recommending a stock..,2 months ago,Sunny,UCs87mtGtazptmvv6kbrpn2Q,0,https://yt3.ggpht.com/ytc/AKedOLQ8UtsCNwlIRQhlor3WS47-rNMm0wLSQk0DiH4rXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxZHp0Pn5Q7U5uatx4AaABAg,"Hdfc hdfc hdfc
Better get a job at hdfc",2 months ago,Sunny,UCs87mtGtazptmvv6kbrpn2Q,0,https://yt3.ggpht.com/ytc/AKedOLQ8UtsCNwlIRQhlor3WS47-rNMm0wLSQk0DiH4rXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKVtWku7p2jLXmmRl4AaABAg.9YJPC28Zqu29YJSmeztjFw,Please monitor your comments. There is a spam account selling fake number.,2 months ago,Black,UCuw6N3_v3IoVOB26hBXUMSw,4,https://yt3.ggpht.com/EvxPJL-AyZgkMNpkpy07JyG0LYxKXFTZifmXjR2YyLVApW8w6RfO4ourE-n9BZ7SZoGItSVYQE8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKVtWku7p2jLXmmRl4AaABAg.9YJPC28Zqu29YJTJ233jQ6,Please make a video on Aarti industries ltd.,2 months ago,vijay kumar,UCS-7Nf6NTMRM_nxc1Gy8zkA,2,https://yt3.ggpht.com/ytc/AKedOLQ8r6u3NGmRtkZyAV3MZe0TnHUVb2XAcLFioejflw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKVtWku7p2jLXmmRl4AaABAg.9YJPC28Zqu29YJV77bK3wL,Thank you for the quality content Akshat. Can you please make a video on upward or downward averaging of a stock ???? There are many videos in Youtube about this topic and I found most of them as the confusing ones....awaiting for ur next video 😀,2 months ago,Raktim Nappo,UC-0590QlglSJS4GaO4pEd-Q,1,https://yt3.ggpht.com/ytc/AKedOLTxsGN4h_AQcQxPhCxyi3WelVNeTb_dyjEVsmDQsg=s176-c-k-c0x00ffffff-no-rj,0.0
