cid,text,time,author,channel,votes,photo,heart
Ugz6kbcbFzeTBUf8bAl4AaABAg,"►My LIVE courses:
https://wisdomhatch.com/",3 weeks ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,0,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqgAoIindxyZ9iqcl4AaABAg,"Sir I am looking for job ,I want to associate with you sir pls 🙏🙏",10 days ago,Yogesh Dwivedi,UCfO6p-snh1H-m7ZHL-I1UgQ,0,https://yt3.ggpht.com/ytc/AKedOLRrCv6j9S1_3JrucW61G1aFvsRr5HMSIf55Gg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWxiumv407WZX_9BR4AaABAg,Chal be crypto currency ke jokar,12 days ago,Vikas Sharma,UCHbM7nA-9MmAAQN2mO86OFA,1,https://yt3.ggpht.com/ytc/AKedOLRN_ElgaGFISzAoh98neKxyXmH7CqUre_q3FA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6RKhi-dnotz9cQAN4AaABAg,We can sell put options and call options  in these stocks as fluctuations are quite low,12 days ago,Naman Dixit,UCI3NhrqoqPBCYO5N4D-EsUg,0,https://yt3.ggpht.com/ytc/AKedOLScMFSUMN0kOFIN_MUPb-9bV4VHWM8Jt7MuGkducQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMdk2dyfrI-6NrPhh4AaABAg,Thanks,13 days ago,THE IC,UCNuY9d0KGTL9nq2NnRXV6Pw,0,https://yt3.ggpht.com/BQ13OtYUSPTE9EvzzPRFRwkN4MEpLwHSEfP6ClVHpHkJE3kqnYN8pShHYcUksjn4_mIW3DI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7HlagMgLhcyA1yXp4AaABAg,"Sir what do you do ?
(Only long term investing) or (long term investing + short term trading) ??
Honest answer:-)",2 weeks ago,Aavesh Prajapati,UCQeE-w1GaSjrbpPsGh4yWxQ,0,https://yt3.ggpht.com/ytc/AKedOLQmqZutVSA4Gm0EvfaIDQoMfua8o9s_h0Je7bewdA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXwI9YxZfKcvhEr1J4AaABAg,support and resistance level of sbi,2 weeks ago,Shrutanjoy Adak,UC3QUlKIsA7GZMl9NLBP9t7g,1,https://yt3.ggpht.com/ytc/AKedOLT3G4jgEHzwxCGT40U0OD8_eXfXZnTDqgE5kQmE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx05s3IlYN0hjV_5cB4AaABAg,"Oil india, ongc are for dividend not for growth",2 weeks ago,Raj Kaushik,UCIhYvzfK_nadNnnHq-k-j9w,4,https://yt3.ggpht.com/ytc/AKedOLTgJjRhHtgj8G3ZIIgW1hfr7acnmygVf48lHv4RFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwntG90FBDoUYzJErh4AaABAg,"Trade but not invest, can u please elaborate",2 weeks ago,VT'S VLOGS ✌,UC4AmVCIeJKv48sX2m-hkNwQ,0,https://yt3.ggpht.com/iTDc6LSLMRel32I-XXNSOCvDpF261t8k3RsOfXYFQURhKv47lKNqhDy5TExsmZuWOlaQVlQe=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZ0rrhNQsGisdWkDR4AaABAg,I know ilu ilu but yeh psu psu Kya hai?,2 weeks ago,daily hacks,UC9ni47blfXGgle9Q_XOQnlg,0,https://yt3.ggpht.com/ytc/AKedOLTl4qikEbn121VwYV9tY53SGKLOFt4xNHYXLA=s176-c-k-c0x00ffffff-no-rj,0.0
