cid,text,time,author,channel,votes,photo,heart
UgyW_sYgECYMoeg2IsR4AaABAg,"►I teach about Indian and US Stocks on my course, you can check it out here:
https://wisdomhatch.com/
_________________________________________________
►Check out Jupiter - a neobanking app which allows you to manage your money in a smarter way:
https://jptr.onelink.me/TOMp/9d492b81",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,21,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTqt-7kZXepBgCzC14AaABAg,Unsubscribing u,4 weeks ago,ALL IN ONE,UC0JcS5p3cHDzBZ5XBcO65QA,0,https://yt3.ggpht.com/ytc/AKedOLRg28jXG8gHL4IwEg8mjTaAbj1s0dlVBmGowsnVQVUWXUPO4SkIxujnbzlr94ga=s176-c-k-c0x00ffffff-no-rj,0.0
UgxU_H1AgVoYB9fil454AaABAg,<I'm new to cryptocurrency and I don't understand how it really works. <Can someone guide me on the right approach to investing and making good profit from cryptocurrency investment?..,1 month ago,Greg Watkins,UCo3IPIUbNUQvO2mp3T7jReg,2,https://yt3.ggpht.com/9onf6MoaauUHveupRgTJC0sgnvp5s6oRNAr2qLW5Zk4UwM24QA7c5dmp0CZ1ndn88fussgF8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvW7grplr8ZPA03YJ4AaABAg,Having a dynamic strategy cannot be overemphasized when trading. The best advice I could give to any trader is don’t trade if you don’t have a working strategy.,1 month ago,Vera Monique,UCuNEqBCd1ps7VfGG0oA6naA,128,https://yt3.ggpht.com/t_EAZU8XpEArWnDS9EbWNbwyVTC7Ey0ivzWc88Ay0erPnPG_c65jsxYJ-9qgp0pymsBRmtHXsw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxi0fzTTcCAkx2Ipn54AaABAg,Please give some suggestions on green energy shares.,1 month ago,anurupa mukherjee,UCQhGUwJXHbn76yhXAl8b05g,1,https://yt3.ggpht.com/ytc/AKedOLT6V7ipCDukhaCeOENmUkcGzTEWMchc3-FgGHgs=s176-c-k-c0x00ffffff-no-rj,0.0
UgwF1auONh-2NlkDps54AaABAg,PlZ make vedio on Adani Wilmar,1 month ago,Indronl Roy,UCRaw5RF-IIYbDRSPkSwizuA,1,https://yt3.ggpht.com/ytc/AKedOLSHOE9WSDehG4LTCVVHzhacKInFpzng6Pw9elx74g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbySwTtSNs1NSvbqN4AaABAg,SBI Cards ?,1 month ago,निखिल घाटगे,UCuNfw_fcro9bCBVf9oOFEzA,0,https://yt3.ggpht.com/ytc/AKedOLRnfvwtnBpVMMKgWruAk5F7Bjvz8DC_pTtPjSAsYw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHcYN-WLsGwY4vZnB4AaABAg,"hey akshat, have you bought Dmart? please shed light on Dmart as it has fallen by so much.",2 months ago,Rakshith Raj,UClQ1_WsgDEc06IurL-Qtzcw,1,https://yt3.ggpht.com/ytc/AKedOLQdYDLB8b-ZNVNI7_vvH6dk9I-woMMwEmPTHQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhgdVSF_sVXJd1YUB4AaABAg,"Hi Lord of Wealth,
Please share the websites that shows such data about a company. It would help in analyzing as per your guidance.
Appreciate your efforts in making youtube a better place to invest time and learn life lessons.",2 months ago,Sushant Gautam,UCjBaCiImIyb5343NzN4arfw,1,https://yt3.ggpht.com/ytc/AKedOLTPoQpZbt90xbHncPDmgJmMq26mAAZjqkDu7_wu=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEbpAOPFzuZjgoahh4AaABAg,Are you sold any shares on dip mean quite opposite to buyondip?,2 months ago,Viswanatha Reddy Gunjapalli,UC2vPRXY7i5Evj7rxuvhGmCA,2,https://yt3.ggpht.com/ytc/AKedOLRUyZp05fIxXQCZYopjN87RM0Ua27td7BFKdAWeRg=s176-c-k-c0x00ffffff-no-rj,0.0
