cid,text,time,author,channel,votes,photo,heart
UgwdTa5nz7lhK-sp5o54AaABAg,Hello Mrs Clarissa the bitcoin trader is legit and her method works like magic I keep on earning every single week with her new strategy.,18 hours ago,Alex Beckertech,UCyRE0Y2jQk3SD8yAJVur_5g,85,https://yt3.ggpht.com/Z037a0ma4mKMIdNIPCHle8XI4TE88Gthek3U-5gs6Q599avPeKksb0J8AW-6KgCueasoVifAOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyiAgTPVe9kEifM7sB4AaABAg,NICE VIDEO.... I HAVE BEEN TRADING FOR MONTHS NOW. I KEEP MAKING MORE LOSS TRADE WRONG COINS PLEASE I NEED SOME KIND OF ASSIST OR ADVICE ON WHAT TO DO,2 days ago,luwis ja,UCXHDlm7vkaZk68J00iASM0w,47,https://yt3.ggpht.com/GGB9IaubaHAP-qwQfILmqAP6yk-uFAvuvVPYOn_1L8RsMl1sWDbUeX-pQg2HdsQvv2KmI540z5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlU-jD8L2E9qaEKQ54AaABAg,Really very interesting and clear information,2 days ago,R P,UCeVqBa0UAsd3_SJmyCZCOgw,1,https://yt3.ggpht.com/ytc/AKedOLR7u1nCuisjvg7wp_UQ-B6PttN2NoHCxhtBXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAoSOQAzsO9X6Fks14AaABAg,I really feel left aside hearing and seeing several testimonies from people on profits they make from crypto/Forex investments. Can someone please recommend a good expert that can trade on my behalf and generate profits for me🥺🥺🥺,2 days ago,Stephanie Kaka,UCnDGDcqqU-GxP3g0jqxlyjg,64,https://yt3.ggpht.com/ytc/AKedOLSmh2sziwViFHox8gCSJjY36XwPS3vxFWRmrfqy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8GTUQhpAltOHRijJ4AaABAg,"Spammers and scammers are evolving 😂😂😂😂😂
Now they create a chain of 100+ comments ,with some obvious or general knowledge quotes . And spams comments on the end as if they are making a conversation . Lol",3 days ago,Santo M Y,UCzWmyKelPGSd2QYTRbIpBJw,0,https://yt3.ggpht.com/ytc/AKedOLSP1J9AEggdvZSjJwwC4gpUs-viyVj1dSEJyvrLzQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy50nQAiE6NnraoEG54AaABAg,"Akshat, its not easy these days to add money to vauld wallet. i am majorly using Gate IO as a crypto exchange is it safe? also talking about longterm stocks, Fraser & co is a stock where i have started a SIP, is that a good thing? also tell me about good cryptos to invest for a long term, should i add more currencies like mana, Pearl, BAGS, VET, ALGO, matic, FTM, GRT, REEF, SAND, POLK, BAT? please tell me what curriencies to stop investing in",4 days ago (edited),Kashish Bhatia,UC-X3-Ym7mhW2gsrVc6svXsg,1,https://yt3.ggpht.com/ytc/AKedOLRZCnuhmcbC4dyu93f9E61pLD0J082E0TAeQhVO6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNZGgVpaHHcf5cKOp4AaABAg,"Most times it amazes me greatly the way I moved from an average lifestyle to earning over $63k per month, utter shock is the word. I have understood a lot in the past few years to doubt that opportunities abound in the financial markets, The only thing is to know where to focus...",4 days ago,Blessing Danilo,UClw7QgLTec4mD5TlR17Hcsg,30,https://yt3.ggpht.com/ytc/AKedOLS9YZY6HDt6tzxzCUv8qOEPXv7A2tNgHbb9DWHt=s176-c-k-c0x00ffffff-no-rj,0.0
UgypBB64kWj11gmNYUd4AaABAg,"Am here to learn how to invest after listening to a lady on radio talk about how the importance of investing and how she made $360,000 in 5 months from $80,000. I'm a newbie and I'm open to ideas and suggestions.",4 days ago,Zoe Collin,UCxMALJKUyaj85fLaenWM1qQ,5,https://yt3.ggpht.com/kt7JsK4Dx9GNdiBMDlxWc4zrh7bZ6A8AgKrKQgQ4eIglHz2JrrJKoGH1XtWpeRpIrGiUGvZl3Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_Ncr_xep9bPOZ94d4AaABAg,"I started with $1,200 at the beginning of  March and I'm almost at $22,558 now!!! all thanks to Mrs  Thurston Tamaae  You're the best. Investment has been the only gap differentiating the poor from the rich..",5 days ago,Richard Wenger,UCZYaaxa_Mo5jJcQCi4DFNsw,12,https://yt3.ggpht.com/RZXh_Nykb_WaAX8S0OiOV87tv_0EFghVthnwUaf7n8zS1pNz7ilAENDKte_OntdaxqdJJ5lNg4o=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMWoULkV7X1oGCe5F4AaABAg,Hello...how are you...what is your opinion on MContent Token,5 days ago,GlobWorld,UCiFzhOahUnZsI7gGjEUk1Cw,0,https://yt3.ggpht.com/ytc/AKedOLTFrqQoCJvrCTGyuxq7hhHNxnOOsy1pcoqy_pNEsQ=s176-c-k-c0x00ffffff-no-rj,0.0
