cid,text,time,author,channel,votes,photo,heart
UgyivHynhR2158fTBPd4AaABAg,"►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about US Stocks on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,21,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7M94Bj1-Lm8Btn6J4AaABAg,"I am new to stock mkt, learning lot from u slowly.",2 months ago,Murugan Gopal,UCnZnNL9GZmmh4OJEm2wOArA,2,https://yt3.ggpht.com/ytc/AKedOLTu5z9EzbI6VZwuUQaEMoo50cmBBtAEjsxQKQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgymdVXr-o0flGfBp-h4AaABAg,is there any existing Pharma or health care company that is diversifying into Genomics,2 months ago,Venkateshwaran Venkatramani,UCF_FrxhDM0SkifM772OsKFw,2,https://yt3.ggpht.com/ytc/AKedOLSjQ0410qsBkt2q5KTe45a9L4JA7bvzZrrudg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7WQ91zNO2VPRHIch4AaABAg,"Bhai, Par kahan hain tumhare. 😯",2 months ago,Kapil Nagi,UClS0x4nbFdcgS6himCnSZFg,2,https://yt3.ggpht.com/ytc/AKedOLSvj6WEpoPowUIiyvTtsIdpjKhwkX3VN6EkWMQjRA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZhLeB8YrSrfD_4-h4AaABAg,Super video.. Please suggest the sources of your knowledge..,3 months ago,Anushree Boral,UCzYzSZSKhAWb4lEeGNzpHvg,2,https://yt3.ggpht.com/ytc/AKedOLRM4pDO0dj93BLQVsvEklZCTD60kS13Ppky3qUx=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLoP8JS91dE_KGnc54AaABAg,How do we invest in this Ark ETF?,3 months ago,Abhishek Kadian,UC8uG2I29AahvzuC_Zj-Ozow,2,https://yt3.ggpht.com/41Ppt_SHi9hGCPcTk4d5pOKJLG9IG9IowXy-1ndagkPaD6OjwzyXFNuIm-KwQ0nRObyQSlapz68=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNVQtinxihjqw7MSF4AaABAg,"This Industry is bound to not boom in india but will certainly do in the western countries as stated, but one such company in India is Emcure and it is overall based on a good fundamental base and also holds a global presence in over 70 countries so I am personally looking to invest into it once the IPO get's launched and is stable in the upcoming months.",3 months ago,Yuvraj R.,UC-jPu2RtIbkkG7b-4H_ykJw,1,https://yt3.ggpht.com/nVhNs1nOilg7xhrTVXvQ8Q0QHfsPx0u4SHYp7reVQnWuK-GT22SHxp0mTuCEpbY3-e1q2R_7=s176-c-k-c0x00ffffff-no-rj,0.0
UgxC2F2JFyp1ds-nMjl4AaABAg,I just noticed I got the same decathlon gym sweatshirt 😅,3 months ago,Mohit Bishnoi,UCtuvgF8imCvCoy8UPvRSM7A,1,https://yt3.ggpht.com/ytc/AKedOLRkQRBF4gIjnjccpv3vw5Y-qa9vW6vly2iTMdOPnNA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaJ6Oyq3muUFrpNpl4AaABAg,What is the best mode to invest in foreign etfs?,3 months ago,Megha Agarwal,UCrLNsGP935emnKpJNARJfEA,2,https://yt3.ggpht.com/ytc/AKedOLT-nrdDZFigpTHQFyFSGQf4RfOBXbs_-BT40c3yxA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR8S2WaCxgTgFOjAV4AaABAg,"Please tell your view on paytm at this point of time, due Jeffries again cut target.",3 months ago,Hanuman Raja,UCzDIY19I5_UrhygVn_O_uxQ,0,https://yt3.ggpht.com/ytc/AKedOLR7RAlRdDXDYENULGqpZ3voafDNY-gg4DktFhIY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLfRRHs8jDyL4zh-V4AaABAg,Please video on finolex industries,3 months ago,Renuka Patki,UCiBa2o6LVT5qn4RM-Oq6evA,0,https://yt3.ggpht.com/ytc/AKedOLSFCkxkG7HAo9exWep8sIB_5FqdKLr1pwcawg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2tEMi070d2Y2uZnp4AaABAg,"Hi, Akshat, possible via Indian ETFs or MFS in US Genomics?",3 months ago,Arun Ramakrishnan,UCkf24Uo3LPYRkyI95g1gcXQ,0,https://yt3.ggpht.com/ytc/AKedOLTdP6LCkIdPdGzBXg6RJTV5hA1ItuBwdgjsYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJv_YbsE-h0cI1TQx4AaABAg,NFT is future.which crypto is leader in nft.pls explain,3 months ago,satyendra kumar,UCEtoV66-vGtxc312zsuqakw,0,https://yt3.ggpht.com/ytc/AKedOLTtS2GR2HQUT_Npi8FD94xT2pNmGpSOCGId5MdHiQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-iNjBPJo9yG-L6ih4AaABAg,Hats off,3 months ago,Patti Vijayakumar,UCBclAtO0hrXQXHqtoyluh2Q,0,https://yt3.ggpht.com/ytc/AKedOLRxlrHFY4wcPf_Db57rli7lknvN-AWYa6CvjQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgylSCF7ftSepfPniFx4AaABAg,"When tata fund added any share means the share is right to add see 73 lacks share after adding in the month of December and HDFC also a trusted name which hold more than 1.37 crore share. See tata fund enter in this share in the month of November 2021 and the high and low of November can check, we assume that they are buy at low price so its come rs91 and share now traded at 83 so think who is the smart investor whether add above 91 or current price. See the disclosure come today and i informed on Friday to add. Any way when our target is big so every price is good to add . Now see HDFC fund added this share since july 2019 and that time the share traded at Rs190 and what see the patience they still keep hold big quantity. I always suggested to buy at the right price and give time to investment due to which all my calls only give profits and not even a single call give loss to any one .",3 months ago,thirdeye 2015,UC-R6dGvsAqiHR4MBFVG58Og,0,https://yt3.ggpht.com/ytc/AKedOLQks10JqUuSmfgoPylIQ2Fc4nzXVCh8OclZ7slj7y2bwEcc24UF6sxAtKbRPj2r=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwa-Ixy5TE4x4t5xpx4AaABAg,https://youtu.be/LtXIz8Xeg-Q Market crash is going to come. I don't know much about it. Please trade with caution.,3 months ago,mohanraj ice,UCGZMotY24L5GiC8oxQFzsBw,0,https://yt3.ggpht.com/ytc/AKedOLQ6bIA-8erhg8nDmMa071e4pKxpVartB9Z-cA=s176-c-k-c0x00ffffff-no-rj,0.0
UgymtVfiDdQbuSx8B2N4AaABAg,really  you  are educating     us  to the great extent not only with  stock market but up keeping the  knowledge.,3 months ago,ramasamy natarajan,UCgZk2ZQjT2vPpMqbhQOqYGg,0,https://yt3.ggpht.com/ytc/AKedOLS4q9_883bkbS4j-K48Ere4f2G1xp6HzMI8Uw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVt49bRr38xNRcsgF4AaABAg,"Hi Akshat, I have completed my B.Tech from a teir-3 college and having salary of 9lacs, I want your views on investing 5lacs in online MBA programs by Upgrad and continue earning along with that Or leave my job start preparing for CAT and invest 25 lacs to get into tier - 1 MBA colleges in India, according to what would be correct ROI strategy and would request to put your views on FRM. 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",3 months ago,Love Kumar,UCfiG1zmu8X4w2NzIlyv2lCg,1,https://yt3.ggpht.com/ytc/AKedOLR2Gph62zjA3l6SO_T4HTDI1usJdu-PgdKDHA=s176-c-k-c0x00ffffff-no-rj,0.0
UgykW9V1ICB-XiZX0UR4AaABAg,"Hi Akshat, I have completed my B.Tech from a teir-3 college and having salary of 9lacs, I want your views on investing 5lacs in online MBA programs by Upgrad and continue earning along with that Or leave my job start preparing for CAT and invest 25 lacs to get into tier - 1 MBA colleges in India, according to what would be correct ROI strategy and would request to put your views on FRM. 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",3 months ago,Love Kumar,UCfiG1zmu8X4w2NzIlyv2lCg,1,https://yt3.ggpht.com/ytc/AKedOLR2Gph62zjA3l6SO_T4HTDI1usJdu-PgdKDHA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvIW9JOVNJznzt32h4AaABAg,"Pls, share the website name you are using for analysis of US stock.",3 months ago,SakTHI K,UCFBNIxX6AnHNSO1nD9zE0Cg,0,https://yt3.ggpht.com/ytc/AKedOLQOUr6cgZWn3QsCuW7eqnux6RdMjBkogiVc6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wm_fYz7aVb,"Hi, what are the charges to invest via “Vested”? Also, how safe is it to invest in long term & how simple is the process to get back money in Indian bank account..?",3 months ago,Himanshu Lohiya,UC3GHFaBx01MSBeMllD5nsCw,1,https://yt3.ggpht.com/ytc/AKedOLT6sYvXcZ5CX2XsXjkZ8LP4IxED-xJxvAJq631mwg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wmbw0CL5LC,"I'll be also investing same amount tomorrow in that ETF, I've earned 52 Percent in last 7 months only following your videos, I just buy whenever you mentioned any stock, SOMETIME BLINDLY FOLLOWING ALSO HELPS LOL",3 months ago,PRASHANT K,UCvbiXBnYg0nILT925yBCGjQ,1,https://yt3.ggpht.com/ytc/AKedOLQl_jswocJMoFFOyC-NxJOJJ0hITajpojInGlGjxg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wmca-i9xHy," @PRASHANT K  Hi, you invest via Vested?",3 months ago,Himanshu Lohiya,UC3GHFaBx01MSBeMllD5nsCw,0,https://yt3.ggpht.com/ytc/AKedOLT6sYvXcZ5CX2XsXjkZ8LP4IxED-xJxvAJq631mwg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wme8Ec7-3q," @Himanshu Lohiya  previously yes, tomorrow I'll be investing in the same",3 months ago,PRASHANT K,UCvbiXBnYg0nILT925yBCGjQ,0,https://yt3.ggpht.com/ytc/AKedOLQl_jswocJMoFFOyC-NxJOJJ0hITajpojInGlGjxg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9WmeUvMA7x8,sir put the article pls,3 months ago,Sourabh Shannigrahi,UC_EdJ3n3VvuIn8FrxdGUuPQ,0,https://yt3.ggpht.com/ytc/AKedOLTeVql-r7yTYYE4wuIpXr94MePSPsvYBWg2yPfVMw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9WmheyGCmGF, @PRASHANT K  what are the charges in Vested? How easy is it to invest & take money out of it?,3 months ago,Himanshu Lohiya,UC3GHFaBx01MSBeMllD5nsCw,1,https://yt3.ggpht.com/ytc/AKedOLT6sYvXcZ5CX2XsXjkZ8LP4IxED-xJxvAJq631mwg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wn-Z7iqaCp,"This is one of the best videos ...Domain understanding, market sizing discussion to investment ...Super like ..best for a mgmt consultant",3 months ago,Ashutosh Nandi,UC6awt9ZeIEA0oCbK3GsD38g,0,https://yt3.ggpht.com/ytc/AKedOLSAZVdOO66ExbpJClTYstBOEpm_tRLvYa_frA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wn6V_vyD-o,Do you think that they can beat the god of doctors the legend know as RAMDEV BABA.,3 months ago,Bhaskar Tiwari,UCXFZZDXqVMnq48ppz3GdTUw,0,https://yt3.ggpht.com/Gz9UCWC5RGCRqWXyrURlBHwepzMV9MnAtebBXrl78DZxF-i6_5z1mxP39A7lkJvjzpZYPyZjNCk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9WnjrgjndAA, @Bhaskar Tiwari  Bherke bhau,3 months ago,PRASHANT K,UCvbiXBnYg0nILT925yBCGjQ,0,https://yt3.ggpht.com/ytc/AKedOLQl_jswocJMoFFOyC-NxJOJJ0hITajpojInGlGjxg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9WntwQwJ3zk,Akshat can you please make a video about lloyd steels that what is happening in that stock from past few months,3 months ago,Atul Pal,UC6sL-44vvY9sQKRdaL17CxA,0,https://yt3.ggpht.com/ytc/AKedOLTWbjhIyy95vPtKOOMoWU4gP2zmIj33h8ep8IGnqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wo7C0eM2Ix,sir im 18 years old ..i m one of your admirers :I JUST WANT TO KNOW HOW DO YOU COME TO KNOW THAT A PARTICULAR COMAPANY SAY X EXITS . HOW U DO IT PLZ,3 months ago,Karthik Kulkarni,UCdhBlAN-p0Lbmn-srk1QmDQ,0,https://yt3.ggpht.com/ytc/AKedOLSnKYA4g9J9o0J21MDjp5bj25ieTNiw6kk1TxwPMg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9WogxkLNVD7,Hello  Akshat(🙏)...By mistake i sign up vai the link given in this video description where also written '$10 credited to every funded account who signs up using this link' but now   $10 was not showing...,3 months ago,Avijit Paul,UCR3MFsVc8JwitRHdqYxZh1g,0,https://yt3.ggpht.com/ytc/AKedOLRGOXxgi2r5V2oNpE0pgPfljRGVzGbWOOR8mNZH_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyivHynhR2158fTBPd4AaABAg.9WmVYnZVl7u9Wvsq9IN_QD,"Hi Akshat, I have completed my B.Tech from a teir-3 college and having salary of 9lacs, I want your views on investing 5lacs in online MBA programs by Upgrad and continue earning along with that Or leave my job start preparing for CAT and invest 25 lacs to get into tier - 1 MBA colleges in India, according to what would be correct ROI strategy and would request to put your views on FRM. 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",3 months ago,Love Kumar,UCfiG1zmu8X4w2NzIlyv2lCg,0,https://yt3.ggpht.com/ytc/AKedOLR2Gph62zjA3l6SO_T4HTDI1usJdu-PgdKDHA=s176-c-k-c0x00ffffff-no-rj,0.0
