cid,text,time,author,channel,votes,photo,heart
UgxEyEx2wGBtaaMUnMB4AaABAg,"He wasn't able to say ""Crypto"", lol..",2 weeks ago,Sandeep Negi,UCXYM0SjlZCeyKGAwBtfpaGw,1,https://yt3.ggpht.com/ytc/AKedOLTIy9fVwk1ztGu7yGlac6PYeTD6fEMYFP1CPMu6vQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgybfiUuSfHzPH4da2F4AaABAg,"So Cute 
Take Care 
Achinta",1 month ago,Achinta Mandal,UCOeN040n6xBGr7ysC5Q9oXw,1,https://yt3.ggpht.com/ytc/AKedOLTvff1f11QzZN63gOnvikX49jblq_g0tj3AnyJ5jXx6WCQwtVZKYgU0QXWxr4V2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2HEbPJphHxci-RYB4AaABAg,Baccha bechara 😂,2 months ago,Chandershekher Pandey,UCjVcdcdaEWZSFtXPxEC_VoA,1,https://yt3.ggpht.com/ytc/AKedOLSVdSepu4T4G4jOoSDPcyHxEi_Jw8bxeZRofg=s176-c-k-c0x00ffffff-no-rj,0.0
UgygQY7-2QF3LCKB8jt4AaABAg,"Akshat : Zayn say crypto
Zayn : 30%",2 months ago,Chronicles,UCxtz8MyTwQuzCuf3VZTP07A,1,https://yt3.ggpht.com/ytc/AKedOLTCA8ayheSAVz3CpImhkxEe82NpQ7aHF5OBQ7Fp=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVJVIjwCvp2XA20AB4AaABAg,Ahhh is the best asset.. Will ever be.,2 months ago,rock den,UCHf4LoG02mX56Fpf7hq1Rpw,1,https://yt3.ggpht.com/ytc/AKedOLRiWIYX_t4LQkZJzjhidnKbMMAxj_sMTMGRUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIimNUmpe7zQwZoZt4AaABAg,Cute,2 months ago,Fin hub,UCMTsKXVKZEn8nYAyFDFD5nw,1,https://yt3.ggpht.com/_Jm8NopONynwzGhHMdGI3_TDPi_2Xu7qCpFhpJ-sVQE87kcZ0lZNDy--IaAd5Sdki0yDdwTl=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaJn1mt6v2Ybn12XV4AaABAg,Cute kid,2 months ago,Pravin Kumar,UCZwb4EC6DO5aeKSCYfj-rIA,2,https://yt3.ggpht.com/ytc/AKedOLT8AZNmmQ5wACIfbhU_YKwsKGGAOl2GYNg3TkfaLA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpYDyp_UfF_dkYDV94AaABAg,"Akshat: Zayn say NFT
Zayn: Laxmi
😎",2 months ago,Prateek C,UCr4H8kThZviBRoSNpXuTT2g,2,https://yt3.ggpht.com/ytc/AKedOLQ4ouZyU0Cj_TmmfoMuxIvhUhcaBLMp5eerCKuB=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCdtZ477VH7mP6NX94AaABAg,Cute,2 months ago,Sree Sabareesh Raja,UCwGX4LlskW5N0JZcN-U3_GA,1,https://yt3.ggpht.com/ytc/AKedOLQrhPnqVbbovR84CJXPhtcwd8qESPDRSpoPeyvauAA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdWbHGiG-mLQNNDt94AaABAg,Beautiful video. God bless Zayn.,2 months ago,ajay kumar,UCsHqyAazXZJeOaZBWNf7HVg,1,https://yt3.ggpht.com/ytc/AKedOLS4z9Fhi-hFTtDUoXQGtDI97xueEIucSHxreL2K4OHzWctLQF35lr4CxZb3ex_q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyI39S8xmq60dprtuZ4AaABAg,Super cute ❤️,3 months ago,Newfangled _ms,UCQD7kXSHFlqb_xNllMQPapQ,1,https://yt3.ggpht.com/ytc/AKedOLTWU303zjPU6hbvcpSbWicbT4S-3DGz0YymjxYtSL2lTHj9CmhSrtyMHuhQZWcT=s176-c-k-c0x00ffffff-no-rj,0.0
