cid,text,time,author,channel,votes,photo,heart
UgxdvXCkx3UZUdKToqh4AaABAg,"►Become financially independent by learning about stock markets. Check it out here: 
https://wisdomhatch.com/",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,8,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEi5cnAu4gkZsp1FN4AaABAg,"Sir in what form one should keep emergency funds? U always recommend against keeping money in banks for obvious reason

What exactly liquid money means?",1 day ago,dheeraj manchanda,UCHzassze0n01_sIGLhbytrg,0,https://yt3.ggpht.com/ytc/AKedOLQUOkuZuCRsPMAHyVuex-ygTOUprNVz_EWdEw=s176-c-k-c0x00ffffff-no-rj,0.0
UgymoZodVW6M5JO78pN4AaABAg,"Sir i want to invest, but worry is bank account gives atleast 4%, but mutual funds, stocks etc can give negative returns.",6 days ago,Pranesh P.R.,UCeLmT741pBb0y6SwM2iIKiQ,0,https://yt3.ggpht.com/ytc/AKedOLSWqa-QT542ncFxajiHwkQ0xdKfnoRVf9_Lsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxOstxE3EVjIkhzsB4AaABAg,Good info bro,7 days ago,Ramesh Shivaji,UCiomdxFZ4iBPGIeDypEhWoA,0,https://yt3.ggpht.com/ytc/AKedOLQmK5dQuuV-ucXy7H9kd4PO_KnrKMztIbKmlw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwpmu8NF_MMXLSWs4h4AaABAg,Can you make a video on index fund vs mutual fund?,10 days ago,Mohammed Ayaz S,UCC-cRHuc4eUGsY7SN1170LQ,0,https://yt3.ggpht.com/ytc/AKedOLQiDup42fpqvPJW5T3FhoGPh5a0IFTGYkDDSYw5yg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzePjuLGcG7DnjVIVN4AaABAg,The most difficult thing is step number 1 i.e to earn big. Here in India competition is so tough that even if you ask employer to give high pay they will reject saying many other are standing in line.,2 weeks ago,Shivani Dimke,UC4iZO_JQvcwDnyeusm8LMhA,0,https://yt3.ggpht.com/ytc/AKedOLTt7BsPQeuohn5E1bbQv7o7ZjdybeZ3kdUJhAJniw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLNbdg_P130IWmH-54AaABAg,Good  idea,3 weeks ago,Sunita Gurjar,UCiKlwST-ZH3aDX28WAs6tIA,0,https://yt3.ggpht.com/ytc/AKedOLQ0NP-Q29J_ef-YPi4IXEuoJ5lDHk7EztdutA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfBiqhMs_fPGLSXu14AaABAg,Which platform u use to invest in US stocks?,3 weeks ago,KNOWLEDGE INFINITY,UC7YWme9oTq_-27VS1hB8GtA,0,https://yt3.ggpht.com/ytc/AKedOLSQHV2Qs6eTWlieLLpd_Z2dJERpSk0bx4OZIUvf0g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7grmZA192IQxepaB4AaABAg,Very well explained sir,1 month ago,Soumyajeet Mitra,UCV5HAj_KjiHzj_a1L9rR1ng,0,https://yt3.ggpht.com/ytc/AKedOLTsNlADe0qNHJcXaoDeK5cUIN3AKFkztS6Z3xtqcA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugycu9G6xdPJiDdQFnN4AaABAg,2- Do options,1 month ago,Dhiren Sidhwani,UC-RWcAoqqi00v5WgsC2PrIw,0,https://yt3.ggpht.com/ytc/AKedOLRS87SJ8U-OcarlZ6xQGGjvHWXg4JmwuCmSATm2Vg=s176-c-k-c0x00ffffff-no-rj,0.0
UgygpKGt6BIOMPWbUKx4AaABAg,तू इंडिया के लिए बना रहा के अमेरिका के लिए 🇮🇳tell me hindi,1 month ago,katter Hindu,UCKb_OZcUfA4pVJ5byY2D5gg,1,https://yt3.ggpht.com/YIXJfKtB177s1mcG2NITe5SMZ9vSCY1YP_jID-VQ5dbDc8j5x7siex91UPB4eE12b_fQ6gBM=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcVn7uw_WioVtEbQx4AaABAg,"Semiconductor chip manufacturing will be destroyed. Automotive & technology industry will be doomed for 1-2 years. Metals, coal mining, oil producers, Banks & Insurance sectors can benefit from this war in Ukraine.",1 month ago,Juicy banana,UCaSA85LTikN_G0iC9cHoBSg,0,https://yt3.ggpht.com/ytc/AKedOLR0BnBlL9DuNS0oWWRWNXzXl8IYSWlikb_ViQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxP0BfSM7XJpkcMBmd4AaABAg,Your first thing is most imp and mandatory which other people fail to tell😛,1 month ago,Terashelf,UC7ZIdKSSZgNBs3sEkqph56Q,0,https://yt3.ggpht.com/ytc/AKedOLRSa_f77M_n-0Mj629v7EQOpB8xaA2F4chOOmtc=s176-c-k-c0x00ffffff-no-rj,0.0
