cid,text,time,author,channel,votes,photo,heart
UgyBalRrBpN9JuQ-bpt4AaABAg,"►40% discount on Business Analysis/ Management Consulting course: taught by me and an ex-McKinsey consultant: https://wisdomhatch.com/management-consulting/
_____________________________________________________
►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://vestedfinance.co.in/Akshat1
COUPON CODE: AKVES100",2 days ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,16,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwzggt5exmp0OnAowt4AaABAg,Please make a video on zomato,1 hour ago,Kshitij Agarwal,UCavNlZoFNj4M0Us0fzWMinQ,0,https://yt3.ggpht.com/ytc/AKedOLSjK0GEGTflcfSy05CX97C5Jfqwg5J2Ul_l6uf5Zg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEO1XEJJ9h6JwQUw14AaABAg,Please make video on Zomato,1 hour ago,Dhananjay Taware,UCLQ06ZbKvIJiIcQ8Isjs2VQ,0,https://yt3.ggpht.com/ytc/AKedOLRs8D9DUJgPo-Nqr5RvgNhyfnQmLUpCu9tdug=s176-c-k-c0x00ffffff-no-rj,0.0
UgxS81WP5vqRyrz3Q3t4AaABAg,Its not going to be like that,11 hours ago,CA Divyesh Kalyani,UCO2Efefkopb1pxJfX549ZNA,0,https://yt3.ggpht.com/ytc/AKedOLQYNOoMrRj-AFydEzk6XecwklqklV_cUT5ccY3TaA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpFI6Fx0WFos8xZkt4AaABAg,"⬆️⬆️⬆️thanks for the comment.. 
Contact the What’sap line above for more information, advise and consultation.",12 hours ago,Akshat.S㊉①⑧⓪③⑤⑨⑦①③⑥①,UCt0Ovib0YcICk8Z4uGBe_AA,0,https://yt3.ggpht.com/llJLXaEwDzbKt4X-0eHSWEdAhtftbdAbzhz5KbzPSY-IJKsnL_r4_If7wAK8J_0QR2qls3WNmo4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6jfa1izOnKVgs_RV4AaABAg,Spoiling our Country by going the western way....high health concerns ahead.,14 hours ago,Vijay Bhaskar,UC7G13-IPQDhabIfxWM_ONiw,1,https://yt3.ggpht.com/ytc/AKedOLRgH-1BDdsSgGBTXqQzALBU_Ws0ka2m8duUlT4bWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIe7Lrt-QfVoqcOXZ4AaABAg,"In goa the businiess you visited, was it cremeux?",15 hours ago,Tejas Lotlikar,UCklaZ9wHBhCLtcm9tEMdNiQ,0,https://yt3.ggpht.com/ytc/AKedOLSA6QzHfWnLg4coePGp-_K4pvj3T-4d3HlUekJt-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBF-NB_AHMYBpQNvV4AaABAg,Please give some insight about Zomato and the reason that you are taking some delivery in Zomato.,16 hours ago,kevin Lokesh,UCGQdZYARuL6__63WfwW7ejw,2,https://yt3.ggpht.com/ytc/AKedOLTZRjxlfjzOa6f8sBHFc1lgFdIJVVNn_5x880xp6w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6cmlztzMYkyrf1s94AaABAg,Please share your thoughts on Zomato. Thanks.,17 hours ago,Prakash kishor Prasad,UCHbupi_nfv_Huri8BtdWfOQ,0,https://yt3.ggpht.com/ytc/AKedOLS5b-pJ1KMOUPlDh1nqf64NNFj0VLyDqEVCvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDQHcDsuIouLYDywh4AaABAg,Is $2000 to $4000 avg income in 10yrs a fact?,17 hours ago,Phool's Paradise,UCzuaGEKTNysuCJy-nrj6CgQ,2,https://yt3.ggpht.com/0jG6gC17H2o-qUqo8IfhgwSS8w5Y962J1Y_nZYGrlgBek474XaBNGzsvNXRBnSlfeOWzbor7PA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvbxxUouFpMVHLAoF4AaABAg,what about devyani,18 hours ago,Nikhil Jha,UCiwhPIQ3V0yNQLyMn2fJEXg,0,https://yt3.ggpht.com/pQMzXpqjrS65K4nznDlTMUCMNcwiubLbyLMrb-v-W-TjtIajdpPyGe8E4HHX3FMJ4uZCe3S1=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmlHLYHeOLnT3oFbx4AaABAg,"Love these videos, Keep posting",18 hours ago,Atif Adam,UCj04XFDM0SDBaXfytqfClEA,0,https://yt3.ggpht.com/ytc/AKedOLSHPij5ETVWEldUosoinKUxCU-tahtiA5ReCjU2Uw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXVnXls4bzPJfDtcl4AaABAg,Thankyou Sir for detail video on tech food sector.,21 hours ago,Kenil Jain,UCvTI3O3g9JpE7lEUH9ytbAw,2,https://yt3.ggpht.com/JpfdYYN9zIO5wRGkTPwb76r7xzZCohWt1J9H1UgHzFOkI4MTWdMnoDkn3aRfXW_Vhke6aosT9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNYshw7uEVI8OfUvx4AaABAg,Please do analysis on zomato sir,22 hours ago,Vijay Gagan Deep Singh,UClzGXdoSZe2KxtC0Q1Q4c1A,0,https://yt3.ggpht.com/ytc/AKedOLTsO0xuJ7A-qlf8Mpqct5DoOQz3KY2QwNcHag=s176-c-k-c0x00ffffff-no-rj,0.0
UgxF5nrfFPqNXKsmSt14AaABAg,We need zomato video pls,23 hours ago,Antony Peter Mannaly,UCkqMRCoe5goG_wdWFar0WeQ,1,https://yt3.ggpht.com/ytc/AKedOLSyuiUm2EJBM3ns-dN2i9XpNQm6i6fs_EWpxGrQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMbTjushWrqm7klx54AaABAg,Thankyou so much for gr8 explaination,23 hours ago,Rutuja Desai,UCCIU88Bke_ER5IX-2Qh_TlQ,2,https://yt3.ggpht.com/Uhxw2GVpCAPHMp9_4ni_K8QyiNr-Y00nHPn7Lf9k-70snePeSfcU3XNgUaN4no2rZDcxIkOu=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAfj617ANb31Tk81x4AaABAg,Zomato video please,23 hours ago,Anant Laddha,UCoQrd-gMtjGVUNM3sDYl3nw,0,https://yt3.ggpht.com/ytc/AKedOLRZ0Y2gvwJkjf2qwobg0HW1C1k914VxhJrrAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCPUD9MNEP-aXc89R4AaABAg,Recently I have ordered from Domino's and they had delivered in 19 freaking minutes!,23 hours ago,Anant Laddha,UCoQrd-gMtjGVUNM3sDYl3nw,0,https://yt3.ggpht.com/ytc/AKedOLRZ0Y2gvwJkjf2qwobg0HW1C1k914VxhJrrAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTmGYvGkdWTzqbIk54AaABAg,"Would really like to know your opinion on Zomato.
In my opinion it's very highly overvalued at current levels",1 day ago,Akshat Goyal,UCdFb8HAwrhuNlKeQG160VvQ,1,https://yt3.ggpht.com/ytc/AKedOLT9MGlilr3ZkSKSx0j4VNNVqe5MgzABFo4pJGR-x8I=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXMisqQDmyZPhOVop4AaABAg,Zomoto,1 day ago,jayabharath reddy,UCb2LlV2eR9dsPIKcmmBtk_g,1,https://yt3.ggpht.com/ytc/AKedOLTzDIrf6FnZKo7dIynNqku3TqOlZG4RIekFmvJt6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_o-uNcgfYn,"Be sure to contact the what'sapp line above for more
information and consultation on investment…",2 days ago,Akshat.S㊉①⑦②④⑦⑨⓪⑥⑤④⑥,UCa2RcbZI2ob5u3mbF6dgilQ,0,https://yt3.ggpht.com/Lb0dCi6ML9tytN02-1KcpqD2GPZJYZO26IcaJ6p_EOA_lnzpaclqLvx3rpJEcEVKNqak-GW29Gs=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_o05YuvV-K,"Contact the What' sap line above for more information and advise on
profitable investments.",2 days ago,Akshat.S㊉①⑦②④⑦⑨⓪⑥⑤④⑥,UCa2RcbZI2ob5u3mbF6dgilQ,0,https://yt3.ggpht.com/Lb0dCi6ML9tytN02-1KcpqD2GPZJYZO26IcaJ6p_EOA_lnzpaclqLvx3rpJEcEVKNqak-GW29Gs=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_o7m_firNM,"Thank you, for your comment•
Be sure to contact the What'sap line above for more information and consultation on investment. I have a new investment I am sure you will like to be part of.",2 days ago,Akshat S: +①⑧⑥⑤⑥⑥⑥⑤⑤⓪②,UC374wRSON9SLHDYsRSKZqQw,0,https://yt3.ggpht.com/OtgiQ0uxi1SdAyp5vzoFoROyiLI25IAKKu8hgyoRSK7nK3orwai1PPptaWrxmBvvn42N6Sx2vg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_oQEokotck,make a detailed video on zomato,2 days ago,Shrutanjoy Adak,UC3QUlKIsA7GZMl9NLBP9t7g,1,https://yt3.ggpht.com/ytc/AKedOLT3G4jgEHzwxCGT40U0OD8_eXfXZnTDqgE5kQmE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_oQWQD43mc," @Shrutanjoy Adak  Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳❤️🤝.,.",2 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCzW-HqYq22DdNCNUFEJe0Qg,0,https://yt3.ggpht.com/fqXM3Bw8X3jDQk-6SnD5wBPWt7KZKD8YCsAddUthil3MwNKrJ_8cAZRZEHJEKs2uAReiovV6Zw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_oS4OcmAS0,"Anyone know what stock screener is akshat using for this information at 8:50 Tickertape, screener or something else? 🙏🙏🙏",2 days ago (edited),BlackfireVatsal,UCWWKf77wBChg2IeYIQvZ-Rg,2,https://yt3.ggpht.com/ytc/AKedOLT-ayp_YCIyX430wPIaoHuS01cCdpJ8TQrlhg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBalRrBpN9JuQ-bpt4AaABAg.9_o-200SNWn9_oSOiiUBnM," @BlackfireVatsal  Thanks for views and comment you can participate in the current investment offer.👆👆❤️🇮🇳❤️🤝.,.",2 days ago,WhatsApp +①⑨⑦⑧⑦⑨①⓪④①⑦,UCzW-HqYq22DdNCNUFEJe0Qg,0,https://yt3.ggpht.com/fqXM3Bw8X3jDQk-6SnD5wBPWt7KZKD8YCsAddUthil3MwNKrJ_8cAZRZEHJEKs2uAReiovV6Zw=s176-c-k-c0x00ffffff-no-rj,0.0
