cid,text,time,author,channel,votes,photo,heart
UgwbV6_MHcP4MSJjIo14AaABAg,"►LAST DAY to get 50% off on my Business Analysis/ Management Consulting course: taught by me and an ex-Mckinsey consultant: https://wisdomhatch.com/management-consulting/
____________________________________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",6 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,16,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzZPa9dIPveRrM32Z4AaABAg,Awesome,1 hour ago,Divya Alok,UCd7um5BJATQBvTfNAPGvRhQ,0,https://yt3.ggpht.com/ytc/AKedOLSdPQCvWlpTyjAMBiFtwKUpzIurV9ddwd6u4MNVPg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxR7KhsGU3vRCY8O-p4AaABAg,itc,2 hours ago,harikrishnan venkatesan,UCketgJ7hb514SK0yhSOr8lw,0,https://yt3.ggpht.com/ytc/AKedOLQRtwguV6OI1PjjssIL-gczxiYbwVPKb2FlCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjzUdWoQOQSKHFZT14AaABAg,"If you stay invested and ignore the market's ups and downs, you'll make a lot of money in the long run; however, a severe market correction causes a lot of margin calls and sell-offs, driving the market even lower. People get greedy in this bull market, and it's extremely irresistible (fear of missing out) to buy more stocks with borrowed money or money they don't have. In the United States, people even bought stocks using their home equity line.",1 day ago,Rozay Nelly,UCbqpgV_MA_l0Em9a8Tb0kuw,36,https://yt3.ggpht.com/ytc/AKedOLRuAjdxpU_5LydOO4tDyNns02yby9i-7nWjPvQk=s176-c-k-c0x00ffffff-no-rj,0.0
UgxX0UInxihSE1AXP7t4AaABAg,"It's amazing to see FMCG doing well after all the doomsday analyses from naysayers. Indeed, the stock market is a device for transferring money from the impatient to the patient. Good to remind people of this right now; you buy on fear and sell on greed or just hold through it all for the long term. It’s easy but lots of people forget.",1 day ago,clark,UCOqM24OFQLEei22VXCZ6lsg,1,https://yt3.ggpht.com/5hcPqzXNPlbx2VOmqcxUdK8YkqHIXLt9XK9MZiJopbTm49mrGCIwwGIYrsZl9oOO_86_X62vmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyahWZbS0hYKTUq7jd4AaABAg,"A good intraday trading setup for nifty, banknifty, stocks, commodity, by Sam financials
 https://youtu.be/UDLBrPCyqb0",1 day ago,Easy Trading ,UCWKNTf5ZUyrHfg3VV2GscIA,0,https://yt3.ggpht.com/3Of4VUYCccfW5jeyM5bccoJWZrJwvrUZOeC-zW3qNQ-J1WKKNDgylUvFdfu5LbDAhVLuHxU8Tw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5qUH3wGVrL4t037N4AaABAg,I feel this difference in margins may well be because this company may be indulging in on cash activity on purchasing or selling or both...which shows up in.low optical margins...,1 day ago,Malolan R,UC8QlLO6WfF-gL2zARx4f6HQ,1,https://yt3.ggpht.com/ytc/AKedOLQasgB1UxtPzCE0wxfPYdOWLzZ6d4kkOObktTEf2w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPWqtsyNBzHvmuDpF4AaABAg,"Sir how about holding awl for atleast 5 years?? And will it become a multibagger like Adani green,Adani transmission??",2 days ago,Varun Deshpande,UCB5hBBJnNeNzSCPx9cKrsVw,1,https://yt3.ggpht.com/ytc/AKedOLQ2dwfOjWqXQ9BEGMvSIS4-Z7PH3ZR_7t62t1gRFA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4MAcrXzfSVu--hj14AaABAg,Diversification is for investors who don't know anything..but who is wise not need diversification...we diversify to decrease risk..but risk comes from not knowing what you are doing and all should know where they are investing...correct na bhai,2 days ago,Arjun's Stock Market,UC3Fwmvxjtl5oh7IKvfqEzwA,0,https://yt3.ggpht.com/ytc/AKedOLS3vfDxGe72fvrphAl2gFlnUBcBPaaDlLISZ7Aw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQ2i7qGhBtLrbZlSJ4AaABAg,"Since your bullish on HUL Adani Wilmar will make you repent over the months from now. Coz it will surpass HUL share price which is actually falling & has dented your portfolio badly which is a fact & you will still go Gaga as you will not be able to come out of this shock. Just do a personal analysis for yourself now. From the time you are holding HUL stock to date & the kind of investment & qty you have had you purchased the same qty of Adani Wilmar @ 227 per share in Feb & per yesterday's closing price what would be your portfolio be like, i am sure Adani Wilmar will put you to shame over your HUL investment & returns & that's the power of Adani group of stocks that has made more millionaire & billionaire in a short span. They have surpassed Tata's & Ambani's too. It's worth to invest in Adani Wilmar & ITC rather HUL & Nestle who have dented investors badly. I hold both ITC & Wilmar huge qty & sitting on huge gains ever.",2 days ago (edited),raV,UCG7ZvKy7yCyGAtRQeV1EQRQ,0,https://yt3.ggpht.com/ytc/AKedOLSbL0WUoitsyqL3Qr3XueoliqDasxfYVJeHdNNoyw=s176-c-k-c0x00ffffff-no-rj,0.0
