cid,text,time,author,channel,votes,photo,heart
UgwSU68Gf9jQL2o3BBV4AaABAg,"►Check out Golden Pi for bond investing:
https://goldenpi.com/sign-up?rc=02e00496f2afe740&cid=AkshatShrivastava&utm_source=AFM_AKSHAT%20SHRIVASTAVA&utm_medium=YouTube&utm_campaign=AkshatShrivastava
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock Market and Cryptos on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,14,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbTvkRDXJUacz0hwt4AaABAg,How to do ICO research..plz make a video on this topic.,11 days ago,sunshine,UC2ALpFS7GtO83VMQmZq__XQ,0,https://yt3.ggpht.com/ytc/AKedOLQC2pYaZognQ3r3OXKi3nPfQiwMOldvmRhgPqLv=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxxik5aNx46PB9tW114AaABAg,Please make a video on how to analyse good ICOs and invest in them🙏,1 month ago,Sathvika M.V.,UCVo-dUwRPxPMSx_Ur4AMF2Q,1,https://yt3.ggpht.com/ytc/AKedOLS3xx-7zz56jhGLLRtPtLzf329PtQ-NC56Mf_Sa1qQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbP5K2A-sw2f0psuR4AaABAg,"For certain bonds it is written as ""Private Placement"" Can we buy those bonds could you please clarify on the same?",2 months ago,Mahesh Ram,UChPKUonmwgT8t0uWYlh8BSQ,1,https://yt3.ggpht.com/ytc/AKedOLSjgrdnQz7b8mCF2zoQFTWLxPPk9fbyEiPXyhUCbA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1IsEtFOqhjbW0PLt4AaABAg,Mr.Akshat I watch ur video and I would like to thank u for explaining things very well. 👍🏼👍🏼👍🏼👍🏼 love ur videos it’s very interesting and insightful,2 months ago,Tashi Lhamo,UCjS5jA_vHz8xbjnkeoR0a0g,0,https://yt3.ggpht.com/ytc/AKedOLS17kzwIeHlZ5WNS778uBnN5tGmzU0S86khZLDe7A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2cHUEpOSvg-Ts4Kx4AaABAg,How to buy ico,2 months ago,Akash daware,UCvLiSHbXm6O6-IjB4Bh1Wcg,0,https://yt3.ggpht.com/ytc/AKedOLRrhx_9SiAg7e7euDJMcu7puOZsZ4RcXoMcFrY0LAg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5B3v0g599WeYQmJJ4AaABAg,"ray dalio !
was the investor who said it",2 months ago,Harsh Tiwari,UCU8sQDxMiw8khFKkQnCR0rQ,1,https://yt3.ggpht.com/ytc/AKedOLQSTcStxfuXuyJ-1vt-SiGdhLHbvcFMrq_Cjw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLbNWFlZizI1SRFF54AaABAg,Can i also buy corporate bonds using my demat account(Zerodha)?,2 months ago,Veren Mitter,UCYBrBi32Ffn3m3MBDLgqQIA,1,https://yt3.ggpht.com/ytc/AKedOLTu47sN7luDBXdMiid7HTpp_vH6j8HWBHSESpnt=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJKuZIXUIjkvEIX3Z4AaABAg,"Thanks for the video.
how is golden pi different from wint wealth?",2 months ago,Veren Mitter,UCYBrBi32Ffn3m3MBDLgqQIA,2,https://yt3.ggpht.com/ytc/AKedOLTu47sN7luDBXdMiid7HTpp_vH6j8HWBHSESpnt=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1lFiH8hLkARV3jxR4AaABAg,Make more videos on ICO please,2 months ago,Pamily Adhikary,UCPRVK4K38WLOykWHZafxX6w,1,https://yt3.ggpht.com/ytc/AKedOLRHl_V30Dd04BjMKiv9JHNBiMllW1X75lBctuwLVQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyH_b8mImzLhBFQnK14AaABAg,How to do a ico research,2 months ago,OG Siren,UC61jLOOjhg3OcYSaLiQI2Uw,1,https://yt3.ggpht.com/nGVZfdVO0uWEalDR9TI7H2RlljTidijXo04-L1eZidh0JKELogPZcPViAefK7F2ZlO9Dc-MrHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxF-mCfhJ5ULNIPlJd4AaABAg,Bhaiya how to invest in ICO. Pls share link of that video.,2 months ago,Sunil B,UCtCJZHgkdvtMaqlceI3h8oQ,1,https://yt3.ggpht.com/ytc/AKedOLRWn8inrPEcGMtQpQRjTG3mg8LZdU5Nd0Z3vw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPcM993MlcrK1l5fN4AaABAg,"Pls, Pls make a video about how to buy an ico",2 months ago,Immanuel Matthew,UC9JzCLabbv7r-CSkL5EdTyQ,0,https://yt3.ggpht.com/ytc/AKedOLSkjIFDbUd0EA-XVhizG-7LkD8jpgiMNdk13hbQjA=s176-c-k-c0x00ffffff-no-rj,0.0
