cid,text,time,author,channel,votes,photo,heart
Ugy-KQTZRCscR9nApQ94AaABAg,►Business Analysis/ Management Consulting course: taught by me and an ex-McKinsey consultant: https://wisdomhatch.com/management-consulting/,2 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,2,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwy0V0btnffAfgb86p4AaABAg,"Ideally Govt should provide benefits to tax payers like Income loss benefits, Death benefits, illness benefits, retirement benefits etc. This is not complicated as it may sound. A small percentage of the tax you pay should be used to take a Insurance on your behalf & also to create a kitty like the pf to provide the benefits. 
The Covid crisis is a classic example wherein many people overnight lost their incomes- both salaried & business class. Inspite of them having paid lakhs or crores as taxes previously, they didn't get any benefit when they were in crisis! 
I know many whose CIBIL score has been damaged because they haven't even got a moratorium benefit",46 minutes ago,The Money Insights,UC7TC8yYAxqgA63tDmTL_Mbw,0,https://yt3.ggpht.com/a2YodtQNX-Vn5BkiecsMkkcEOASv2NYj2Ms3MkG6sEGsrmzdl4z4KIFdNZo7q_LqPVeqmOWpWA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzr-NU3s0ftXaZCoZ14AaABAg,"Hi Akshat, I really appreciate your videos. However, this comparison does not make sense to me. We should not compare a developed, wealthy country like Norway to India. Norway is a resource rich country, its revenue from oil and gas exports alone is USD 11.5 billion per month and the counrty's population has a right on those resources in a way through the sovereign fund. Hence, it makes sense for the govt. to support its population, while they can clearly afford to do so.",2 hours ago,barbie majumdar,UC1Qpm6hljkcndjVI_jyM0-g,0,https://yt3.ggpht.com/ytc/AKedOLTN5VeAgXlv-sBqLQ-n2WaPU6L8kXLiuZjFEQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_rSWIZo_RKSeX5Qx4AaABAg,"As noble it may sound, I feel it should not be implemented in India. Our politicians are not so sensible to see its long term adverse effects on our society and economy in its current state. It will simply be used as a political tool just like 1000 cr subsidies and renumeration we already give out only to appease votebanks. India is already enough of a welfare state. With introduction of UBI and things like these our great politicians will run the coffers dry within a decade.",4 hours ago,Yash Nalawade,UCDz5yFpgjgAHQvo1IbQXbUQ,0,https://yt3.ggpht.com/ytc/AKedOLQCAeo0h_Lto0fa09hTm-WxqHCDMxHKkqeUC6DiKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoMkUM4VUaZ8aJMlJ4AaABAg,Akshat went from investment guru to financial reformist,5 hours ago,Con-fusion,UC0NWGkS9cVolsqXqJvxUo_g,0,https://yt3.ggpht.com/8iljNXoTD10yLYXcuaLwgDcg5BPk72ZGwTPzA8bsCbsGeUCAGPXeJHgN5Rp0ZotUo-Icw8EiQH8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuoBXd7rB2A51HQUh4AaABAg,Yes must implement in India 🇮🇳,5 hours ago,Nadaf Nazeer,UChkGo4ZzLh15JlN2rFjWnfg,0,https://yt3.ggpht.com/ytc/AKedOLQffk0dG5H8_QONC326EXt_d2V7Fwh7ZnCubQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwehusOI4CQ3ExsQ-Z4AaABAg,"Hey Akshat your videos are awesome. I'm a freelancer myself and I realised there's no ""complete tax information"" guide for freelancers in India. Could you please expand more on freelancer economy in India?
Thanks",6 hours ago,apurva varshney,UCZ1fAW4mXV4KuEENV74wJrQ,0,https://yt3.ggpht.com/ytc/AKedOLT9zBPJOkYIlos27M0cd_OwlJTc141W0ijGbtdFzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSYCgRl_xMbaOfa_x4AaABAg,In Germany also sickleaves are paid by the insurance and not the employer.,7 hours ago,Mohit Pal,UCGvmK0doecVL47lbJ5apmug,0,https://yt3.ggpht.com/ytc/AKedOLS7nkyT-4aLFWlkVHHhQ-w6HPM2dJn_ywqS0viI=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfEM6RT5Mq6Lf1h8p4AaABAg,They took away pension...,8 hours ago,Quark Sense,UC07LxncMLmj3hjWrlFsb8Zg,0,https://yt3.ggpht.com/ASFVp4Fl4kdMmBjeIQTkuyCnBI4Lt6wUL2ZgxMokJWFcjjmLQ118FYUpPXTs4VxkXrW1iiCLAA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzE0UOGG56hWJ7dea94AaABAg,"I do watch your videos on certain times and off late i felt you have started sounding very pessimistic, it is just my personal opinion. It is sad when people like you making YouTube videos comparing a country with a population of merely 60 lakhs with India and try to justify the stand of some idiots it is certainly should not be give air, you might be good in Stock Analysis but there are tons of things goes into every decision a country make and ours which has been doing appeasement for so many years it is sad to see you trying to justify or trying to impose your views, You are good at certain things do that and we appreciate but do not jump into anything that you do understand that well, just a friendly suggestion.",9 hours ago,gulshan kumar,UCh3oPf-DxXkLrNF-PXIHtww,0,https://yt3.ggpht.com/ytc/AKedOLTAvDaZ4nggtDutRdHKJIEZjaCmnwRpCiOyDw=s176-c-k-c0x00ffffff-no-rj,0.0
