cid,text,time,author,channel,votes,photo,heart
Ugy_d-CjA7B9YixtbgV4AaABAg,"►For personalized classes on stock markets, please check: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,14,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1ewpI5RQFtqNLXbx4AaABAg,can someone share the resource from which Akshat sir fetches out data like market share and those pie charts,3 weeks ago,Akshat Yadav,UChymC4CxRek3te3jjjG6JFw,0,https://yt3.ggpht.com/ytc/AKedOLTVE7aDwPG5fSO6Z_zfwp07LfWfOMVkOkpK3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMFbTeQ30tZ4upGUt4AaABAg,"Sir,can i buy HUL for 5L now",3 weeks ago,SAAMANYUDU,UC1bZQqg--IPQtzs2RzcUX9g,0,https://yt3.ggpht.com/z6xh3_Bx2f90HhBOzC5fE03jCkHB6hz4WluB19b00dnAPutQU3K4tiMWbE-CXhLvJy8mMPj80mw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwljdQZHGd87lgb9rV4AaABAg,"@Akshat you are just looking at the company financials but not looking at the business and how is the customers opinion. Bajaj finance is basically ripping off the lower middle class segment and capitalizing their inability. Overall, it's a terrible business with lot of customers dissatisfied. So from the business perspective, if they don't change the way they operate, the business is going to sink in the next 5-7 years with alternate lending platforms like P2P and other NBFCs providing better service. So just looking at the numbers is not fundamental analysis, you need to analyze the business. I have the same complaint with you on promoting NFTs, Gaming metaverses like crazy and later saying I'm not into gaming but people are playing. Don't live in Fantasy man - just for the sake of creating content and in the name of intellectual analysis, you are misleading the public.",1 month ago,Beyond Thinking,UCHXQOremGhsNrvSEgJ6LFmA,1,https://yt3.ggpht.com/kHxgly9MCwTSFv002jvz9cNNkXlm_EUFY3DHai4EczLQnY777zw4GHn9kzwB-3eXhfuculh9sg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFmRyOWZDD2ZZcYFN4AaABAg,Thanks for this video Akshat! This can be helpful.,2 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,1,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwzjt4rhOReeRMFIUd4AaABAg,Hey akshat i request you to please do a detailed video on PE ratio what is it how does it work .,3 months ago,Aneesha Gogia,UCXQHL4PuKJPrFq6NUfKXXqQ,0,https://yt3.ggpht.com/ytc/AKedOLRNWfqhsCwcPF5ZSNA9mr4HsSWW3QzWJPpdtg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1pSMNV_WOQ3Z215Z4AaABAg,"https://youtu.be/LtXIz8Xeg-Q
https://youtu.be/MWGbhKMxv9E
https://youtu.be/hp0InQhL3sc
People are warning on market crash. Is it going to happen in Indian market as well ?",3 months ago,mohanraj ice,UCGZMotY24L5GiC8oxQFzsBw,0,https://yt3.ggpht.com/ytc/AKedOLQ6bIA-8erhg8nDmMa071e4pKxpVartB9Z-cA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCIy03uKgCBiSmuHp4AaABAg,"Hi Akshat, I have completed my B.Tech from a teir-3 college and having salary of 9lacs, I want your views on investing 5lacs in online MBA programs by Upgrad and continue earning along with that Or leave my job start preparing for CAT and invest 25 lacs to get into tier - 1 MBA colleges in India, according to what would be correct ROI strategy and would request to put your views on FRM. 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",3 months ago,Love Kumar,UCfiG1zmu8X4w2NzIlyv2lCg,0,https://yt3.ggpht.com/ytc/AKedOLR2Gph62zjA3l6SO_T4HTDI1usJdu-PgdKDHA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5RLTq5XSMoXE0d1h4AaABAg,"Hi Akshat, I noticed that Cash flows of the company has been negative for the past few years. For some years I found they have been financing/ repaying capital/liabilities which was responsible for the same but otherwise also cash flows have been negative. Also the non-operating expenses have increased. 

Typically we become skeptical when accruals vary greatly vis a vis cash flows. 

Could you throw some light on these aspects",3 months ago (edited),Hitanshu Ahuja,UC5OFuL2LuDuugVmNoqwXYvg,1,https://yt3.ggpht.com/ytc/AKedOLROiDpgZvBFC5ADIRNo_VKUCUmkJiTiLSXD06jxVw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-L2MHZnA19VZvCJ14AaABAg,"sir has told about this stock 1 week ago and low it is super high today ,, jisne lagaya hoga sir ka sunke abhi malaamal hoga",3 months ago,Gagan Singh,UC6-NnwAg3GAg17gHflpJf1Q,1,https://yt3.ggpht.com/ytc/AKedOLSS4gMJBOS1X8o5Rlx0u0A4I3hWAonfsN2K-pjKJA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxq1ctJxwNQAt1eMpp4AaABAg,"Lol, I bought 5 shares of B finance on Jan 4, on Jan 5 share price rose to 5% lol.
B Finance 5yr CAGR 53%+ which is massive, 1yr CAGR 30%+.",3 months ago,Shiva Charan Ganji,UCDOpN2F-23Qir1P03pHZQkQ,2,https://yt3.ggpht.com/ytc/AKedOLSmmv2LSxiZN4U_h6Wu6-32Iwx0Q1U1xmCIbKU1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy37Ds7vVguT0J6KsR4AaABAg,Bajaj Finance up by 10-11% from date when this video was posted.. thank you for the recommendation..,3 months ago (edited),Geet Shah,UCTdrWLA_wgFt0QC6L5RvQxg,1,https://yt3.ggpht.com/ytc/AKedOLT9CJolDmXHJ7jU05y9qyoQ5GbyM550o-aRxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwP8QzS_HcqpxFY-F4AaABAg,Hi Akshat...great work...got HUL and HDFC on ur advice ...thanks!,3 months ago,Geetanjali Budharkar,UCeYYmG_B6hC9my8ut88XqCg,1,https://yt3.ggpht.com/ytc/AKedOLRKSNhoaFXXTZgXlc-xj40Ld4TFXVMEA59UTfzQzw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1dkzz5mXqtAki-1F4AaABAg,Hi can anyone tell me which tool he is using.,3 months ago,Anujith N Vinod,UC4Yv_DWrUNZbJCOK4K2SweA,0,https://yt3.ggpht.com/ytc/AKedOLRvoSLB0euqOvsh747qisLy8TjisG5xqwuZ9pPqSHQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKJhhiMqlg0i8Hgix4AaABAg,"Hi Akshat, I saw your video Thursday night but couldn't buy at 6800 price... now Bajaj Finance is at 7200+.. is it still a good price to buy or should I wait for a dip.",3 months ago,ABHINAV KAPOOR,UCMmoH3i3VhK_5uNHEYoYG4A,0,https://yt3.ggpht.com/ytc/AKedOLSdk72A3Hb8lvnV6kmKMKcKraYxym7Jp2mdTy85lA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzf6nKUoKaVLiaSQzR4AaABAg,Does anyone know which tool Akshat is using to show the fundamental of the company ?,3 months ago,monarksingh yede,UCYLZAUB7DtuATEGVuwnTuGg,1,https://yt3.ggpht.com/ytc/AKedOLR9UWcWUEez5ZkTB9KrQ8k4wsGOi2bh8umRfc8-lA=s176-c-k-c0x00ffffff-no-rj,0.0
