cid,text,time,author,channel,votes,photo,heart
UgzzGujjCIKRxXpOynh4AaABAg,"►Attend my FREE Masterclass on NFTs: https://docs.google.com/forms/d/e/1FAIpQLSczQXQhOHmyKTuylpXmdjnkj5nx8GJdDPJBocwAtpwglI-dJw/viewform?usp=sf_link
_______________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib
____________________________________
►Check out our new course website:
https://wisdomhatch.com/
____________________________________
►For personalized classes on Stock Market, check out : https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,41,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxY1w1LAxZ-qth5s0d4AaABAg,Thank U,1 month ago,Rohit Chaure,UC3c0ybOZnHQBpFJm8iXApzA,1,https://yt3.ggpht.com/ytc/AKedOLQv-1Kx9d-5AeM8ovQb5MFsH5TZUaQCw9MigEj1vg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyT0nfgMZLMBOPmndZ4AaABAg,"Hello Sir, can u please suggest, if it is a good time to buy HDFC AMC ? at 2210 levels??",1 month ago,Ayush Kumar,UCRGUUOzzfDShsKPXVFIjd5g,1,https://yt3.ggpht.com/ytc/AKedOLRW5euiAWhY6hRJ8O7Dv7f59qeo5gtbR304IkbmGLg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQJRI7L0_AezqCZbB4AaABAg,"I have one concern or actually curiosity.From 1997 to 2010 HUL seems to be stagnant without any capital appreciation. What would have been the reason ? Anybody has some idea ?
Dont wish  for same but would it be possible that what are the odds for same thing to be repeated ?",2 months ago (edited),Vivek Mehta,UCNVw0NEs--2tlcGGVyjIiVQ,1,https://yt3.ggpht.com/ytc/AKedOLQwxZOvbufsFy8nzJzWSGARJlNqO_4tv2sTBk7PxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAa072Vifh39WI1HZ4AaABAg,Hi Akshat! I am new to investing. Could you please tell me which software or website are you using here?,2 months ago,Nikhil Shrivastava,UCA4Wp6uv8c0-pkVcuG6caMw,1,https://yt3.ggpht.com/ytc/AKedOLTMnuCLOqo3l5gIMwMhJI7mAWEskGJwpobMSEcoXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWj0d_sZsSclRSFeN4AaABAg,"Great, hats off to you sir",2 months ago,sanjay saini,UCNXLVViWAyrun5omDs6yplA,2,https://yt3.ggpht.com/ytc/AKedOLQ2T3FnZFPMhtpxfkFCIFyevGp2tDlyqlmDFoDdWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLy9k-rjOVeTZT72N4AaABAg,"Hello Brother... till now you have not done stock analysis of britannia again a great stock available at very discounted price.
Past few months we have not seen this tock go to this level , is it a breakout. 
Can you make a video on that ?",2 months ago,Vivek Mehta,UCNVw0NEs--2tlcGGVyjIiVQ,1,https://yt3.ggpht.com/ytc/AKedOLQwxZOvbufsFy8nzJzWSGARJlNqO_4tv2sTBk7PxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVXd_VVwfnBLInCrl4AaABAg,"As you invest, you buy yourself a day off when you have to work... I pray anyone who reads this will be successful",2 months ago,Robert Arthur,UCO6n_TqglELYkdlFsxBtjRA,51,https://yt3.ggpht.com/ytc/AKedOLQO5EinONN8V0e8UKZ-rTSg-M2kopgOsXYwagVI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxu8cTCtBO_1Sa2N8J4AaABAg,Pls share inputs for Adani IPO,2 months ago,Himalayan Holidays,UCKT5uuqdd7QO883PokygF7Q,0,https://yt3.ggpht.com/ytc/AKedOLR24Fs_nEf2G8VkPdVz9J_GTZehJQ6yCx3xsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUDUCFZTtbt_lGngx4AaABAg,Each and every videos of yours are incredible Akshit ..I am new to investing So watching 3 vides of yours daily,2 months ago,The World Of Awareness,UC1VE9_FJT9WCu0pe-B-kUMw,1,https://yt3.ggpht.com/ytc/AKedOLTVIcia2TOxV8JLbFeC7tBhOR9L07j2uO4GDAqD=s176-c-k-c0x00ffffff-no-rj,0.0
