cid,text,time,author,channel,votes,photo,heart
UgwEr6mgpQEM0dWPirF4AaABAg,"►My LIVE courses:
https://wisdomhatch.com/",13 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,2,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5wMA8tXIJQc0LByV4AaABAg,WHY DOES AKSHAT SAY INFLATION IN INDIA IS GOING HIGHER AND HIGHER.  ALL COUNTRIES HAVE INFLATION THAT GOES HIGHER.  BUT THIS GUY IS ANTI INDIA,5 days ago,Ram Charandas,UCAloOzhQAekqwh-L34pyu4Q,0,https://yt3.ggpht.com/ytc/AKedOLSlDjsXRR2yjjHCiZhykGdlAc7Wamy8s49S0A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9M0Pma1VJOcdd3jl4AaABAg,Only one person talking about issues of middle class,8 days ago,Owais Iftikhar,UCbFEyMz9IbD3xCiWUxF3zlw,3,https://yt3.ggpht.com/ytc/AKedOLQuOHpvUNHTVp09ul_OQ7qxUGlI6S-vEgjV0g=s176-c-k-c0x00ffffff-no-rj,0.0
UgywLB8gGZalAsFpDJN4AaABAg,"HDFC Board Approves Merger Of Company With HDFC Bank - Akshat sir please explain this in your video and what will be the impact, as stock pumps up already",12 days ago,Ketan Shah,UChKkMQO3G-DyE3bQ2ZE_E3w,1,https://yt3.ggpht.com/ytc/AKedOLQBMBlcPDEmSJcKCCt7NGo1rl3rzp62hm0xp8CDnw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_CPsBMcOfGuA9Rap4AaABAg,"HDFC saving account interest rates 3 to 3.5%, not 2%, please correct it.",13 days ago,naveen sihag,UCMCeSj0l8YKLvGN_11Gxg6A,2,https://yt3.ggpht.com/ytc/AKedOLTNpzDjHhY7d7m4qbdNcXsNNBGu88W6yZCfOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYlufKZagiMRWFG-N4AaABAg,Increase salary every year by 10-15% .. by hook or crook. Then FDs make sense. Why rely on investment when you can earn more by improving skills. Just my thought. Doing FD for 10 years and I sleep healthy.,13 days ago,AllHellLoose,UCNl_Njso_n4kQShRsr_oy0w,3,https://yt3.ggpht.com/ytc/AKedOLQl0teGoX3cEYlmt-QbVCRmw2sjQZmajUYS8TUb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRS6DH9-j58Q8C2KB4AaABAg,91! = 9.92 × 10¹⁴⁹,13 days ago,Jainam Mehta,UChtJBWgDEmhDS_ZkPz398Gw,0,https://yt3.ggpht.com/ytc/AKedOLQhctzuTTVdtwuBIxq8CdEFUBD125aw8nhNcEBySA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_gZrSuPYzNTSut814AaABAg,"Simple put money money in gold & PPF, you will beat inflation.... But every influencer recommends stock market.
Just look at china stock market historic data(past 20 years)",13 days ago,Xyz Abc,UCP0AeqPhh0QEZ_oci_Bcw0Q,2,https://yt3.ggpht.com/ytc/AKedOLTYTZ4Q7Rw9MFZ5I24FAGUXc_oiRgoVrtQvyHCI1vr5GqUUXb9bRsaL0HycdMLv=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYx8WnKW-hdZqFL7p4AaABAg,Sir So many people don't even Know how to open a demat account in India then how they invest🙂🙂,13 days ago,BIGDADDY SLAYER,UC2y_szjaQ3xTF97jJltU4Tg,1,https://yt3.ggpht.com/eB7IW-Flq7vfG0VCmeLu2V7MtKSBjkBKSTaYLD8OsVRS64WLvhn11hxx4WDThOVednSnoBmyIEY=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfWhaf3p0nsPkWMch4AaABAg,FDs will become the worst instrument. They will depreciate your capital.,13 days ago,Sarjit Kaur,UCGVS-n-_tnOu2h21MRYSF-A,11,https://yt3.ggpht.com/ytc/AKedOLQAWmMFfKlgJBT_NOgvITSKTuwx4UfpBxIHxQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_QnkXNTlUtPQ_aMN4AaABAg,Interest rate is 3% in HDFC and why to maintain account in HDFC ?. Open account in AU bank giving 7% interest,13 days ago,Rakesh,UC5ZyOQL46ZQ-1AECGhb1yCA,5,https://yt3.ggpht.com/ytc/AKedOLT1bCJlrSx6bc1LRwHjd45oY0wZdSya2O_asz56KA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr6mgpQEM0dWPirF4AaABAg.9_MZiNmAzNJ9_MdQURKmO8,where do you get these data sir?,13 days ago,GOKU,UCvagdW1b1EztKwreBp2DjRw,0,https://yt3.ggpht.com/ytc/AKedOLQYydGAmzJL3RlZlPrfxJbtxbvBgrlYE9lDSE3jZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr6mgpQEM0dWPirF4AaABAg.9_MZiNmAzNJ9_N3ROelKs6,Sir there is your fake account in comment,13 days ago (edited),BIGDADDY SLAYER,UC2y_szjaQ3xTF97jJltU4Tg,0,https://yt3.ggpht.com/eB7IW-Flq7vfG0VCmeLu2V7MtKSBjkBKSTaYLD8OsVRS64WLvhn11hxx4WDThOVednSnoBmyIEY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr6mgpQEM0dWPirF4AaABAg.9_MZiNmAzNJ9_XEbx7EU9Z, @BIGDADDY SLAYER  who is that please?,9 days ago,Helpline,UCpoN1Fr351oTo_p45EOnhIQ,0,https://yt3.ggpht.com/GmQbJlsOdxYWKOFMfJVxCEZSAFrpH_DSzjIK9s8ch8V58zs4k1TxcFImFWck-LL-QUrIYrQc=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr6mgpQEM0dWPirF4AaABAg.9_MZiNmAzNJ9_XEgqDPgIs, @GOKU  I do careful researches,9 days ago,Helpline,UCpoN1Fr351oTo_p45EOnhIQ,0,https://yt3.ggpht.com/GmQbJlsOdxYWKOFMfJVxCEZSAFrpH_DSzjIK9s8ch8V58zs4k1TxcFImFWck-LL-QUrIYrQc=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr6mgpQEM0dWPirF4AaABAg.9_MZiNmAzNJ9_XEtnYRjUc,"What'sapp✙𝟏4348796583

More updates about AAPL, GME, AMC, TSLA, BMC, BBBQ📈📩

What'sapp✙𝟏4348796583

More updates about AAPL, GME, AMC, TSLA, BMC, BBBQ📈📩
.",9 days ago,Helpline,UCpoN1Fr351oTo_p45EOnhIQ,0,https://yt3.ggpht.com/GmQbJlsOdxYWKOFMfJVxCEZSAFrpH_DSzjIK9s8ch8V58zs4k1TxcFImFWck-LL-QUrIYrQc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5wMA8tXIJQc0LByV4AaABAg.9_he49TU0Wk9_u4x9k81a8,Thanks for your comment…⬆️⬆️ contact the What’sap contact above for more information and advise on investment,6 hours ago,Akshat  ㊉1④①③③②⑦④④⓪⑦,UC7Q9IFpE95k73IjO5y56ADQ,0,https://yt3.ggpht.com/UeJwr7aeOzYY1BvnEBUu9GWNcSwHhYYUnVZ2jZKMTQv_DGfjc2RJvND3kOq7qVilIyOe315h=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9M0Pma1VJOcdd3jl4AaABAg.9__35bK9XyF9__phHui3Bv,"FEEDBACK APPRECIATED ...

Kindly  reach out to the what'sApp line above for more info and insight...",8 days ago,Akshat S. ㊉①④⓪①③⑦⑤②④⑧②,UCvFL-V_09skV25txMX_3XIg,0,https://yt3.ggpht.com/3YAJCfKIKzhKpgvFs-dZsVJgpP_1kJfaTF7DWmMmxnzrTYZErA_KiL9Ojm7q--JCcGSCzOx-f68=s176-c-k-c0x00ffffff-no-rj,0.0
UgywLB8gGZalAsFpDJN4AaABAg.9_ONeJQWSf89_OmPrsSyUp,"Thank you for your comment…
Be sure to contact the What’sap line above for more information and consultation on investment. I have a new investment I am sure you will like to be part of..",12 days ago,waqar zaka+⑨①⑧③①⑨⑥①②⑧⑦①,UCNjw09A5rr729EipcS60cHw,0,https://yt3.ggpht.com/W3uTj8mTOEBZAoNjAagUFP-vnW_dfZBrgbFZiogexMpIufFqmVO-VYvCJU9iUrKJLWqDVkXahQo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_CPsBMcOfGuA9Rap4AaABAg.9_O41fFWMPo9_O4wRi756z,"Thank you for your comment…
Be sure to contact the What’sap line above for more information and consultation on investment. I have a new investment I am sure you will like to be part of",13 days ago,waqar zaka+⑨①⑧③①⑨⑥①②⑧⑦①,UCNjw09A5rr729EipcS60cHw,0,https://yt3.ggpht.com/W3uTj8mTOEBZAoNjAagUFP-vnW_dfZBrgbFZiogexMpIufFqmVO-VYvCJU9iUrKJLWqDVkXahQo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_CPsBMcOfGuA9Rap4AaABAg.9_O41fFWMPo9_Repn63-sO,Bhai 30pc tax bhi ghatale,11 days ago,Ritvik Sharma,UCdlwSfludAIBdsyODxgA5qQ,0,https://yt3.ggpht.com/ytc/AKedOLRhXz9cRUVbBte71plKb-l8VKQcQbyp_BxGfg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYlufKZagiMRWFG-N4AaABAg.9_N4sl2PkNt9_NDTMxW2i3,"FEEDBACK APPRECIATED 👆
Be sure to contact the wat'sapp line above for more info and consultation…",13 days ago,Akshat S.㊉①④⑦⓪⑥①⓪②⑦⑧③,UChgmHlXpTu7Nunk7XSNDopA,0,https://yt3.ggpht.com/gE0zTktVLNnGMGs3MZYkAlrMDap2HRVvGp82YR-AqO9NkFbBtS4iH8XL0rOraRpJWcU-5Au81A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYlufKZagiMRWFG-N4AaABAg.9_N4sl2PkNt9_O3KbWjhf6,Worst advice!,13 days ago,Subham Raj,UChIkZNbU4BFXUJoJp1IT5zg,2,https://yt3.ggpht.com/ytc/AKedOLSgFRh_fllFvRf9vOm0Hzfvry1vHdq_wngzW2I1rfU=s176-c-k-c0x00ffffff-no-rj,0.0
