cid,text,time,author,channel,votes,photo,heart
UgwhFWH2wDJT_I8H1954AaABAg,"►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: https://bit.ly/Akshat50
Code: Akshat50
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Cryptocurrencies on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,20,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzvo2fYiCHHs8WHsWB4AaABAg,For Investment metaverse disadvantages? Also u should say everything has its advantages and disadvantages,10 days ago (edited),Vikram,UCB0YvZGWLCCUx8K-skqPQKA,1,https://yt3.ggpht.com/Hh3c0039oBd5s5gD8DbKEEWac3KibE8VBNuHHdlEOvOQYPotlp902NEVjcHvTYVWHAjdMXs7Rzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYGjbEB1JZVsNdHQZ4AaABAg,"Best platform bataiye Jahan per long term Tak Tika Ja sake jaise ki Ham dekhte hain sandbox, mana coin ma ma accha return ha. But agar exchange hi long term tak nhi tika to kya hoga",2 weeks ago,Deepa Rawat,UCEralHHTf-YXDuvcGpTnXxA,1,https://yt3.ggpht.com/ytc/AKedOLR9jO-hHk5LyYzAkWhqfm-PwxsrqUfadUGqQg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRIEb4XlDirj7mOXZ4AaABAg,We want Part 2,3 weeks ago,triloktripathi1990,UCpns0tHV3-M1K8WUpSyuolg,1,https://yt3.ggpht.com/ytc/AKedOLTv1ub5WPqKXFY7Izv9Gn2IERqAdJRlRs-UWw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1JO03IpVCuvPGq6x4AaABAg,Useful.,4 weeks ago,Howard Sherman,UCnMr0JnAI8e_hcldo8GYmRg,0,https://yt3.ggpht.com/ytc/AKedOLRUdEndhRj_fc7SJ8Lq1poNWi2-621GfivBZybL=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbXAsVQw7r4tFiBwl4AaABAg,Part 2 please!,4 weeks ago,Mya Waldorf,UCUuBKOPsxevGjp6ARjm9qCg,1,https://yt3.ggpht.com/ytc/AKedOLTS-QD6FDrc9LokOsgokUsU0kWQ8xMmpT00JA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKFghxegiikkQ3eSt4AaABAg,"Please make a video on "" how to buy land in metaverse"" so curious to know about it",4 weeks ago,suman Doultani,UCDqBuCPYG9-13nBmFKtpwDA,1,https://yt3.ggpht.com/ytc/AKedOLTFHtxWTCz53ElTEBTcDj62XU9HUR5OkKRg9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMllqA4i1r_ntI3XN4AaABAg,What is vauld,1 month ago,chavan sai,UCePQ0SB4otzZfKZjdpKQZAQ,1,https://yt3.ggpht.com/Ppv2_K6OEpqR9MWukZwX3zB0hirAPumGGASVpxkS1BEjo5p-vu-3XuR-p8Pmbr9yrD3lsSqdY8U=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjRpPava7mxalIKn94AaABAg,Great bideo sir,1 month ago,chavan sai,UCePQ0SB4otzZfKZjdpKQZAQ,1,https://yt3.ggpht.com/Ppv2_K6OEpqR9MWukZwX3zB0hirAPumGGASVpxkS1BEjo5p-vu-3XuR-p8Pmbr9yrD3lsSqdY8U=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWG_nlG9FiSYXx_7B4AaABAg,"great videos Akshat.. Thanks for sharing

I follow you and ANkur and do investment with your videos help 


I think this metaverse crypto is next big thing and I am a techy person.. I believe in technology ..

This is going to be exciting..those who think this is scam are not really aware of its scope",1 month ago,Narendra Mane,UCzmFHXlyt_j_48wamcJQBhw,1,https://yt3.ggpht.com/ytc/AKedOLTkYA4sGg0VuEB0FerkY34rIKrGgFCKdqvKZ8a4=s176-c-k-c0x00ffffff-no-rj,0.0
