cid,text,time,author,channel,votes,photo,heart
Ugyoxm3TSlkiPRAS4fZ4AaABAg,"►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stocks and cryptos on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,9,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpcVPRkNPi4FHQ77l4AaABAg,"🛡 WHAT WEAPON DOES BIG DADDY OWN? 🏹

🦸‍♂️ After learning about our talented hero Big Daddy, have you wondered what kind of powerful weapon Big Daddy possesses? 🤔

👇 Let's find out in this new post!

🌟 GROZA is an almighty weapon that Big Daddy possesses. The Groza is an automatic assault rifle of rarity ★.

💧Damage: 230 

💧Ammunition: 30 rounds

💧Rate of fire: 0.675/s

💧Firing range: 20

💧Accuracy: 5

💧Damage: 155.25 DPS/s

🤔 Are the characteristics of the above weapon enough to make you satisfied with Big Daddy? Who among you wants to be owned GROZA? 🚀

👏 Let's play the game to own one of the most powerful weapons.",3 months ago,Avalanche 2k21,UCpes686cH1DgGmX3X2O7wuQ,1,https://yt3.ggpht.com/ytc/AKedOLThxN7SoQqH5LQBVbUtmm-JZJn4ZYYGhnk_frUQvWVlYI15x3Gu_ZTjQ3GS2uVT=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBQKSYY8MrjY_VnO14AaABAg,yes,3 months ago,Ram Sree,UCjZEW7UQiB-EMu2tqMdhthQ,1,https://yt3.ggpht.com/ytc/AKedOLQRZwZrCHCPkNhftU_NttrwQBLs2yAGZRrorCFJpYA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyy6i6J65lBnM4Iyz54AaABAg,👍👍👍👍❤️❤️,3 months ago,1550 Garv Ahuja,UCHAWBd0JjG23Inzgt3jHaNg,0,https://yt3.ggpht.com/ytc/AKedOLTVzplFtJ1N668RqGM444LZLqAwkBADnDaW2y9CvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWz2jPuDenkZLEyLd4AaABAg,I prefer catching falling knives.,3 months ago,Raheel Ansari,UCBx9CF1aSwk0_bkc2Gy4sYg,1,https://yt3.ggpht.com/ytc/AKedOLT4bBp-9So8jwElG1WmxGTbHWW93SxoixOfpAZ7kQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDLVPuDFF748F00op4AaABAg,"Akshatbhai, By it's very nomenclature, a falling knife CANNOT BE a fundamentally good stock with sound prospects!! Falling implies velocity and knife implies danger.
It can only mean stocks with dubious fundamentals & hazy prospects and which are (deservedly) falling rapidly.",3 months ago,Satish Dhanorkar,UCV2SdYMImgpyKSLaprJiAdQ,2,https://yt3.ggpht.com/ytc/AKedOLRiKcbpLlIbumcu0sGSi8Q8SusrILu58_8ktQZZPA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1RIDImuaoYLewNoB4AaABAg,Lol. Too over enthusiastic begining,3 months ago,Sanjeev S S,UCO5LrfdAR2GMYVRoWlm24tw,1,https://yt3.ggpht.com/ytc/AKedOLTzXqP0WoV0nDby1QTanguDkMzNKxtYwmkuNyrPLuBSOzNe1BB1Hd_yG8yLwfHb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRdjMwtAE5BuVKDS14AaABAg,Please make a video on amazon and coinable,3 months ago,Sumeet Sood,UCp8vzsdYM0tDG_etdSe_Jww,1,https://yt3.ggpht.com/ytc/AKedOLTQzRFdIbTB19lkumZPaI-Bo2IrCNFDU2_FzzEMUQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNw0NJTnkKoFusp7h4AaABAg,Mrs Jane is legit and her method works like magic I keep on earning every single week with her new strategies,3 months ago,Fredrick,UCL32h1HBiRrlX6oDlm_DHBg,45,https://yt3.ggpht.com/02v__BLpNn-VkvDdJoDbzN3jfvg0ceh0MQHcq4jERpFLoT0EQdTXsJGrMz7C_et8jW2lySDYpA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwc4_mTVLeL0hNFs4l4AaABAg,Akshay please provide your mobile No. thank you in advance,3 months ago,sarath kumar,UCustRd5awI90OVwOEa-ztHw,2,https://yt3.ggpht.com/ytc/AKedOLQnjy-wxbC8Rbl-gCAE6IIROWvCT50-jofAHw=s176-c-k-c0x00ffffff-no-rj,0.0
