cid,text,time,author,channel,votes,photo,heart
UgyIH2qzvrjuSGac2md4AaABAg,"►Sign up for my LIVE CLASSES here: 
https://wisdomhatch.com/
_____________________________________________________
►Check out Jupiter - a neo banking app that allows you to manage your money in a smarter way:
https://jptr.onelink.me/TOMp/ef2d1a7e",3 weeks ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,27,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOoLYRnksye4pivrN4AaABAg,"Akshat. Love to hear on the home schooling part. The view you want to execute it , adv vs disadvantages , in fact I suggest a separate parenting channel , say “Akshat Shrivastava on parenting”",2 hours ago (edited),Kiran Jonns,UCuyUg5phd1AYVKhhiwpReQQ,0,https://yt3.ggpht.com/ytc/AKedOLRKUDISA3K0dEIDPPckK55QG2ZoC189f1hm7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDuv5vWnsecZv2mOt4AaABAg,"Hey Akshat i get it, Everything is right whatever you said, but listen to my question. What will you do with all the 90% money you,ve saved. I mean it,s right to live frugally and save, but on a  clearer note, what are you saving such a lot of money for. Life is unpredictable and very much possible is that anyone keeps saving and investing for last 10 to 15 years and may suddenly lose his ability to spend( maybe get a disease , or new pandemic or mental health issue, or lose interest in money)",13 hours ago,Dr Piyush Agrawal,UCLlxCIubUdmAGKJqTpK_JfA,0,https://yt3.ggpht.com/ytc/AKedOLQ8q8TRj5x3hi-IAWoOktLsyKORLZCQa37AspM2NQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSeU3RTt6QF-Vwrv14AaABAg,https://www.youtube.com/watch?v=NSECCaDchT4 (learn how to earn Rental income from stock market),14 hours ago,The Big Short,UCkZ3dt--FxVsanxMAdw50rQ,0,https://yt3.ggpht.com/KQWtIh_tnIh25YxHVdm47JpP469y2DorwJCb9EAx34WpKDPkyxs2ceEqkFVH2vnGVKliYMUDnGo=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHaqtwNzzWAfRbinl4AaABAg,"Really i follow it all from a age of 16. Traveling with wife is not happened because i am now 23. Yh it is also in checklist. I am still a student and i could do money generation and invest 90% (250000) i made in stock, kuri, fds. I like to buy iphone and such posh things my frds have but i control myself🤣",16 hours ago,itx meme,UCazkzNNTpCNIjlXA27VHHZg,1,https://yt3.ggpht.com/ytc/AKedOLQZDnPvWz5BCznbtvYSA67CFCnaCdJVvVNYyg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhEa7P44SPQBJtYyd4AaABAg,💙,17 hours ago,Nusrat Sultana,UC32YKq5gZHWZUSgryPS-hCw,1,https://yt3.ggpht.com/ytc/AKedOLSlEyPcufzlj9Xy7GQh5j7dd_B2fzSd6Uz1zYo9PQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtSbY26_ciRn9ylJp4AaABAg,"Hi Akshat, I am from Assam. I have been following you and Ankur since last couple of years now. Big Thanks for your videos. It help me in picking my stocks, MF and financial plaining. I have started my own software development company, able to invest on stocks and mutual funds , guide my father how to invest his hard earned pension money as well in last 3 years. 

Please do come to Assam or North East India with your family. Hope to see you soon in person.",1 day ago (edited),Anurag Mahanta,UC8XtujeuDEOUQ21B-obne6A,0,https://yt3.ggpht.com/ytc/AKedOLT6pwkQh33vDo6orXx5OGB58uKbICbQMSpg2qLMBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzeWeojNfbbdok6zkB4AaABAg,Very honestly you have shared the things,1 day ago,Poorvy Sharma,UC2Y4VCeFLvR9hU0q5cRkAVQ,1,https://yt3.ggpht.com/ytc/AKedOLTo6gOL7cWz_uB2EeORGft1idZq9a1HfJYTIczE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBqMGLHrROJUq66CF4AaABAg,"Invest: 90%
Fun stuff: 10%
Other stuff??",1 day ago,Techi Men,UCoZ31T1H_DCIeShRkmCV0Hg,0,https://yt3.ggpht.com/ytc/AKedOLSNtdLL2_GdgrGpYUS5Ru0G_HQ0TstpG3z3BQB3jQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSyYEs2DKUSQFxFhJ4AaABAg,"Akshat, I have learnt a lot from your videos and your advises are quite genuine. Appreciate if you can name a separate video on homeschooling. My baby is 3 years old and I don't want him to get in the same teaching factories. I look forward for your reply.",1 day ago,premmish,UCyAazK7ByL4wHwJQP9tCCTg,0,https://yt3.ggpht.com/ytc/AKedOLQdBgNeE3s2tQzZwF9DMDlH7ggRI81yRZtFaA=s176-c-k-c0x00ffffff-no-rj,0.0
