cid,text,time,author,channel,votes,photo,heart
UgzyY36N7h0-8L7Zpad4AaABAg,► You check FinBingo through this link: http://onelink.to/finbingoak,1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,12,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwui8MaEIHax-foqFB4AaABAg,Super sir im ftom southindia chennai. Im  very impressed if your infirmation.   Im learning sir,1 day ago,ramesh Hariharan,UCzF6fzu9knY3KBv-uzKpiPA,1,https://yt3.ggpht.com/ytc/AKedOLQ1jzv2rUSF8Vd3aA8Zj9yuDzKf1AEApNxvXw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2CnrE6E1wgJ98pw94AaABAg,I really feel left aside hearing and seeing several testimonies from people on profits they make from crypto/Forex investments. Can someone please recommend a good expert that can trade on my behalf and generate profits for me🥺🥺🥺,2 days ago,Stephanie Kaka,UCnDGDcqqU-GxP3g0jqxlyjg,64,https://yt3.ggpht.com/ytc/AKedOLSmh2sziwViFHox8gCSJjY36XwPS3vxFWRmrfqy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5SBT0KdOs1sw8FoV4AaABAg,"Hi Akshat, thanks for the video, I can agree with you except for the L&T part. Can you please explain more why we should not invest in L&T ?",3 days ago,PRADEEP MATHEW,UCuLNzM1p5sEr9K312-Yk3JQ,1,https://yt3.ggpht.com/ytc/AKedOLQsaH_DBwBgrFMpMY-rnNjlrUmiM6j_gEdGaE-VgA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-hkkGjC8i9cMtAud4AaABAg,Yes!! We need a US Stock market portfolio for 1 lakh!,8 days ago,Harsh Kothari,UCEFidhLpWLutvBb2R9SLDpQ,1,https://yt3.ggpht.com/ytc/AKedOLSn5Rj0nlSA14lytv08U2qiZ7n8gjFUCDBj2TXE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0RYBYyC3Wy1oGiMJ4AaABAg,Very good learning video.Thank you,9 days ago,kshanatosh das,UCdPQ2xjjQeqyKYZfg1S-I5w,1,https://yt3.ggpht.com/ytc/AKedOLT9pnR4PhQQ-2kIpVL7zX5oMXFYTdeONcFN2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxD9tmNcenlJ6ViBnt4AaABAg,How to invest in US market,10 days ago,Somashekhar Chikkanna,UCAXlhW6CuZvA31mOW0GQ7uA,1,https://yt3.ggpht.com/ytc/AKedOLTxs2fuAmUxeTRYptOdca3JemjitLr5yA75xwoItQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbY3oO_SzSWxGM2ep4AaABAg,"Great video, never put all your eggs in a single basket is an old adage which is very relevant to investing 👍👍",11 days ago,ArTaoSen,UCNb6t83H8IozTdAS5y_bWdA,1,https://yt3.ggpht.com/ytc/AKedOLRZx93R8CgccToSr4KWWMQMdXBRVAWe6gEqyQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxRzVDyYnufPrBhWGx4AaABAg,need to know the best way to invest in US. I am bullish about tech.,12 days ago,Ayushman Sisodiya,UCkgf3J2iUY7sShb8xk215ig,0,https://yt3.ggpht.com/ytc/AKedOLTBWAHUrhL9y9m2lAGoTnm3ld87Kit6-D5iN06GgA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJyqappaYmQAkPyEl4AaABAg,I don't know why.. Every time opposite of what akshat says works 🤣,12 days ago,R,UCVozowcEOOSBUKektRnJ5HQ,0,https://yt3.ggpht.com/ytc/AKedOLQrCRJUEb2vDP_5SMMGY9wRwCu9mEvDUr46aKuLkxu4UBTWgkW9tXc1By4TT691=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXswkrFl7EnFs9IUx4AaABAg,Excellent,2 weeks ago,rajesh sehra,UCco6Ru9EQtNljIBEWZ8cs3A,1,https://yt3.ggpht.com/ytc/AKedOLS59dTwoJi6qiys69mipDGs8_6uhjAe_w9M0Q=s176-c-k-c0x00ffffff-no-rj,0.0
