cid,text,time,author,channel,votes,photo,heart
UgynWCigA3BV7BDeEiB4AaABAg,"►For filing taxes, you can check out TaxBuddy.com and avail 35% discount for all ITR filings:
https://filemyreturns.taxbuddy.com/akshat
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock market investing on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,28,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsvmOjxp2_TSzrvgd4AaABAg,Hello Sir kindly make your videos in Hindi so that majority people who can understand Hindi very well they can get benifits. It's my humble request,5 hours ago,Startup's ki pathshala,UCsnEg_MGRdUJTZmg5jklKPw,0,https://yt3.ggpht.com/mgqzVySSaK-B_y9frR-Y02j93dDfmxLsUFwSIGaxt1U0H5HZuomVDzfoHqoyGL_5Z6ssIibwug=s176-c-k-c0x00ffffff-no-rj,0.0
UgypAXqoe5hAXhF73ix4AaABAg,Simply love your contents,13 hours ago,Blue 🔵💙,UCQV9pK1kXq_YsHENppv_UwQ,0,https://yt3.ggpht.com/ytc/AKedOLRDrU-1R-OT8lj_gUaE1YnF-GbMVS17Jrwp4VeyC4D8a58kucTrPVWfTQjyojYC=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxkf4wGF1EteVYvBmp4AaABAg,It's like the Arnold joke. The 1st million is hard to make so start from the second. It's same here. To earn 10k first invest 100k,3 days ago,John Butler,UCKfeQlWLhwI1idk2tAo_V9A,1,https://yt3.ggpht.com/ytc/AKedOLTE-ytnZvNoIM3TxkOIOW3La4Zgj_9XDcn36g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMzjlKyZA63Z8Cky94AaABAg,Please tell about investment course   ..,4 days ago,shital deshpande,UCnmMDyueDm-4uGrhnLUWmCw,1,https://yt3.ggpht.com/ytc/AKedOLT2ey4JPziTM2rIcZfYchLlp1oH2cY61GzAf1dm=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQf2Me50rL672h38p4AaABAg,nft is a scam. do not touch it,7 days ago,Satadhi Halder,UC_jB0KT_8FDbnZdv78Gk4-g,1,https://yt3.ggpht.com/ytc/AKedOLR1cBZCQbC5kn9iEHBo4OwLjAAI2DapKDg6s42ZLg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1eFj_uKiAg71JW2R4AaABAg,Affiliate marketing and print on demand and amazon kdp,7 days ago (edited),Adhumon,UCKP_OlbXFXxRQrmL-67parg,0,https://yt3.ggpht.com/ytc/AKedOLShz5pBH7Ymp8xoEIjB2zvkqM3Tg2k8k8pZOd9DL9E=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkAisHlg9tESWxUrB4AaABAg,You share wonderful content. Thanks for educating people and sharing insights.,9 days ago,S. Indira Priyadarshini Priya,UC38UH22Y98Xrq0OnEFe34HQ,1,https://yt3.ggpht.com/ytc/AKedOLQNEBlSb7rgjTGR_rZhCk87JR4KUHUnaq3yc1Wrjg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8GQkdakK0D0QUDjh4AaABAg,"All 8 income streams 
1. Stock market investment 
2. Youtube
3. Selling digital products
4. NFT
5. Writing Book
6. Podcast
7. Paid membership 
8. Angel investment",10 days ago,PRASHIK HINGASPURE,UCCAWjpgSTuG90m00fs_2iLw,0,https://yt3.ggpht.com/ytc/AKedOLRE8qdY4UJzgku4ptewt2zLLRLcSZWKh900_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxY3c_--0t8V2p7Ix4AaABAg,"Hi, Request you to make a detailed video on NFT.",2 weeks ago,Tanmay Gor,UCRS-J7VaaXUwyh-Z1V3xZCA,1,https://yt3.ggpht.com/ytc/AKedOLTOuSmxqBLKOpJf3u7Tzg_QO3bW69otWfzJ0eREk6M=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfLnm5VFGVnYwT3614AaABAg,Please make more videos on NFTs.  What exactly makes it valuable.,2 weeks ago,mina261284,UC66P0vvCXtCcTGpuwuiLckw,1,https://yt3.ggpht.com/ytc/AKedOLTUlqAgJ9aS9hJpJA4rpatgcis_RB7hS_PUOw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhdGFn2sMuqUYc1F94AaABAg,"Thank you so much Akshat for giving a brief clarity of the income sources. 
Loved it !",2 weeks ago,pavan h,UCbQ2T19fSFYVpjc1DCxCqag,1,https://yt3.ggpht.com/ytc/AKedOLQa4ZD1t976YqCElMHahvvc4AbPMb9A0Zis615jGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJiaKvatIAIXfENJN4AaABAg,Pls make a detailed video on how a common man can make money with nft?,2 weeks ago,Final Destination,UCF9I9VUqXMbSFW1bG4cm4Wg,1,https://yt3.ggpht.com/pV-vE8IqzoItR9m0SPf-vOppzRcbsBzoeWboCkLGD5o0Dw9TxZG2Vjvwk9KZHNNRrAaIgYXJm4M=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxUNqypGTAJki7krl4AaABAg,Waiting for your NFT .... awaiting 😊,3 weeks ago,Awnish Anand,UC7r9lsEvxwJPZk6qJ93kFpA,1,https://yt3.ggpht.com/ytc/AKedOLSzJWrGfplcxrtu6aN7g5kCUt5DShGy7t8II-zvRw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzvWSQ2XwAKQnAYdSl4AaABAg,That's called Fan Forever..just come to know sir my DOB is also 6th April..Thank you Akshat sir for superb guidance.,3 weeks ago,Shri Informant,UCa8r_lcNEwf8AEctU5GUabw,1,https://yt3.ggpht.com/S3FjlwrkWDVBMUrWwhnNXThiK3uJqOpI_23VFDBZ1OyykMUQDP-8Y75p0Ii1x_hw6BdApqwSRA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_as7xJ_-RabSa5BN4AaABAg,"Sir, you are a creative person, which motivate me to view your vedios.",3 weeks ago,Sankararaman Devarajan,UCooePrNFIYOWpxHwAMnPRUg,1,https://yt3.ggpht.com/ytc/AKedOLTtlf9SOY1yAcshxYM3Znv7SiWDvzGl4nxBcw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxc6YjCo562gdE9fxN4AaABAg,Please shoot video on NFT.,3 weeks ago,ketangharat7,UCQQHrCbOFow1cX-Bic_GIEw,1,https://yt3.ggpht.com/l85iZ55sAN44lGC-6p81J1naLNUjw4GdEqzte5FOlFiKlAom45n9DTGGzmgFzCPCTt2oJ4Nxqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlxNbSAmEvblqFiwJ4AaABAg,Please shoot an NFT Live Video so that i have a fair idea of whether i too can do it,3 weeks ago,Fayyaz Ahmed,UCf3T8WL0jQA1q_32hYJkeIQ,1,https://yt3.ggpht.com/ytc/AKedOLSZrChxDXkJaFb3mBVH9LHAh7_znSjxYPVAcrpkHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVdDuNbM26gXRC6ZF4AaABAg,Reply useful sir 👌,3 weeks ago,Sosuteju,UCNIPvj7whz372EE9jgYwlNg,2,https://yt3.ggpht.com/s-_jruDUBN5tP6fs8pGJ6qrEs6PI3kB9Uwv0xFAvFXQecgRI4vBTmTLPOc4m8TO1M1ZqiboX=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGJOvmD43zR0x9ciJ4AaABAg,I received a cal from someone trying to get a 5 lakh investment under your name.,3 weeks ago,chetan meshram,UCJNthaFngTS050tzi_Nvsuw,1,https://yt3.ggpht.com/ytc/AKedOLQYTiOUtbibYrk-v_5rtqO-zRLbTRPR9rwmqmtE=s176-c-k-c0x00ffffff-no-rj,0.0
UgynWCigA3BV7BDeEiB4AaABAg.9W0aFEb8a4j9W0b2CqqeGh,"Hello sir, can you make a video on how you shoot your videos?",4 months ago,Rajeev Chourasiya,UCM2-lgXSIF_02M7rMwurmeA,0,https://yt3.ggpht.com/ytc/AKedOLTBzcvcH8JCtvyrcOnlBe7wNE-vi9SpMO-VZtkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgynWCigA3BV7BDeEiB4AaABAg.9W0aFEb8a4j9W0coSf53Cl,500k done. Where is the video of yours playing guitar ? I'm waiting for it😝,4 months ago,Indian Decorator,UCd0Dvi-R1e60FIO-U7Z8bHg,0,https://yt3.ggpht.com/ytc/AKedOLRJJnmqXKLYjLHLgfDHBV3ixmhEyU_DgeZvy8S46FiXZNeV4DlMoP0W1HA1_p6h=s176-c-k-c0x00ffffff-no-rj,0.0
UgynWCigA3BV7BDeEiB4AaABAg.9W0aFEb8a4j9W1A6mH61Cb,"Hello Akshat
What do you think about evergrande fiasco  and Chinese real estate bubble burst could this lead to market crash. Will Chinese govt do bailout.",4 months ago,haresh prasad Deo,UCENiB6-v-SLi9QUR1N8yP6w,0,https://yt3.ggpht.com/ytc/AKedOLTokKmhSm41XL1PpAd3_I7IxmNXWwoHdfrrig=s176-c-k-c0x00ffffff-no-rj,0.0
