cid,text,time,author,channel,votes,photo,heart
UgzZyOQj4AkqDH9xun14AaABAg,"► Learning skills is the best way to grow in your career. Udemy offers some cool courses.
Here is my curated list of courses that you can find on Udemy(https://bit.ly/3oYNTVo):
Digital Marketing: https://bit.ly/3HLapdb
Excel: https://bit.ly/3r6qVhY
Time Management: https://bit.ly/32vOfeH
Financial Analyst: https://bit.ly/3HLaQUR
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock Market and Cryptos on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,7,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwX43ooQ8Utq1lW2Hx4AaABAg,"Hello Akshat, Can you Suggest some good books for consulting prep?",2 months ago,Carter jim,UCdM-4XrRnvAutQdbm2pbLxg,1,https://yt3.ggpht.com/ytc/AKedOLTVH1s2diriKhQFFCL0X5PrkrqPhjQr30XTKHwfXtzHekvbrYmgQFQtdYhiljEZ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyfk1FZ7DtTehg9XfF4AaABAg,yes,3 months ago,Ram Sree,UCjZEW7UQiB-EMu2tqMdhthQ,0,https://yt3.ggpht.com/ytc/AKedOLQRZwZrCHCPkNhftU_NttrwQBLs2yAGZRrorCFJpYA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPRwRPu_OcBFK_rw14AaABAg,"Akshat Sir, your ""Hi everyone"" energises me",4 months ago,Sayyam nagar,UC2B4VpSb90_QW8V0GKhJgeA,1,https://yt3.ggpht.com/ytc/AKedOLTVZDZccZybArUQbukXDAaaxwZjJANZaE4wfrC4Zg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8G9Z-3PTCN0N9Yul4AaABAg,Hello Akshat . Thanks for again sharing insightful video. You always of great guidance on how to upskill career. Could you please tell / or video on can  a postgrad person with 2-3 years of experience enter into management consulting or will not his experience be considered if possible to enter what skills  / technical aspects is must have for him to switch from pharma regulatory sector to management consulting sector ?,4 months ago,sarbajit chakrabarti,UCyAzuqUCm3AT51dgq4c2pEQ,1,https://yt3.ggpht.com/ytc/AKedOLSQBIXj6bQQE__LkPQkO_zx6gi11SZO3E7Dt-XWHQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBMw8ADvwTYutRMuh4AaABAg,Great knowledge!,4 months ago,Ravi Goyal2049,UCZpMFlxdldzDobHQnEQUqgw,1,https://yt3.ggpht.com/ytc/AKedOLTtW8k1OkCOCGaZr8k5D1E4wlm6OBP9I0eeOlU2=s176-c-k-c0x00ffffff-no-rj,0.0
UgzymrvZ_XZyg754i1x4AaABAg,I bow down to u for such knowledge,4 months ago,Saurrabh Singh Kushwaha,UCZwNCU8hcWJ8ZfmPduTLbbA,1,https://yt3.ggpht.com/ytc/AKedOLRIHXrr8mqH_0uhl3vmc4MLBDXXkAPgBHmJG8HXbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXD_eT1qko4LdvOf54AaABAg,Good one,4 months ago,Abhi Patil,UC9Tj8Hllk1nIAEVbvsLZKIg,0,https://yt3.ggpht.com/ytc/AKedOLSNBA513SDcsV-ALXNl0qu8E5oOiNsK4Uq8Qw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxotDFYUzdBNlKyo_R4AaABAg,I thought Bright Com Group share 😂,4 months ago,Janaji Fin,UCNZKcDxQHfgZg2ZYvwzdrFA,0,https://yt3.ggpht.com/ytc/AKedOLQyUZXsB1ml65peC8_0z1orymVIHH5vFOwPpYeh=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuLjdxdGzQwrQy5OZ4AaABAg,After watching your couple of videos.. became a fan of your in depth analysis and simplicity in presentation. Now I wait for your videos and try to implement it as far as possible. I have a 5 year old boy. Kindly make a vedio on grooming the kids to facilitate them to be future ready. Previous video on hifi schools was 🎯,4 months ago,Prosenjit Dan,UC5pziKHGktiKAmnmgN5Uq0w,2,https://yt3.ggpht.com/ytc/AKedOLQywbdOSM7YkrxhTkpJBtFEjKdyECGpYB5l5jM2=s176-c-k-c0x00ffffff-no-rj,1.0
