cid,text,time,author,channel,votes,photo,heart
UgwO1w2Og-k8mh_0Wul4AaABAg,"►Check out my specifically curated list of books on KukuFM.  Use the coupon NY50 to get 50% off  - Valid till 2nd Jan, 2022:
https://kukufm.sng.link/Apksi/0oz0/lzdt
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about stock market and cryptocurrencies on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true

Wealth Creation report: http://www.motilaloswalwcs.com/pdf/MotilalOswal26thWealthCreationStudy2021.pdf",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,40,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBSw6ElLP6CqoZ6t94AaABAg,"Hi, is it too late to start investigating in 40s? Can you make a video for people above 40 and what best investment they could do for next 10 years?",8 days ago,Vanitha Mary,UC1VRJuwFBrZtpnDXe-N2qVg,0,https://yt3.ggpht.com/ytc/AKedOLTcWr18ZxrV_OcBkuhE0Jij7s1-3SeF1nBKMg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyB1Bbv7EBeCku72f14AaABAg,"I like the way you speak,,, you are awesome in delivering content...",10 days ago,Hrudaya's Chitchat,UCSTvFyCeNuuI8nIe0NPxgMw,2,https://yt3.ggpht.com/ytc/AKedOLSuRpGhAXQsq4qYGaFVnYll4WSf_7iNS6a5vQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgysekOhLoY1c6-h3ZZ4AaABAg,"Hi Akshat , You have contradicted yourself , as in one of the videos you have said that companies that are rising at let's say 15% every year for say 10 years , there is no chance that it will grow in the same fashion for next 10 years and that we should not invest seeing the past growth percentage which is contrary to what you are saying now.Please elaborate",1 month ago,Piyusha Sinha,UCNWrC4KJekMT8mRggVhyU9Q,1,https://yt3.ggpht.com/ytc/AKedOLQGksPqKXldFXYr9gDFo0T65C-cXh0_nKfHqyBLcw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSsZjGu8e1oT3yvTJ4AaABAg,Hello Mrs Maria is legit and her method of works like magic I keep on earning every single week with her new strategy.,1 month ago,Jackson Jack,UCHs67TZ_N_sHWlWmK4Urgow,48,https://yt3.ggpht.com/ytc/AKedOLQqRlFf5_ZWRrqvbVKm3OUs2Jw1aUcVzPZfjnuo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFWCEuWQHkOETicbB4AaABAg,You are looking like my younger brother.. thanks for educating us,2 months ago,Nallas Path Finder,UCyjdopwcx1nOjpw-xwacyyw,1,https://yt3.ggpht.com/ytc/AKedOLRTvkEuT8NG5NIBaQ6gj6ql1ZCJDzB42W3cMGbf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_5hvaT6C1PIEOxZh4AaABAg,Hi Akshat .. Nalls here,2 months ago,Nallas Path Finder,UCyjdopwcx1nOjpw-xwacyyw,1,https://yt3.ggpht.com/ytc/AKedOLRTvkEuT8NG5NIBaQ6gj6ql1ZCJDzB42W3cMGbf=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXqnC1dYyGUEcvh454AaABAg,"I just need a 15% return on long-term investment, so if I buy the mentioned 6 stocks and do sip regularly of 15k will that help?
I don't want to use much brain here, I can earn more by investing my brain somewhere else.
please give your advice everyone.",2 months ago,Faizan Ansari,UCgqMiHtA2S0JBU-sIevzsgw,2,https://yt3.ggpht.com/ytc/AKedOLT03T4W9Pa4lSqB5wXCIyXMmHm5itHdamr-HYW7aQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwxNym63P1bkh0M6t4AaABAg,"Which is the sector which can or be like the banking sector ?.
& Why is banking such an inevitable parallel sector to NIFTY 50. 
*.",2 months ago,Desert ROSE.,UC9Tg5LIixv5LylXwuahz4qw,0,https://yt3.ggpht.com/h-y9JuM1ijP4hUBOE6TTz2_NgqS8GFU1aHdhFGnrDwUSloVLNmaxxnIyr6TFWT6KqM7egdzYMfM=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIY8ARE8IqDnT2l794AaABAg,How cn I make u as tutor,2 months ago,Aparna ch,UCZxGdztIhbDmdYohIEgV6eA,0,https://yt3.ggpht.com/ytc/AKedOLTdn9aavPB0LzNrbbz31JPjFnmnmjSzVNdwpqBxqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxYHckMx5kAGQkQVt4AaABAg,It is trustworthy and doable...so thanks a lot...,2 months ago,SIBABRATA SAHOO,UC52x2ADosgQPyV7jgerSE5w,2,https://yt3.ggpht.com/ytc/AKedOLQTHj3tZheMbs68eHmfVLC0Ie5IVyIpfgMMaJ6raQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9_FZwUV7k3WacH7d4AaABAg,"Hello sir! I'm 20 yo, currently studying and still have atleast 4 years till I start earning. I've already started 2 MF SIPs of 500 each with the pocket money i get every month. I'm not too confident about entering the stock market rn because it'll not be my own money and i don't want to risk my parent's savings. But I also feel like I'll be missing out if i don't start rn. Can you please tell me at what age did you seriously start with stock market?",2 months ago,OkaySenpai,UCo_iLER_mvRssT0iplc__hg,1,https://yt3.ggpht.com/eSDwniF0PjfA5n65oTC4_MKFURnPPboqc7XFqvk8luPXBtbAKM6rQLp-hFctPf3GT86U-1H08EI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxJFAT-X4pzRwxixrx4AaABAg,Great great great great video sir sweet simple and informative you are real guru,2 months ago,sunil wakode,UC7aZUMnHBhQAhD25yx9j1Hw,2,https://yt3.ggpht.com/ytc/AKedOLSnZkWS036pxeQH3wcFgPj3d5kcW1axpUxhwCSphcM=s176-c-k-c0x00ffffff-no-rj,0.0
