cid,text,time,author,channel,votes,photo,heart
UgwdnMDVgE__fQWFMwt4AaABAg,"►My upcoming LIVE course on investing (batch starts in March, last few seats left): 
https://wisdomhatch.com/
_____________________________________________________
►Check out my curated list of audiobooks on KukuFM!
Use the Coupon code - AKSHAT50 for 50% off
( Coupon valid for first 250 users)
https://kukufm.sng.link/Apksi/0oz0/lzdt",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,9,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgynsEWO_g4kWSxuWu54AaABAg,Other videos are really super advanced ?  😅,8 days ago,R J,UCkWG5wV3hgEE0QOdxNYw-Cg,1,https://yt3.ggpht.com/ytc/AKedOLRBwX432Txl_nUn0eKXHkBE7kGwpvWFN3Rwrw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyH-JZz088L5M-R4B14AaABAg,great video sir,3 weeks ago,shivam nautiyal,UCWqiMEDVUUo45MPzoWcANTw,1,https://yt3.ggpht.com/ytc/AKedOLSvqmXUSNHX1-SkSHUuB7tdWe5q4YBJudE_sSKITw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBsOJXQQfpFmvAMG54AaABAg,"Let's not forget that the biggest payouts in the markets don't come from great performances but rather it's great promotions. Stay invested, diversification for streams of incomes is very important And with the right skills and proper understanding of how the market works.",4 weeks ago,Williams Smith,UCLZNqyQ_kPIeirF2YaaCpXA,32,https://yt3.ggpht.com/ytc/AKedOLQ2Io5gPWUoDxwO5iauyTFm7SDPXLg1VfkqrYWbFg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxjlz8fON80dcVFSiV4AaABAg,"Nobody becomes affluent overnight. They do the labour but we just see the finished product. Because of this, we are unable to take the courageous moves required to achieve our  Financial goals.",4 weeks ago,Annika Lya,UC0iuY6wMVn8fly2Gvxv41bA,119,https://yt3.ggpht.com/iNSfevS1bpmsQ4wYPGMOH0beG7xFOLNHKvj5jhA3neO9p7LbmZHP5c7nEPlaFyBQ-QG07Tb3=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWxbi7tFTwfOX7luJ4AaABAg,The Market has been pretty bad until today it decided to surge. Everybody was Practically Crying then. It kept dipping. That's what you get when you feel you can navigate the process on your own. Big thank to mrs Josphine leela. I'm not bothered with how bad the Market is because my assests are insured due to her advice and I still receive my profits,4 weeks ago,Smart Nelson,UCisqS6dm3dhKCZxXOQnj8-Q,33,https://yt3.ggpht.com/ytc/AKedOLTSn8zr1uT4p2VxuNi0Rcdx3YOA-6IaOIPW-l2Y=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxh0ssY4_ARu6UJPGJ4AaABAg,"7:33 - That smile on Akshat's face when he says ""retail investor means a small investor like me"" 😋",1 month ago,Chinmay Navre,UCT6ecTz1cfmmToPGvjUzdDw,0,https://yt3.ggpht.com/ytc/AKedOLSqnK67vsemHYWHCj1enfxJMcZJwVlpGtM80H7eb5s=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcAE_DHAhypUtpyTV4AaABAg,"HELLO, I'M NEW TO CRPTO AND FOREX TRADING AND I HAVE BEEN MAKING HUGE LOSES TRADING ON MY OWN BUT RECENTLY I SEE A LOT OF PEOPLE EARNING FROM IT. CAN SOMEONE PLEASE GIVE ME A NEW STRATEGY OR AT LEAST TELL ME WHAT I'M DOING WRONG?",1 month ago,Phoebe Harris,UCEuBS9bBsFt5SMkYXu_CavQ,74,https://yt3.ggpht.com/ytc/AKedOLQYKgAbtsjDML2830wyfH3GfmJ9zBBfRUwwlQI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhOCrN3vXrdEpX-LN4AaABAg,wonderful presentation,1 month ago,abdul razak,UCOJ_kXHeHhSDjc5-WXl-YZA,0,https://yt3.ggpht.com/ytc/AKedOLTDA9ud70ENIxG2CZOkPWXhERlejN4niAA_gA=s176-c-k-c0x00ffffff-no-rj,0.0
UgynkZyr8FhUxyh8J1p4AaABAg,Great content I am already earning $11k daily from stock investing with the help of  MR Fredrick and he can be contacted above greetings from  USA 🇺🇸,1 month ago,Contact fredrickdaltongs@gmail com he is an expert,UCdO5AyrIltzN0pZsmrai9IA,1,https://yt3.ggpht.com/ytc/AKedOLTfN225NcsDuHY6bGmh5TkLWIs-i-4_heHsz7Hk8DE_RxbgKnReK8olUprZJR5e=s176-c-k-c0x00ffffff-no-rj,0.0
