cid,text,time,author,channel,votes,photo,heart
UgxxiJ4phcPIg2ehVjZ4AaABAg,"►For personalized classes on Stock Market and Cryptocurrencies, check out: https://wisdomhatch.com/
____________________________________
►Check my podcast here:
https://open.spotify.com/show/2TCEknmn1VexWXAHLYdcvL
____________________________________
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat
_____________________________________________________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,23,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaXuae529_JNhgDiZ4AaABAg,"Superb conversation, thank you Akshat",2 days ago,Niral Visaria,UC_C9VG3a-jprKM6UFWlpR9w,1,https://yt3.ggpht.com/ytc/AKedOLQ_pQ91520XCcCmYwbK02971i-66Bv-e-SBeTGfDlZBtaTp9UuC6XHx-mTgxjoa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyq_b61eYaNJze3W7J4AaABAg,"Awesome, no two words :-)",6 days ago,a236z,UCVddALMkKMhIXppbmM6qytQ,1,https://yt3.ggpht.com/ytc/AKedOLQ5pmTyce6IW1nnGlPMs6M5BptoR5PP5hq5shcxig=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyrv7LtuB0EbC1ekDt4AaABAg,Amazing mam,13 days ago,Dimple Pandita,UCglvqevNeNLsZOiMFr-4ppQ,1,https://yt3.ggpht.com/ytc/AKedOLTqBVlrHkiFA0A9Q6P3fNPnG5ktzB-TNVdTzd0HvSrcdNOljqa4ESkVawfuFHi2=s176-c-k-c0x00ffffff-no-rj,0.0
UgztvCWvpMBrH-Cy8It4AaABAg,Great Akshat great Video and thanks for inviting Saurabh Mukherjee and Salil Desai. I am also one of the follower of Saurabh Mukherjee.,3 weeks ago,Mahesh Dhakate,UCgVKLKhYUOxxCeQSd3YsBgg,0,https://yt3.ggpht.com/ytc/AKedOLT4cbwr6PWExGdTeXauCvNpgEdzQlSqPC4rS0cFXlo=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzR5F9pwUHt2PH5kZ4AaABAg,"The video made me to recollect my CFA books..
Sadly, the stock market is not working like this now a days..",3 weeks ago (edited),Satish,UCs5EPRcFPnXSCK7oqVda8ug,1,https://yt3.ggpht.com/wel6932TIkngleF6tARdeXLi5roCohLEF4ZZ81m170_NBEJyee9ZmTN01OorvFt9Kvj11itI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz80EryF7LqspwUgRh4AaABAg,P. S - don't be intimated by my username.,1 month ago,youtube police,UCryIfiCMVwD_pnEMkLOh5cQ,1,https://yt3.ggpht.com/M2yGvYOA6BpoZGuG553wU0VyQIBDxmQmWGH1Mmf-femCn_vTQrBgXMN0EeHvCHszDRNlKZUM=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTEgJCH8v3IQT5orV4AaABAg,"And I am watching in Switzerland, love and respect from Switzerland 🇨🇭",1 month ago,Unseen facts,UCo13TVu1iZvECzY5rq8OWcw,1,https://yt3.ggpht.com/sF2S5wya2SB63rljcJSz-9kU_ZS5n-BuhbH5T_XWYxN02mTCVeByKS2rWKRnwzwKC6M3dFSqgg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwi8jntnhmO4VpAssl4AaABAg,"Wonderful discussion listening to wonderful experts so much to know.,,Thanks Akshat",1 month ago,Asha Mehta,UC8iiJXthBJ6ARlhahCsDFNA,3,https://yt3.ggpht.com/ytc/AKedOLRnbkwFh39JVr7U1sF9dhI3eA6NoXEOnQ3k-Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxV8Yo--0nnKoS-QMl4AaABAg,"Akshat maza aa gaya ,three brriliant experts,so much knowledge from Saurabh,Salil",1 month ago,Asha Mehta,UC8iiJXthBJ6ARlhahCsDFNA,1,https://yt3.ggpht.com/ytc/AKedOLRnbkwFh39JVr7U1sF9dhI3eA6NoXEOnQ3k-Q=s176-c-k-c0x00ffffff-no-rj,0.0
