cid,text,time,author,channel,votes,photo,heart
Ugw5orwppt_V8YijOA14AaABAg,►Get 50% off on my Business Analysis/ Management Consulting course: taught by me and an ex-Mckinsey consultant: https://wisdomhatch.com/management-consulting/,10 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,37,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgylFqWILVpf9wUJq6h4AaABAg,Happy Birthday Belated ❤️,16 hours ago,Comic Manga,UCRPwyW6iwVuFbDAK-v7llyQ,1,https://yt3.ggpht.com/ytc/AKedOLQucgmCYI9MVpPGsIpWKwyphkcy2OpHVpbU5YpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYq1TO-n5tyn4DlER4AaABAg,"Hello Akshat, can you please suggest where to invest? I have no much  ideas on financial markets? I am planning to invest Rs. 7000-10000 each month. Thank you",18 hours ago,Chittaranjan Pradhan,UCO6gdLuz8ONZ7aAcA82rwnQ,1,https://yt3.ggpht.com/ytc/AKedOLSDYR9x5PyW_lwUtsMwXhHV7Zz8WABi1tw4wEmf8Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9fbQl0U4XJJk8Q8l4AaABAg,"There's one big point that is missing here. At 6% inflation, the value of 3.5 crore in 2050 will only be worth 1/6th, i.e. around 60 lakh in today's worth.",20 hours ago,What Year Is It?,UCH0oKzz2n74qU7vhxNHOc_g,0,https://yt3.ggpht.com/ytc/AKedOLTOHiejYPEUrFtHyFvUElzfFcrmWhllD_aKD2z1nQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_WYpP5WXxyKhJpqZ4AaABAg,"5 core things I need in my life:
1. Time to spend around people I love. 
2. Spacious home with convenient amenities. 
3. Ability to travel. 
4. Healthy life. 
5. Ability to take care of my parents fully.",1 day ago,Navya G,UCyjMFCec4RrP_GJoZCIMOJA,1,https://yt3.ggpht.com/ytc/AKedOLTlvox8c-44CbS3YvqMpCBiTnDAPh726DQRJRuQmQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxeVcGsxXCjIcial94AaABAg,I really admire your thoughts and suggestions. You suggested just like a father to his son.,1 day ago,rajan,UCHQtVs09rwe96Q73anMFhgg,0,https://yt3.ggpht.com/nu4bC4dee_XJT0_uSHagOHGbUuMf3VDinB-atoFejKtOoQ_h81L8rhJqySulEtTEDp9MQr50rw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEVuvdeROQPhqHPCB4AaABAg,Super advise about simplifying life.,1 day ago,Vijay Srivastava,UCPg5FlHvkoNQ6zB7HYaLT2A,0,https://yt3.ggpht.com/95M5NV5rKyv4G6N2FlQPo9-ZxTQoGp23xk2tXnwsLscNMhUmeb7ya52rpDx8YjhXsUC4T4l1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyh-h4cVpmUshdac3Z4AaABAg,I really feel left aside hearing and seeing several testimonies from people on profits they make from crypto/Forex investments. Can someone please recommend a good expert that can trade on my behalf and generate profits for me🥺🥺🥺,1 day ago,Aliya Mary,UCQTd1wtnX6ldg93RakytFBA,48,https://yt3.ggpht.com/ytc/AKedOLSHaTlF2WS3aF5Iqk--AYfz8pzYT_fYd92DWBYi=s176-c-k-c0x00ffffff-no-rj,0.0
UgybAJei4VxHtZbjTHd4AaABAg,"Incredible video ,thaks a lot",2 days ago,Md Yousuf Ansary,UCb5QqNt4cqjMX6gCrKfyXzA,0,https://yt3.ggpht.com/ytc/AKedOLR3C5jw4goSfK9bRmEjIXCZ10J4zUssGKNK=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxz6sGEOrxUKuUxkaR4AaABAg,"Thanks Akshat. Actually I was very much confused about my life, but after watching this video I am really feeling confident to become financially independent. Once again thanks for the video and the information you gave. Please keep it up, it really helps a lot to many individuals.",2 days ago,Siddhesh Patil,UC7XqbC7dT4TwK3e8NSVJFcA,0,https://yt3.ggpht.com/ytc/AKedOLRIChcX-Z3m5KNduLSs5N4vjCzYWHFNAfbhlA=s176-c-k-c0x00ffffff-no-rj,0.0
