cid,text,time,author,channel,votes,photo,heart
UgyARm0oAPEFGmED9MF4AaABAg,"►Ace your fundamental analysis with Tickertape!:
https://ttape.in/tQ8PHO7jQgb
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock Market my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,17,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2ksCZb6yN0ryyqN94AaABAg,"As you invest, you buy yourself a day off when you have to work... I pray anyone who reads this will be successful",2 months ago,Oliver Daniel,UCYShspLTADJcCjYkArnye1A,52,https://yt3.ggpht.com/ytc/AKedOLSU2Oyjvognb2TUfud-gOfHjDbkOPVY-uyPGaD6=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXn-H9ly0u5IboRHd4AaABAg,"Akshat, please make one more video on Alpha Beta concept please. It sounds super important.",3 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,0,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
UgztxuPPluHdb3URRcl4AaABAg,"Akshat, share more on Macro Economics please. It seems very interesting and useful aspect. I would like to watch your video on that.",3 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,1,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxl5KicHyC8V8mSG9V4AaABAg,Ace okok rakice ok,3 months ago,Suresh G,UCXs4-IgUOGMCrr7003uAf1g,1,https://yt3.ggpht.com/UFRsHQe-znjEme12p-80UZTRLPMsAXRo1FV5jZaDpoT1SAA-7ejFdPD1JnfWLIJVfsyKo-LWnyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuzSezR2NEUw_fHWd4AaABAg,Please make a video on commodity cycle. 🙏,3 months ago,Akarsh Goel,UCxHpyyLszk0F1ZVbkgJsj7Q,2,https://yt3.ggpht.com/ytc/AKedOLRGnRNjctdn7CH3theuhzZCwf8kBL4y8qgNBnCykw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx04rK7a0cFwVPkIml4AaABAg,Exceptions are always there. I am making 5-8% (sometimes 13%) monthly in MCX and then investing profits in Stock Holdings. On 30L investment.,3 months ago,Akarsh Goel,UCxHpyyLszk0F1ZVbkgJsj7Q,2,https://yt3.ggpht.com/ytc/AKedOLRGnRNjctdn7CH3theuhzZCwf8kBL4y8qgNBnCykw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsmONFYze61YbT-Dh4AaABAg,Hi Akshat. Can you please create a video on options trading?,3 months ago,Swagat Saikia,UCBfKRPKIojsihO46wwRcLXg,1,https://yt3.ggpht.com/6cXq2syiO2ksVKV2GUsk3xl4v-bZQNowD6exEu1Nky85IZMh0TrenYH-8btLD7sC9whzthGO2w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7owpPxYkF15Q2EWN4AaABAg,yes,3 months ago,Ram Sree,UCjZEW7UQiB-EMu2tqMdhthQ,0,https://yt3.ggpht.com/ytc/AKedOLQRZwZrCHCPkNhftU_NttrwQBLs2yAGZRrorCFJpYA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPyk3IG8hkPpfxbhp4AaABAg,So nice of you brother that you are helping us while travelling ❤️,3 months ago,1550 Garv Ahuja,UCHAWBd0JjG23Inzgt3jHaNg,1,https://yt3.ggpht.com/ytc/AKedOLTVzplFtJ1N668RqGM444LZLqAwkBADnDaW2y9CvA=s176-c-k-c0x00ffffff-no-rj,0.0
