cid,text,time,author,channel,votes,photo,heart
UgxVYtDKwomttRRwaIh4AaABAg,"►My LIVE COURSES[June Batch registrations have begun]:
https://wisdomhatch.com/
_____________________________________________________
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat",3 weeks ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,23,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR1ppPPgtsU_VKNM54AaABAg,"👆👆👆👆👆
I got my first apartment with the money I got  from this man i trust him with everything in me💰",10 hours ago,tylor( Hackweiser69Original on telegram is legit,UCHjv7V_v_dTFjPKqmdEpUEA,0,https://yt3.ggpht.com/ytc/AKedOLR5t91RRSSrP1JvKjdJhNL9ubMAkAzZxxMew9hvrDUdQ9fQ8kIrw3BqO8VoWo0r=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKkd63ei-0LI9GzoZ4AaABAg,"👆👆👆👆👆
I got my first apartment with the money I got  from this man i trust him with everything in me💰",10 hours ago,tylor( Hackweiser69Original on telegram is legit,UCHjv7V_v_dTFjPKqmdEpUEA,0,https://yt3.ggpht.com/ytc/AKedOLR5t91RRSSrP1JvKjdJhNL9ubMAkAzZxxMew9hvrDUdQ9fQ8kIrw3BqO8VoWo0r=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtEw8M4WdaL-sQgmt4AaABAg,Can anybody tell me what is the tax rate for dividend income?,20 hours ago,Ayush Gupta,UCaJIs0MNs0-ItDaoNKcfnVQ,1,https://yt3.ggpht.com/ytc/AKedOLRSFm1ZMISpU1ySHrJ05yprIktEeaneeDi8QkY0Ew=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjLoz7lk8Zav3lvfp4AaABAg,With 30% tax on crypto it's better to stay away from it,1 day ago,Mozammil Athar,UCHzj1z8H3mv94qbXOmO8QKQ,0,https://yt3.ggpht.com/ytc/AKedOLSAnefz4HCHnXLFs6YocLt93l4sacZp3VA7vfUmog=s176-c-k-c0x00ffffff-no-rj,0.0
UgwV3nu_DOlNQbbkg-x4AaABAg,Thanks for crypto information,2 days ago,Software Dev NK,UCEpmgJY-rLAO2tWwFa0MQdg,0,https://yt3.ggpht.com/ytc/AKedOLSsAoH5YQA22TZXEKRtBVeKwOAqhKVSElVlwPAd=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7Gsx8BRbC043A8L94AaABAg,"taparia tools are like colgate in tools space, almost all engineers starts their life with thier plliers and other things, problem is there is no free float available in the market, most of the stocks were owned by promoters and their binami accounts, so getting one share is a great thing.",2 days ago,nonsense,UCVhLrbf1W7T7C8igDF5obng,0,https://yt3.ggpht.com/ytc/AKedOLQaV3yGTQJAiTpNurvHFem-qjMJC8cwprRIfgRBWHh_EfEz1m2kKNQC52xlWdts=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVFhYyO425EzereuZ4AaABAg,Sir what is ur portfolio size ?if u don't mind.,2 days ago,sheetal bende,UCMFwu5wbHI0ow-pwOdrqi0g,1,https://yt3.ggpht.com/ytc/AKedOLTbBPcucrajeCfa65NAQ-2DHyAbsE5YSf9NJug9MA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUROYT0tRNyAn0RyV4AaABAg,"I do not buy ITC as its not a ethical business, it promotes usage of tobacco, any one of you ever got thinking in this way?",2 days ago,ContriveBrain,UC0R5FsagIUuPWgjrWUzcjRQ,0,https://yt3.ggpht.com/ytc/AKedOLSNF9vfGugsBLtI3XiKI6-SDlY6AUd1T_zZ98MY=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqbX5HP4y66gsgjZB4AaABAg,I am just new to investment. To start which dmat account to start with? Plz help,2 days ago,tony soza,UCQByF3XSfADC6K5ayMd1fhg,0,https://yt3.ggpht.com/zDVWtSwaAUgo72DUERG7a7uzbPmo44KjMVHEhxDkrH18JaCikwf8GTZr2D4M9xT1fwsFbjLoTQ=s176-c-k-c0x00ffffff-no-rj,0.0
