cid,text,time,author,channel,votes,photo,heart
UgwF4iCPMToEJXonhW54AaABAg,Sir I'm improving day by day from your videos.thanks a lot.,3 weeks ago,TECHNICAL TREAT🌟,UCPD0M9a-ik5EllnpBvy9dxw,1,https://yt3.ggpht.com/omh93isPeXpc9fsJ9iDBZ39SA-D0eYNsMJfMNTgH0Nj5FwefH_Ory9M2cyopGHQO4csvQgEK8e0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzeGbYtjZubDczdUCB4AaABAg,Ducks in a row means organising your tasks to be prepared for the next step,1 month ago,Himanshu Sharma,UCjCPBIfdrbofaIXZ1ozHHfA,1,https://yt3.ggpht.com/ytc/AKedOLQsPjE0LG6FSEMOKJVXi-CBe-7-6fqUokQbd0im=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5qfJSrM7DhgoO_6J4AaABAg,"Akshat, some opposite view point from my side. If you want to do something big and you have a plan B, there is very less likeliness that you will succeed in plan A.

I was doing a decent (maybe too good in some people's eyes) corporate job but wanted to be an actor since college time. To pursue that dream, I moved to Mumbai from Bangalore and also left my position as Team Lead in the company. My connections in company were good so they allowed me to do part time job from Senior position while I was working on my dream in Mumbai. I gave my 2 years to acting career, worked in 1 web series and then quitted. Reason? I didn't feel so motivated working in just 1 web series in 2 years! Also, I started feeling like I could make more money being an employee rather than struggling in Mumbai. And what happened next? I left my acting career, started doing a full time job. My job gives decent salary, close to 30L a year but I couldn't be an actor. My plan A didn't succeed. And I feel that this is just because I was having a decent plan B too, job. 

So I will repeat, if you want to do something big in your life  and you have a plan B, there is very less likeliness that you will succeed in plan A.",2 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,1,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzfp93N1QqlY5R3b4h4AaABAg,@Akshat shirvastava sir please make a video on how to invest in startups,2 months ago,Abdulrahim Deshmukh,UCF8y7YVu1o2D1eEb1Z4jGZg,0,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9ol49HlgvWfzEx0t4AaABAg,Hey how to invest in startups,2 months ago,Sameerkhan Jhadwale,UCi3v_LyFnGktB_IeSA0dntA,1,https://yt3.ggpht.com/ytc/AKedOLSWLw8Xlbk8GO3xZm8bOoDphoQ3Gle_UnlemQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbkJXl7Nw11YVxMox4AaABAg,The Market has been pretty bad until today it decided to surge. Everybody was Practically Crying then. It kept dipping. That's what you get when you feel you can navigate the process on your own. Big thank to Mrs Josephine Leela. I'm not bothered with how bad the Market is because my assests are insured due to her advice and I still receive my profits,2 months ago,Sundayv Godson,UCqPjPkDbrOsNYkFQwOHuOZw,28,https://yt3.ggpht.com/ytc/AKedOLS6to-1boO24vPqenCX1XPpWOPs7RsWStX4Oynv=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKsqzvOTIZQJArWWx4AaABAg,"I remember I switched to service based company after working years with product based company, thinking about risk. But unfortunately I regretted it. Dont take risk if this cost your peace",2 months ago,Ankush Madankar,UCCHr_5UoTyZVqfLZ8qHOPQw,1,https://yt3.ggpht.com/ytc/AKedOLQ0zRDNotdegw1dP5DtN1k6dDmr_yxnzeGiNg=s176-c-k-c0x00ffffff-no-rj,0.0
UgysHRnoosc1qvZ83LB4AaABAg,Sir what about the money that u invested in crypto??,2 months ago,Afraid Doctor,UCdMoZEYsjHy5KhRyVjfvx_g,0,https://yt3.ggpht.com/ytc/AKedOLTZuqHKgXP_j-9f6Cg-5JmxGwWsXdJ319a2gg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3XghxHPUCq_nFKJl4AaABAg,Thank you ..... It is really helpful.. pls make video on option trading. How to make trading profitable. The do's and don'ts for new option trader.,2 months ago,Suchandra Sadhu,UCl37NUhSUMzN_2LKVWR_6oQ,3,https://yt3.ggpht.com/ytc/AKedOLQHFvRC_0rsqnbJCRsugYzoMlKCIXhgU4QzyOgcXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRVuheVtfcTXT1_Up4AaABAg,"Nowadays, your all videos seems to be repeated one and no content at all.",2 months ago,rohit singh,UC3RjcodO7H9AzS7zKiT5s1g,0,https://yt3.ggpht.com/ytc/AKedOLQDa2Qwf6dw7iBJccvdhiRLnYCmZ1W0ccXvw635gA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIPXj2ZczG1v7uvfp4AaABAg,THE BEST VIDEO ❤️ Thank you so much.. specially loved the plan B idea and how to analyse risk reward ratio.,2 months ago,Konark Tiwari,UCttcI70q0Hp4AMUWaxGx7mA,0,https://yt3.ggpht.com/ytc/AKedOLTCukEDZDHXhPM3cQ18zdL-aM0BiVXtwtzEdsVqmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZpCJ87GdvDoZxsBd4AaABAg,How to invest in startups? 🤔,2 months ago,Aashish Patil,UCJENn3-0RybuTWFWfegQZ-Q,2,https://yt3.ggpht.com/ytc/AKedOLTxU3g4MIHlP65xOAHOQhLRQvweJq-fFHgvRwmgsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQIqkUdeMivWS0QWp4AaABAg,Sir which are the best 5  longterm stocks,2 months ago,siva reddy,UCdVjuaIWvAPQPktCyJ5PzkQ,0,https://yt3.ggpht.com/ytc/AKedOLQupbKB6oOlexsLpVf1OO8JlhlhxtEmzP3bqJo5rw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXO_R8Roz21mH-ge54AaABAg,"Trading Ethereum is a great way to make money particularly in today’s economic climate there are many strategies that Ethereum traders employ, including day trading, arbitrage and automated bot trading where repetitive purchases and sales of Eth have the goal of generating profit Bobby Mickael gave me best trip to excel in Ethereum today.",2 months ago,Greenwalt Ella,UCACk_SJUt5vs5fRanJsNriQ,1,https://yt3.ggpht.com/ytc/AKedOLTQMHLV7S7qrFjrX_aCv3m_4l1TBBqWx_097w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxdk7E-5OkbxKYdTSp4AaABAg,God bless u brother. Ur guidance is great for young people  but not for middle aged people like me who is financially healthy. Please do some videos for us too,2 months ago,Balla Suresh,UCgNmLlz12qwzuxV5KDWy3Og,0,https://yt3.ggpht.com/ytc/AKedOLQjXsbv8uXxuh5d1s3mKS8b7PhRYZM8r5C2UnQm_w=s176-c-k-c0x00ffffff-no-rj,0.0
