cid,text,time,author,channel,votes,photo,heart
UgwWwe8_tS3p-JDm8SB4AaABAg,"Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib
____________________________________
►Check out our new course website:
https://wisdomhatch.com/
____________________________________
►I teach about Stock Market and Cryptos on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true

Wealth creation report: https://www.motilaloswalwcs.com/pdf/MotilalOswal26thWealthCreationStudy2021.pdf",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,11,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3hm-L0IvHsk5l0WV4AaABAg,"Akshat Bhai 
This is one of the best wonderful video salute to you hats off to sir , you are really helping us by your knowledge and efforts Thank you sir",2 months ago,M A,UCljsuA_IboZOaxyqbKITZ4A,1,https://yt3.ggpht.com/ytc/AKedOLRZuOUwDuEkuDCqCqfHBikFEoFU5j_UtbExhQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzx08JULELi0C2CULx4AaABAg,Liked for your big smile :),3 months ago,Sebastian,UCW-Jj0UevaruCxf9UPvAZMg,1,https://yt3.ggpht.com/ytc/AKedOLQvRrf0OqzwImUr8NT18yiaUQCzC3wKV1m1nbENL6JdkGoLjJ6RsQEsBX7ljWZz=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4-XjTZLoiRNI_W9p4AaABAg,"Kindly prepare a video on us tech companies one should consider to invest, or any us tech mutual fund.",3 months ago,Vaibhav Garg,UCJ1540-v4bAPLqx6mMLxldw,1,https://yt3.ggpht.com/ytc/AKedOLS09yVG_7zj-pmzVwJ_1theZ8lkSo6g2lJDcB3TaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFqkD-AJ9-UUAjX6x4AaABAg,"I couldn't understand what you are trying to convey thr this video except dragging the people into confusion. Do you mean to say, everyone should invest in US tech shares like what you do? Atleast do some justice by giving an advice for the new comers for spending valuable time to watch yr video and hit the button.",3 months ago,aruna marouthu,UCb6LyxYMNJswta3J2EwHTTw,2,https://yt3.ggpht.com/ytc/AKedOLTRvgzVnsSq_U9F52CCXVS3WaEKJjSAzkT14A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwB9H4zAe9d6Typva14AaABAg,💻 1🛫,3 months ago,Suresh G,UCXs4-IgUOGMCrr7003uAf1g,1,https://yt3.ggpht.com/UFRsHQe-znjEme12p-80UZTRLPMsAXRo1FV5jZaDpoT1SAA-7ejFdPD1JnfWLIJVfsyKo-LWnyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgybxqabGxDN15CTGMR4AaABAg,Can anybody share the link of the report he is talking about in this video? He hasn’t added that to description. Thanks!,3 months ago,Rishabh Gupta,UCs7Bl91CUuArTGXgne7HEMg,1,https://yt3.ggpht.com/ytc/AKedOLRXsnspSsS4HN4KC-apfUXjyT_zEeAKtIPk2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOBRPOnYzz97QKaI94AaABAg,Investing puts money to work. The only reason to save money is to invest it.,3 months ago,stella lopez,UCSvEsWQCSOB5xFEGR87ul0g,24,https://yt3.ggpht.com/ytc/AKedOLQkRNFi5BIZJA3iF7h-IjyBFarMMXejY7KNfU2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAWqveKjHg3XVrOWp4AaABAg,"I didn’t know that lnvesting in crypto currency and stocks could change my life for good, as i saw coments about Ms Loudens here on a video, I decided to give it a try of $1,000, and after a week I got a Proflt of $8,599 as a beginner, isn’t that fair enough??",3 months ago,Trisha White,UC2d0f34D4PEGc2STJgW4qgA,25,https://yt3.ggpht.com/ytc/AKedOLR0k5WJILEWo8RCJYcM2TiR6Z2V2MzPy7ipHX--=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcYGyx97JAg-2ab4x4AaABAg,"Hi Akshat,
Can we use ""Punter Investing"" technique for swing trading in crypto ?",3 months ago,thats vy,UCUYeV6guvL4Dlwof8Ct50QA,0,https://yt3.ggpht.com/ytc/AKedOLRBlDX8kNjQDOpqWJAgK-RA_kJJznzK_i8FAg=s176-c-k-c0x00ffffff-no-rj,0.0
