cid,text,time,author,channel,votes,photo,heart
Ugwvt5i5f_vu1Pl_Hvl4AaABAg,"My financial tools:
►Check out my curated list of audiobooks on KukuFM!
Use the Coupon code - AKSHAT50 for 50% off
( Coupon valid for first 250 users)
https://kukufm.sng.link/Apksi/0oz0/lzdt
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat
►Check out my smallcases (through MOBILE APP only):
- Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
- Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
- Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib
►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100
►Talk to an insurance expert today and get a health/term insurance. Check out Ditto: https://bit.ly/35OBfCm",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,2,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtB4jLeWqEfPCxyI54AaABAg,Stupidest advise to invest in FD.,1 month ago,Dummy Account,UCAQLeR3HFvngXoOMr5WYRbw,0,https://yt3.ggpht.com/ytc/AKedOLS_zqnvV09ee9qvCAcbmR9IDpD2kFVCTslwOQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzzlx2lorJn78w4CLp4AaABAg,Hahhh... FD ... Are you out of your mind. 7-8 % return.,1 month ago,R@vi,UCIyoXeuOyhY5r4z5SZFwCaQ,0,https://yt3.ggpht.com/H86O3Fw4t85p3La-ZGrV0snvMp9LxqO9IQcDJrPqriRuKWu802wNa110LKPhMCa6bls99TQA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyG9fNMkHKspgrhAZR4AaABAg,Any suggestions on which FD's to go for though?,1 month ago,ZorianDelaCosta,UC_x7ljr_CLx02BQ5ENaLsYQ,1,https://yt3.ggpht.com/ytc/AKedOLQvziHBhdjI7zPvquHPh2Riwsb680FHUByBfA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPza-pvrONzl5lnXp4AaABAg,Invest in fixed deposits and keep compounding. ...the returns will rise and rise,1 month ago,Allahuakbar Quran,UCyFluaz7tg_Gu0MdliAKA4w,1,https://yt3.ggpht.com/ytc/AKedOLTn6wAFiWwlxLFK0Cj3SbXkE2j1rltC9anuJ_ELuZidiMAkwTR9kuDI1CL5UxR-=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlrUlFAygxjiuXjeZ4AaABAg,Ankur warikoo wants to know your location.,1 month ago,aditya avatapalli,UCVIlanydkovDaxOSsMQ1wjQ,0,https://yt3.ggpht.com/ytc/AKedOLQBAMZ352qeDWPI_6gGhBka93_gBYDxse9bEg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR-d9UDcJW2rKRw5R4AaABAg,"I got $18,810 profit in a single long term trade cycle, I'm so glad my journey to financial-freedom is becoming a reality..",1 month ago,James Norman,UC8frnK6WnGBhuXP3SIyO0Ow,22,https://yt3.ggpht.com/H0Rh-bbkI3HqVyRDE5QsoQwbpxvkxoW5nt8iQjr0CZmjrmDIYovyv9tCI7fEl2NqIEhv17wGzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMLmvDLW7R6i-pVQ14AaABAg,"MY FINANCIAL GOAL IS TO BE MAKING AT LEAST UP TO $500,000 EVERY YEAR BY INVESTING HEAVILY BOTH IN CRYPTO AND STOCK. I NEED GUIDIANCE. please comment below",1 month ago,Terry Wilson,UC_E7wkjZlwVEVrbVq-5Tymw,3,https://yt3.ggpht.com/jGU2i2Yi-dZFtajNZx4eVsXDCnEzGUCCJtSLBmM5rs4gStdWgCmAkIjhQwe_S3u_zahfWsBtTQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwK6MSjuIiolptG8uR4AaABAg,Warikoo Army Attack 😂,1 month ago,anujeet stocks,UCTpWVpl7o7szAF9WMdcmlEQ,0,https://yt3.ggpht.com/ytc/AKedOLTuKd6i-xsyYJ9aj_hsHVCmMJik9bOYmnTB_qoXTRjoZhb6UQf_QrYSllltZbWo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNa3DtMTd4ZYtMu554AaABAg,The wisest thing that should be on every wise individual's list is to invest in different stream of income and don't depend on the Government to bring in money especially now that the world is experiencing financial crises,1 month ago,kamila Hudson,UCEOiLJ5EZJdfBfg84cAhMzQ,56,https://yt3.ggpht.com/ytc/AKedOLTlPqD1D0iEq_cNmHYP0BJGP5f_4OkQ_3oIW_U8=s176-c-k-c0x00ffffff-no-rj,0.0
