cid,text,time,author,channel,votes,photo,heart
Ugw9hozC4dXNhymUU4x4AaABAg,"My financial tools:

►Check out my curated list of audiobooks on KukuFM!
Use the Coupon code - AKSHAT50 for 50% off
( Coupon valid for first 250 users)
https://kukufm.sng.link/Apksi/0oz0/lzdt
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat
►Check out my smallcases (through MOBILE APP only):
- Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100
►Talk to an insurance expert today and get a health/term insurance. Check out Ditto: https://bit.ly/35OBfCm",1 month ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,1,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgycgZBfvtGtj0N7ea54AaABAg,After srilanka India is next,8 days ago,Jonnus Jones,UCE3C1t4WvfZy-Lzg0lOGt4w,0,https://yt3.ggpht.com/ytc/AKedOLRgA8duQ7N5bA5sK-Gx3HuDZzSOm1dKFVca7qFa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8XvZI4p-k9D7IEOJ4AaABAg,"Unacademy just laid of 1000 employees. Unfortunately, more might follow. I hope I get proven wrong.",9 days ago,A Poem A Day With KK,UCyA46NIa4Ms8PX6cpj0POsw,0,https://yt3.ggpht.com/1B0Jw7nEsLb82PBeU50AVexGc_r6mXv5AmryR_B7wZiCDV-FgdaW1exnGg4itZHS1czYV93NWng=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpJMv6wDGogWZfLvJ4AaABAg,Without having own liquidity no business can flourish,2 weeks ago,gtrheswtrjtyj,UC9UsCqYrmBHdrbyjoc0Nw-g,0,https://yt3.ggpht.com/ytc/AKedOLQ32eqdZdi49lb92AHq2YNV-vkW6EYC36dp_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzPgvSmg5OT_cWlY94AaABAg,"It is due to feds tightening and winding down asset purchase program and subsequently reducing its balance sheet.
See the 5-10 treasury differential and the following convexity of the curve.
This creates better spreads in US bond markets which makes most of global investors pulling the plug on emerging markets high risk junk bonds.
Curve is flattening and another 2 more rate hike and the bond market will collapse
Who in his right mind will hold such emerging market debt instruments.
I thought you would talk about all this",2 weeks ago (edited),A K,UCq5r0nsrwDTZsgKc95PG-qw,0,https://yt3.ggpht.com/ytc/AKedOLQHV1JZz3HgWVYLLY1wkTcKTG8V-pItq23duA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyj5C837aZFQHSdF1B4AaABAg,Is it true only about Startups?,1 month ago,Samarth Dandawate,UCue8FCWkIyvlJ5d8b1e-pXA,0,https://yt3.ggpht.com/ytc/AKedOLQf8OyHiPiFh6arXj5-_ZHobqBPSdASdaAOwg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1gOflqE83fNHqD4F4AaABAg,It totally depends on what type of business the company is doing,1 month ago,Mohd Tanveer,UCtl0BJJMDMyHmyAXKKM0tFA,0,https://yt3.ggpht.com/ytc/AKedOLTTJzMmJSPGX6IkHQTW0VXvlQLmvkcCMAcaNGJN-Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVNymgLDMXt16OypF4AaABAg,They hire software engineers for 20- 40 LPA CTC for doing bare minimum job what do you expect.,1 month ago,Naveen V,UCosiIvmYpCrihbWXox8iEzw,3,https://yt3.ggpht.com/ytc/AKedOLRt0oEyf5RYuAZZlNM7zvqt4ANGW9GAgOe-8JvFqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqlBg4wVbMq-j60GZ4AaABAg,There is nothing to think.. just wait & watch & accordingly :),1 month ago,raV,UCG7ZvKy7yCyGAtRQeV1EQRQ,0,https://yt3.ggpht.com/ytc/AKedOLSbL0WUoitsyqL3Qr3XueoliqDasxfYVJeHdNNoyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDUo_H5w_RUQs3Pf14AaABAg,Just robbing customers database to sell to enemies,1 month ago,BUSINESS SWOT,UCTsQTTdYDH3uSdNuLlqOg2Q,0,https://yt3.ggpht.com/fs2vrDkPA_dTH1lrCjfLFg7KBkNNWT10rn0czbFFQk5R2EctvC5DkIcuOWnGUPVAkxgO5K21=s176-c-k-c0x00ffffff-no-rj,0.0
