cid,text,time,author,channel,votes,photo,heart
UgwOJ3ftLH_5b3fGKbh4AaABAg,"►For filing taxes, you can check out TaxBuddy and avail 35% discount for all ITR filings:
https://filemyreturns.taxbuddy.com/akshat
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock Market and Cryptos on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,35,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSdFbnnmF6FVEGxYF4AaABAg,"All your vedios are wonderful.Only problem is the date is missing which is highly relevant from my point of view. You are requested ,sir to get the date exhibited , This is arequest from avery senior citigen of 80 +",2 months ago,Narasimha Rao Uppala,UCALr27CelXdXKf7jSjTl7lg,1,https://yt3.ggpht.com/ytc/AKedOLRHLAq9huQXVG6jqIhnk_QJG6rM7uFGUKKsvQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgylXoE3E2fz0ZjT4cl4AaABAg,Polycab share analysis pls🙏,2 months ago,Sumit Mahendirata,UCtnJ6vvIDmPz24o_bhkzHgg,1,https://yt3.ggpht.com/ytc/AKedOLRA0zdjHMChCgTtIHBvBt1Okwnt-53KEn4x3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTNp6EiBU0YyLkzbx4AaABAg,Thanks for the videos! Can you please share where do you check the market share of a company to see if its a monopoly or not in a certain sector?,2 months ago,Yashwin Agrawal,UCvRshkmPNw553YLUIEoUJJQ,1,https://yt3.ggpht.com/ytc/AKedOLSHKqac9dewKbVUmiMkedV9IBHPo72ZPiHPzw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqMlPucgkh1Gl-IhJ4AaABAg,"Hey what you suggest about 
AGS Transact Technologies IPO
?
Kindly reply....",3 months ago,BANSAL,UC52EvZfznCBi0vJ5ndHGxkw,2,https://yt3.ggpht.com/ytc/AKedOLTFwegOf9E7RBIm55PiQQkf_Lle5mQra8zCV15DEA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyRW_Kgd8WYsdOgc14AaABAg,Hi Akshat- Great video. Would be great if you could do a detailed analysis of the competitors,3 months ago,Rahul Shah,UCkjGz6P7FWd7uIdeG8TmDhA,1,https://yt3.ggpht.com/ytc/AKedOLSYSBVi6qlY4hnIzlDvk6hD71DSqujABAYqIA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxn79LuW_Nv9SEKmOV4AaABAg,Where do you check the profit and loss details of any company?,3 months ago,Animesh Nanda,UCIHzIGjAsP_j1n_1p-465cQ,1,https://yt3.ggpht.com/ytc/AKedOLQsz4oaeJwgoV5HDcG4Jv6Xsf5X1WI3y5uVkcWunhE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNQZy976tv13-AWHh4AaABAg,"V good. Comments which conveys listener 100% great going. Sir,",4 months ago,Raosaheb Patil,UCHs5_mSjm1c0xc4ryTvaNiQ,1,https://yt3.ggpht.com/ytc/AKedOLQbHHLxhbzx0u2I3n5VyBPPuM3UO2KZ7Y-psg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyH1INY2Z3l9hHUo4p4AaABAg,Ones in six month,4 months ago,Subhasis Bagchi,UCEW1ZbojHyl56Yigg0m8T_g,1,https://yt3.ggpht.com/ytc/AKedOLRnmVgUoP26Fiboq_McwPaJyGWRN6Bc782YbdHsm0aExbdrFH6PnkzsNuiWHCft=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWhjZo4GcqkkTZDCh4AaABAg,"Which tool is that which you are using to show financials, charts etc ? Please let know",4 months ago,Harikiran,UCHDqEwYW5JP5Q3QA9qy_QkQ,2,https://yt3.ggpht.com/ytc/AKedOLQo4sh_SeYqVklc5zn8PT1Om1Sy7_2YLVlCy62CWQ=s176-c-k-c0x00ffffff-no-rj,0.0
