cid,text,time,author,channel,votes,photo,heart
UgyMxct6VxYgyNxmjl54AaABAg,"►DSP Nifty Midcap 150 Quality 50 ETF: https://dspim.co/MQ50as
►Nifty Midcap 150 Quality 50 Index past performance (slides 14,15,16): https://dspim.co/MQ50pres
►DSP Mid Cap Fund: https://dspim.co/MCas
►SID of DSP Nifty Midcap 150 Quality 50 ETF: https://dspim.co/MQ50etfSID
►Download the DSP Mutual Fund App: https://dspim.co/DSPappMQ50
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock Market investing on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,21,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwK1LxLrjJnni3TYyt4AaABAg,Make video on au small finance,2 months ago,retard,UCKry6CE6uztowoGuDuARCkw,1,https://yt3.ggpht.com/ytc/AKedOLQXo6Dhyh-qbWXjUcxmEc_9WmzUP05t7ykkNMSuxPGCEI-D8N9M2o4LMb5ZfiqD=s176-c-k-c0x00ffffff-no-rj,0.0
UgydgRrM6V-cFrf0P454AaABAg,"Please make a seperate video on AU small finance bank and ujjivan small finance bank.
Would love to hear your thoughts on Edelweiss. Can you please make a seperate video",2 months ago,Shree Balaji Sampath,UCANcnSiP7ZXkRz1o_L3sHmw,1,https://yt3.ggpht.com/ytc/AKedOLTxMBsaYNf_w_yOIfyu_30t3IsVpcmuTgfa7HQktQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiRbHWUHk23WMXgnt4AaABAg,May take a session on small finance banks and nbfcs also... The pros & cons of it...! Thanks a lot for wonderful analyses & insights....!,3 months ago,umashankar t,UCm29-1e1dmbiNb8qV2ADdtw,0,https://yt3.ggpht.com/ytc/AKedOLTQV3PsrAI8tSLjzkVzs9wwl18n8ejUNb-GTg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVH06iyY0FIQesM7d4AaABAg,what tool are you using when displaying the charts?,3 months ago,piyush kothari,UC2udjBXXn1PNbQQoqbHSwbw,1,https://yt3.ggpht.com/ytc/AKedOLTpm1a0rIHnQitjsI7jUovlc4UXygB-JsH6pHLs=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAFA2DSF7331A_bAl4AaABAg,Pls do follow-up videos also when to average more and when to exit.,3 months ago,Vishnuraj,UCh8L40gR_XCysNpvTnuHlFg,0,https://yt3.ggpht.com/ytc/AKedOLTlYkp3Vl-7U398GMWrgJ-G5mxok1DqmSKYIw1djw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2hR4GqEV7GsIQm0d4AaABAg,Pls reveal whether it's a paid video.,3 months ago,Vishnuraj,UCh8L40gR_XCysNpvTnuHlFg,0,https://yt3.ggpht.com/ytc/AKedOLTlYkp3Vl-7U398GMWrgJ-G5mxok1DqmSKYIw1djw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEu5Uxj3BtpIRjst14AaABAg,"Hi Akshat, background is tilted, could you please fix this in upcoming vdos 😸",4 months ago,Megha Bhardwaj,UC4es9Ewi5_Nq_Gk0man5qgQ,0,https://yt3.ggpht.com/ytc/AKedOLQwaSDrNa26Rvbic5NfR5Px9oBvg04oIFfIu8gCeUc=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXR2xcU5UwFoS8JPB4AaABAg,"Anyone who is not investing now is missing a tremendous opportunity, Imagine investing $1,000 and receiving $9,300 daily profits. Ms Lucy White is the best.",4 months ago (edited),Trisha White,UC2d0f34D4PEGc2STJgW4qgA,46,https://yt3.ggpht.com/ytc/AKedOLR0k5WJILEWo8RCJYcM2TiR6Z2V2MzPy7ipHX--=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuSvxJcqEBASwGxSZ4AaABAg,"Buy goods across all section of an economy and you should do well over the long term. The market wilL be high in 10 to 20 years, and significantly higher in 30. It's almost impossible for a company with no debt to go bankrupt. the U.S. is about 50% of the global Market place, Pay yourself first. It's time in the market, not timing the market. Last year I invested 100 grand in the S&P 500/ an allocation fund (with the help of my Financial Advisor Evelyn Monping of course) and made 370k, but guess what? I put it back and traded with her again and now I’m rounding up close to a million.",4 months ago,Paul Jack Vasilyev,UCdg3l1IXsHr-o32-q4uZwsA,0,https://yt3.ggpht.com/ytc/AKedOLQSGa1nmhDYxpoyafBudby3jMjhlPXUNudQ3z-I=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHDBjMG1jJ8kGsY0p4AaABAg,Sir. Parag parikh flexi cap or pgim india flexi cap.. Which is best to invest.. Please guide,4 months ago,Sujay Shinde,UCTLrww13c36h1ciyho5NgQA,0,https://yt3.ggpht.com/ytc/AKedOLQ1fpeuH5pF4-8jVhMToo6ggVI-BP0QqvIl204B=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_u4zioDK0gxD_X-14AaABAg,What site is he using to show that pie chart,4 months ago,G R,UCZOhW9kLaagWvpiwgXwm7JQ,0,https://yt3.ggpht.com/ytc/AKedOLTRyKnDBpMBdxX4RHh3izVG72-S37m5RerY5QPS1kQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSbvUl6nrH32Cy5-p4AaABAg,4:33 How many days are considered in this chart like 6 months a year or Max?,4 months ago,Jasmeer Kumar,UC27EsxjyTHiJ1LvDjJwyosQ,0,https://yt3.ggpht.com/ytc/AKedOLSPJIntM82O-Kv8d7H-gUB_it9NpQWaBcEFxkWBHA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_AqVXZgFlZqkeN0N4AaABAg,"Hi Akshat , please let me know , which is the site you are using to demonstrate graphs ? When it comes to support n resistance what duration you use ?",4 months ago,Nitya88 Dipankar,UCwM1FmNVlFz2mOupEV1KZAQ,0,https://yt3.ggpht.com/ytc/AKedOLRMFkdHuqfyN4KhHtijPbgZ1rxDuhrphucznQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbwGwrostz6EvzKqZ4AaABAg,Hello Akshat - isn't AU a risky stock itself? It's Beta is 1.4,4 months ago,Aditya Nagesh,UCMtx_pE_W_oplMWA77rLN9A,0,https://yt3.ggpht.com/ytc/AKedOLTFl8yc9Xd72K2JSgoOw79bP9SJPZwyyM5j2cHJccE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzU406yU1VODYUrNK14AaABAg,Hi Akshat pleae make a video on tata consumer products,4 months ago,dharmraj sharma,UCPPv4pNzm_PkAsdLshfXklQ,0,https://yt3.ggpht.com/ytc/AKedOLQoIaZ8pw6jaq0V4tsKuy9oP7wA61ac_67hJXq3fQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlI5Edfmdlp3SJXpJ4AaABAg,Nifty tq,4 months ago,Suresh G,UCXs4-IgUOGMCrr7003uAf1g,0,https://yt3.ggpht.com/UFRsHQe-znjEme12p-80UZTRLPMsAXRo1FV5jZaDpoT1SAA-7ejFdPD1JnfWLIJVfsyKo-LWnyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwabk9yxZq5rjB2is14AaABAg,which is this site that show 10 years balance sheet and cagr etc,4 months ago,Vishal Nahar,UCNjaQTPxXcp83OpdtZKqQ0Q,0,https://yt3.ggpht.com/ytc/AKedOLSTEjwwaQ_cffKu9BdSG-citoVHt-MjTv2EtHikaw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxa1P0UOby4Payfn-R4AaABAg,Hey Akshat did you say DSP nifty mid cap 150 quality etf was worth considering,4 months ago,Suresh Selvan,UCViwHeR_ijsPfg1zRbyIkkw,0,https://yt3.ggpht.com/ytc/AKedOLS0GcA6ra9JGzpn7vjGPmEfJl3JaQ9t-vj6Bw=s176-c-k-c0x00ffffff-no-rj,0.0
