cid,text,time,author,channel,votes,photo,heart
UgyAnDdv9QnT_iG9SyZ4AaABAg,"►My LIVE courses:
https://wisdomhatch.com/",3 weeks ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,5,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyubaYXK70zr1o-mfF4AaABAg,"Agreed akshat, My brain tells me multiple ways to invest but following points aren't considered.
1) responsibilities 
2) will to make changes in lifestyle
3) internal conflicts with guilt and ego to take the bus instead of Uber/auto ( just for example )",7 days ago,yash sharma,UCEncg5C_qP8Q9tlMUcXWCzQ,0,https://yt3.ggpht.com/ytc/AKedOLT_1qbmkLn_cTEQUeVe5MSJLvf2PdY29IN03d1JoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwePprO8AePW8G8QR4AaABAg,"This is the reason, we should try to be in the company of people who are on same path as us or who are already successful on this path. Their success and progress gives us the insights of their hard work, commitment, priorities, decision making process and thereby giving the confidence.
This slowly percolated into households where sons used to take up the profession of father and went to an extent of untouchability. But when a foreign person, esp a caucasian, gives it a glorified name, we listen to it wagging our tongues",8 days ago,Kiran Vootori,UCGoQO9E3LQ5OOj1zlP_1bAQ,0,https://yt3.ggpht.com/ytc/AKedOLRfoiLjk0GHTE0Ywo8yyqzbd-wBsnCM48Eb2MDoBjPLtFA8ICgBavLEsWjAckzY=s176-c-k-c0x00ffffff-no-rj,0.0
UgyafMXwCmax19j578l4AaABAg,"Sir,
Please improve your audio quality..",8 days ago,Arumugam Appu,UCz__klBqK-wklIlIStrj63Q,0,https://yt3.ggpht.com/ytc/AKedOLTgBs8gfWzXHDIb_cNPowwddgem0zQ87AO_u-3iJg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7HDFLOCXU31b1-Kl4AaABAg,"So you are moving from finance to mysticism. Good, there is much more money to be made there and the competition is much less credible.",2 weeks ago,Ramanuj Lal,UCKziFwcHRuZd15ZxJFRuWTw,2,https://yt3.ggpht.com/ytc/AKedOLQy2BvDNa4AY4u5EA7KYUj43DuJ8-avN1ANMme6Aw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZG17mjYqTWhkcVo94AaABAg,"Buddhist Murti behind you, so you are sorted.",2 weeks ago,NITIN GAWALI,UCAX_MUm58kRacUtxYaeqruA,1,https://yt3.ggpht.com/ytc/AKedOLRnbaI4RaA21O6lyTbW2aoxinAeEAaJ6BX6Lg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzE48vcE7botc9NQxZ4AaABAg,Believe it!❤️,2 weeks ago,MUMBAI ka CHALLENGE,UCVlvbVTtmdGLZfaffB4GgGw,1,https://yt3.ggpht.com/ytc/AKedOLQRd2vX3okQrwTNI7ztpA9bwK0389i0fSDpwA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyd0m9SdnyfkQl5yoV4AaABAg,🙏,2 weeks ago,Ac P,UCt8TV9TpzvpqlF912lINi0g,1,https://yt3.ggpht.com/22FL_FSfNBJVWl6Nssc9f48TW46JWfi4TMijq44I2vorA0EJfFMIMfo2ZS3KbsvaT6dHUhERNg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLMI6LcoZYuM_7APd4AaABAg,Thanks man,2 weeks ago,pulkit pandey,UCEJbcV6a72wyo1TEjgnerjA,0,https://yt3.ggpht.com/jcbTWAAUnzRwhNr-175VaHS3EvXqgQq1TH397hmQslhNRCawGNqV4AN1BBeeK530T4zbQbpPqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMubByjX4vWExihPx4AaABAg,cool... Alchemist ways,2 weeks ago,abhimanue vs,UCplsknUkAVF6K8O98YMvO0g,1,https://yt3.ggpht.com/ytc/AKedOLS1zy0vKdlnTrCET0cAvwfF3GlUjt8zsoxN_Izjug=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEVGp5wCoqEW4waqh4AaABAg,Eye Opening,2 weeks ago,mohamed mansoor ali,UCMljGv79LxXHl9gJFb74iOA,0,https://yt3.ggpht.com/ytc/AKedOLTGKGCXgPqyQymOdZc_aSrLOZ3qM5CbAMNkdA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugys4Ys4gFu_Yo7Qdbp4AaABAg,Can you give me the name of this theory i have searched this all over the web couldn't find any compass theory,2 weeks ago,francis christin,UCsNewl8Kcekw1F-X7T8VJoQ,1,https://yt3.ggpht.com/ytc/AKedOLS5nd_eiVxTx3xSxxJSdbeQBVHTRroynUcVP6G0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhkxhCDwT76alqIKF4AaABAg,compass bolo ya JackSparrow theory bolo,2 weeks ago,Sameer Tawde,UCxoEy8PwQxHUXeubzazvaMg,1,https://yt3.ggpht.com/ytc/AKedOLSeBAAwOsImpcqnVeglgCEAn2Y7hcwYVtZTDLBuV2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvxjZb3yyVP3fNJIF4AaABAg,The power of subconscious mind ❤️,2 weeks ago,Ankit Kar,UCPT2W-uvBWqlS940TrqLPfg,0,https://yt3.ggpht.com/ytc/AKedOLRMq4NjP1ic7FfX1ei87Tkr7eCkIoCzmzTyneGyiw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNyzU5eN0KDekORNN4AaABAg,Give me the best advice if we have 1cr and can live after that 5-10yrs without investment and growing my initial 1cr with atleast 15%,3 weeks ago,Jayendra patel,UC7t3ottUMiLNV480XnMZ46g,0,https://yt3.ggpht.com/ytc/AKedOLSSUxmykBCNnDYT2ys883e0b0kIAdU3NhDOFpRqAts=s176-c-k-c0x00ffffff-no-rj,0.0
UgyP2hv84sApSab2dlF4AaABAg,Sr i have 😂 1.7cr,3 weeks ago,sumit ahlawat,UCEwbpL9t6EjV0Yj8oDy5YUg,1,https://yt3.ggpht.com/ytc/AKedOLQo9KK3m6xaq4ahl8sdJg91xbxqUhQJ71V-uuB6QQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZ4hAWiYfj3Z7fSkV4AaABAg,DUDE REALLY? I CAN ONLY SAY THAT WHEN I AM EXPERIENCED WITH THAT BROTHER! 😂,3 weeks ago (edited),Prasanthraj,UCo9_o9Rqkn3prsgDCCVCoBQ,0,https://yt3.ggpht.com/wFRwyTd8FriiD4rbk1mdil79a3QcmJHNOaERvkZCXoXI8jjqB4Ot1RUmZLF_17PROWeUz96iGQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWUYKOMc15c9lcCIx4AaABAg,That's quite true Akshat. Making first CR with limited capital is a big challenge.,3 weeks ago,Mohammad Aakil,UCi7tQ4zG9ZaqYzqoEojVfxQ,0,https://yt3.ggpht.com/ytc/AKedOLTA3WfjSdEkE69Go-uZdubN0372hslgslx4kNv-0Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXctxUkalgyA3UTm14AaABAg,actually the first 2cr is difficult. everything is easier once you have one to invest in business and one as backup.,3 weeks ago,Prad Bourne,UCQIs4HQZkLbwH8BAAu1rJ1g,1,https://yt3.ggpht.com/ytc/AKedOLTTtX6Tbc3-m2hLBaK48avj4ihW01sRbhaDKLIJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOu1cpwCyfJ3RfJH54AaABAg,beautiful thought,3 weeks ago,Narendra Mane,UCzmFHXlyt_j_48wamcJQBhw,0,https://yt3.ggpht.com/ytc/AKedOLTkYA4sGg0VuEB0FerkY34rIKrGgFCKdqvKZ8a4=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAnDdv9QnT_iG9SyZ4AaABAg.9ZxgX5azMl-9Zy5qfty23M,This is very true.. I have experienced it.,3 weeks ago,karthik kalle,UC8588gZb9qFRDk9v87dR5Zw,0,https://yt3.ggpht.com/ytc/AKedOLTWO8xNFkmc5UkonqrOH_lLpf2vFSyGhfw7l3t7ww=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAnDdv9QnT_iG9SyZ4AaABAg.9ZxgX5azMl-9_0R27-oY1d,"☝️☝️Thank you for your comment.
Be sure to contact me with the details above for more information and consultation on investment……………",3 weeks ago,Akshat.S ±①②⑥⑦⑥④⑦⑦⓪③②,UCuUHG83SEdtjE3EM7Q9RxXQ,0,https://yt3.ggpht.com/K_rCcYYvtgDE97vj5yCcn9KXZ9g0iYfWGIwS5N1eMQ1LJMg5fC63UYtW70ekrMn5ZuPD3LFZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAnDdv9QnT_iG9SyZ4AaABAg.9ZxgX5azMl-9_a4exep-l9,Have you made your First one Crore with Your Compass Theory 😂,8 days ago,Mr.Enthusiastic,UC1tsW6k-AmMrO9vlXLF59AA,0,https://yt3.ggpht.com/M3VU6GAWIrolT134bJMugCZ8QufxDFJBs8-2XxmCU5rOjTYs_h9siiKFx2wUmnXT2drfV0Ae=s176-c-k-c0x00ffffff-no-rj,0.0
UgyubaYXK70zr1o-mfF4AaABAg.9_b_pl1cAmd9_m7GGx9N50,"🔝🔝Feedback appreciated 
I have a plan",3 days ago,@Akshat十①⑥⑥⑨③⑧⑥⑥⑤⑤①,UCixJvDFhMN-O2byX9upqWig,0,https://yt3.ggpht.com/xB2VFBPw1HzLGvRlcrG--NEWALmml1wPLApX5eFzIqn4aJ_4cUIv0P1OY3sDnTuVwS1F05MPFg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyubaYXK70zr1o-mfF4AaABAg.9_b_pl1cAmd9_m7IRDXMk-,"🔝🔝Feedback appreciated 
I have a plan",3 days ago,@Akshat十①⑥⑥⑨③⑧⑥⑥⑤⑤①,UCixJvDFhMN-O2byX9upqWig,0,https://yt3.ggpht.com/xB2VFBPw1HzLGvRlcrG--NEWALmml1wPLApX5eFzIqn4aJ_4cUIv0P1OY3sDnTuVwS1F05MPFg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7HDFLOCXU31b1-Kl4AaABAg.9_K3rpdtoQa9_W7x_aVP8_,"Thanks for your support on my channel❤
I have something new what'sap helpline is shown above👆",9 days ago,Whatsap+①⑦②④③①⑤⑤⑤⓪⑦📩,UCoXac_jASoTVwmmzR3pYsEA,0,https://yt3.ggpht.com/uz11b1QmczGqSlUUkysHpV8j1IAgdLKC0m5HV4p2C5eDF-ymjmC5dWz_11K7YX0YavxNf-4n=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZG17mjYqTWhkcVo94AaABAg.9_J146pUanQ9_W80ee9sjd,"Thanks for your support on my channel❤
I have something new helpline is shown above👆",9 days ago,Whatsap+①⑦②④③①⑤⑤⑤⓪⑦📩,UCoXac_jASoTVwmmzR3pYsEA,0,https://yt3.ggpht.com/uz11b1QmczGqSlUUkysHpV8j1IAgdLKC0m5HV4p2C5eDF-ymjmC5dWz_11K7YX0YavxNf-4n=s176-c-k-c0x00ffffff-no-rj,0.0
