cid,text,time,author,channel,votes,photo,heart
UgzVJA7CEVjD6HcNZeV4AaABAg,"►For personalized classes on Stock Market, check out: https://wisdomhatch.com/
____________________________________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,23,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6pJ_iczXJBgPLaqV4AaABAg,xD This video sounds to funny now xD,1 month ago,Shrenik Shah,UC9gO6hhCzkbRp--YClzUhJA,1,https://yt3.ggpht.com/ytc/AKedOLS66UbmmH_WwxtWdKe4iwyqpaC1gl7ohugtPT-Dmg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRYmnL2LZw_7RoL6Z4AaABAg,Hello Mrs Maria the bitcoin trader is legit and her method of works like magic I keep on earning every single week with her new strategy.,2 months ago,Jackson Jack,UCHs67TZ_N_sHWlWmK4Urgow,47,https://yt3.ggpht.com/ytc/AKedOLQqRlFf5_ZWRrqvbVKm3OUs2Jw1aUcVzPZfjnuo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeGZMyc40bgGENJR54AaABAg,This was helpful. I have one question. Maximum of nifty 50  and nifty major midcap stocks have PE around 40+ to 100 as well. Does that also indicate that there would be great amount of selling,2 months ago,Nikkhil Covers!,UC87gs-ZwE_wJiyvk47kZKUw,1,https://yt3.ggpht.com/ytc/AKedOLRcukefau65bZEe488oW7fK88GMKc5ddWHmSTPY0Ik=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbaDf41r-qjEabbY94AaABAg,Must read Mahesh chander Kaushik sir books,2 months ago,satish Gupta,UCYd3DMR7sS0Xb1okaUFUhhQ,1,https://yt3.ggpht.com/ytc/AKedOLT10dMvkTicZbg6YI4vOllgR7jKZ1UEoq4j8MwEjQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyvk3qLfQ590gdgUdF4AaABAg,Market will crash very soon,2 months ago,madhusmita,UCp-0PQ30emrfNxmBkKat2wA,1,https://yt3.ggpht.com/mladCbbyhFbkjiwHQCg-5sMirNp4sxXrxfhC62ct-k662dfalAlvfaPSM19wp6Edlv9WRKtW=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnJhor9IjfCONcGth4AaABAg,Awesome,2 months ago,Divya Alok,UCd7um5BJATQBvTfNAPGvRhQ,0,https://yt3.ggpht.com/ytc/AKedOLSdPQCvWlpTyjAMBiFtwKUpzIurV9ddwd6u4MNVPg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhO5xxxealabTe4Ox4AaABAg,https://youtu.be/g0nCQoSuPGY,2 months ago,Jintumani sarmah,UCpnUIZP6Gqlgp-VPn1dqm1w,1,https://yt3.ggpht.com/ytc/AKedOLT72hjdtBQGxhR6vt1gpD-J87CMRnklJ-xn-6_iP-8=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXfxhos2WvOTIA_Dt4AaABAg,"Hi Akshat.. what are your views on this .....
https://youtu.be/JlEGU2ypr1Q
Also I think we should factor in the Russia - Ukraine standoff...
I think there's going to be lot of blood in market as well as on borders.",2 months ago,Girish Alwani,UCcXqrF7ZtAKzkMmiug5K_Kw,0,https://yt3.ggpht.com/ytc/AKedOLSxyeo8WbnSjlWqLvtvpFQOYn-YWXY-VgHNLA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwp-SxWahtwVOcEiwp4AaABAg,"My view on the market fall:
1. FED taper is clearly a factor and impacts the liquidity in the market. Both FIIs and HNI/ DIIs who have low cost easy access to funds since Mar 2020 will reallocate funds. FED taper will be a major driver and when market corrects, the hot money of retail investors who jumped on the equity bandwagon in last 2 years will also get jittery. 
2. Concerns over Russia Ukraine, China Taiwan as geopolitical risks, and also the fallout on oil markets. The sharp rise in oil already points to a weaker fiscal deficit scenario for India. 
I would look at Nifty at 16500 and 14500 levels and buy quality at both these levels.",2 months ago,Kaushik Rajan,UC4FS_vcDu7GVyBWa7fhyZYA,0,https://yt3.ggpht.com/ytc/AKedOLSPwvseFU9COK85iv3oy8o3c_e06IYWBCIGCEPosQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXPVqtCGGzmxhBU-h4AaABAg,"Hi akshat , can u please make a video on astra zeneca ??",2 months ago,Kapil Duggar,UCkqm3YQPa16gY4D2bp1fYUA,0,https://yt3.ggpht.com/ytc/AKedOLSrAJ_DFu9n892sLikIxkH82FOaZg1hj6vQXoh19lM=s176-c-k-c0x00ffffff-no-rj,0.0
UgznFau0jLHC7F8ap6N4AaABAg,Investment will save you from 9-5,2 months ago,Cooper Smith,UCI-UdH76T4-71C9xJKHyVvA,59,https://yt3.ggpht.com/ytc/AKedOLRjIDLqlZYyFA1YZpSLnUDHOhqhJ8lMzn5Iky21=s176-c-k-c0x00ffffff-no-rj,0.0
