cid,text,time,author,channel,votes,photo,heart
UgwzK1yCy3QhukcPqZB4AaABAg,"►Ace your fundamental analysis with Tickertape!:
https://ttape.in/tQ8PHO7jQgb
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►For personalized classes on stock markets, please check: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,20,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEpgGng0bnnuKF5rF4AaABAg,"I never thought BTC trading would be this profitable, although top losses can be taken even with top notch strategies.",2 months ago,Mason Michael,UCT-UiyMtVLG0TXRciEizCHA,40,https://yt3.ggpht.com/ytc/AKedOLTScKW6a77ilIERX70WP7WoNzPi66yb-0QjJVUM=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfdmTmHZFmP5N71wJ4AaABAg,I will like to see more videos of market series,2 months ago,aakash agarwal,UC4xwMR-nhepuUrjzo2IA-zA,3,https://yt3.ggpht.com/ytc/AKedOLS3SIVTJu5TDnYzRJgS6kfANkRabbHlAF5xqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOT-yVz0Y7m1jCOGJ4AaABAg,Nice information keep it up Akshath,2 months ago,Arun Ramesh,UCoyBF1GJE9LVhBor2GlazVA,3,https://yt3.ggpht.com/ytc/AKedOLSTkJ44bfsnZh9RkQhNnQG2FkJWTX4RW2x6ffydpA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1zBVtMM1NzQ2TvBZ4AaABAg,Thank you so much Akshat! I love to watch these kind of videos! I hope to learn all the  Macro Economics indicators that affect Global Stock Market! Maybe if you have a course on that as well :) :),2 months ago,Shishir Kumar,UCVsN0zviv6YSXzgwGsHaO2Q,1,https://yt3.ggpht.com/ytc/AKedOLQeYSjxHSDO6TCYi3GVNxTd8mgPbCWjZw9brXayRwk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfhBhmh1d1UG_O2b54AaABAg,"Thank you for JP power recommendation. Made 80% return on it.

Next one going to be AU small finance Bank. And this iam not going to sell till 2025.",3 months ago,varun khanor,UCDgwvw-WtwhU2jjdrwwVuBA,3,https://yt3.ggpht.com/ytc/AKedOLTwELBrsyPP-jlLBeH4gVhiLV4openU5_B4D8Tdrg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxH_2wUhBHjvQTW_1h4AaABAg,#MarketMacros-- If one full  video on how you pick value buying stocks  and understand the macro around it(where to go and read?) then take a decision on buying those/not is of great help. This come under speculative investments I guess.?,3 months ago,nallapaneni ram,UCSdR_sz95y9E1omH2V1uwcQ,0,https://yt3.ggpht.com/ytc/AKedOLQ9B5yeO37e1tRGKsrLWXrX5TKWamrwlVAJNQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSza7aMR_rGU9FIxd4AaABAg,Akshat! Lakshmi nft is sold out,3 months ago (edited),VBL,UClhi26DT4wYTQW9jQJqa5Wg,1,https://yt3.ggpht.com/ytc/AKedOLRQNNjP6Q42x9VsAE6KwZhXGS2TgQvmkHjxjEOt9g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIoBt0wJzIpygw2ph4AaABAg,"A comment to try to mess with the algorithm. 😉
Please upload",3 months ago,Maverick,UC4352DsKD4iVM6O8c-HsMsQ,1,https://yt3.ggpht.com/ksOZG3YJWpyuLbTHk9gKcue-KFvyUr4HzOZlBwKLQv1INhzwAcRPHezN1zN9_jt-HrplDcoS=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzy5Eu5EfKZLgyemgF4AaABAg,Spandana spoorthi analysis,3 months ago,Kaam ki Baat,UCy3Qoki7PwYmBAwE28QZTgw,0,https://yt3.ggpht.com/ytc/AKedOLS8RBmzFOZl-erin4yy7UFJKSIFIQ1lioepXQ=s176-c-k-c0x00ffffff-no-rj,0.0
