cid,text,time,author,channel,votes,photo,heart
Ugw7Zi3LI6OR30ms-kF4AaABAg,"►My LIVE courses:
https://wisdomhatch.com/",12 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,5,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLQy8dz3uhgYniPzh4AaABAg,Should vote for someone who reduce such burden on middle class instead of communal hatred.,1 day ago,Mohd Arham,UC9X5gRc_i-aAB3JgTIYpW5w,0,https://yt3.ggpht.com/ytc/AKedOLTfcu7w-uIO0ZCyOihSanKFJ-kVxh-Mrgq6VdpJqw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw721O1wMbK2gH8a-J4AaABAg,What is the solution?,2 days ago,Woww Lifezz,UCDog9YCSYrRQ3xZMimrjGQw,0,https://yt3.ggpht.com/T7-dQZT9lRGy_eQiyR3WP9ggHBN4Dx3zMpJQjKfFts41ZyndIWqhKO91wdcK1DX9xMGLXZqYFw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0NWyJKzQ_ifDUSuV4AaABAg,U don't have to smile unnecessarily and compulsorily,3 days ago,Advocate Dolly Jadwani,UC0ZFMlZiLtMT2Aiv-HmBTkA,0,https://yt3.ggpht.com/ytc/AKedOLQiewfS60F_MgiDIyAdmjNLs-zJImPCyNLcGb7-Fw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbnB0DosJyVmhvYUp4AaABAg,Learn to earn more. Let's stop cribbing,3 days ago,Varun Atmakur,UCrWx_MdMOox49s38S-lMEVg,0,https://yt3.ggpht.com/ytc/AKedOLSh1YbeK3xl9Kv3bufZkSAH3n35bXxvgB_b-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGDW2nym38ySo5TUh4AaABAg,"Yes, indirect taxes like 30% tax on crypto😂😂😂",4 days ago,Prakash Singh,UC-EdCcfDKsRg2qdvy4Y5aww,0,https://yt3.ggpht.com/ytc/AKedOLR_CwOZrN6v_fB4z1y1v1JKSBjAYu0sWIT-xg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIywkvHY-kq5j-VC14AaABAg,"Wise words from guddu bhaiya middle class aadmi, aadmi nhi chutiya hota",4 days ago,Sunil Rathore,UCNAXTZapRD-RoVjpHsQr-4w,0,https://yt3.ggpht.com/ytc/AKedOLRIBNdDSQyng7FdgSAH3GsGFia1PWXCzQD55A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLQ3rDoh8sY11m5iB4AaABAg,Mudi knows this very well but he will keep on f king us,5 days ago,Green Mangoes ka PAPA Cometh,UCYGMcCiH9A0Md8yz-CiZpEA,1,https://yt3.ggpht.com/XBYDphXlA8TYiX3vFAC0Wig8adB9MwC4PPS-FkRSiQ6W405cyIKJpvQkW4Xbm1AA1EFmQ6kgUFs=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-Q-W3qcdHHPngK814AaABAg,health issue bhi bhai,6 days ago,Digital Help,UCmwpA7GCziaanTwUyzGq3FA,0,https://yt3.ggpht.com/ytc/AKedOLSCi46EaIx9CFOxqutZtIOERA4MrAczMf7alY4l=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzVmzR8H4X1AT-K4t4AaABAg,We have become minimalist anyway.,6 days ago,anonymous,UCkPNlLFOv6VpxgC5YlOyv_g,1,https://yt3.ggpht.com/TiHHoR64QoT-nlUFfPUgy5Fimo3A7bY56vS0DLrYeaJmgysgcytirJYyrFUypQKLHHyNm9HRSw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6irWr1scWeD6lFhx4AaABAg,Very true,6 days ago,Butan,UCisAlIaKBoJ5DfBpME6xKsw,1,https://yt3.ggpht.com/ytc/AKedOLQcq1EdXUjB8iQtKKj1JSLIOOMzo2XxP7gQOpkKqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwF5mORj5nmBntstbt4AaABAg,So that sense india has only 3 % middle class and rest all is poor. 😂. I can feel your pain when govt didn't legalized crypto .,6 days ago,H(.•.),UCPf3XiT0UURBm_FN6oVr_XA,1,https://yt3.ggpht.com/ytc/AKedOLQAeA5RdeSFszbQCokhz-9WrxPjkh76RUjIXJdIXJl13F3p8ev0vGcvmzRkd5fR=s176-c-k-c0x00ffffff-no-rj,0.0
UgzT_wHHfMzS3z8uoOd4AaABAg,Could you please make a video on inflation protected securities in india,7 days ago,Xcsczlsb 5558bnm,UCQIvlxgiBlT3OEQh46JuBBQ,2,https://yt3.ggpht.com/ytc/AKedOLS1Su0GvqixN84Vx_Db-pg4S6w4ihswVpED_cYMvXvefa1PZKab8949l2dcLwIE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7jqVyfb-StasI4Kp4AaABAg,It’s the same here in the US too for middle class being priced out,7 days ago,Miss Incognito,UC9cq4UalzNsYpVdzJrOtOgw,0,https://yt3.ggpht.com/ytc/AKedOLTWay55V1HRmpB91PvJVnjumOuaudh0EsN6iMB3Yj82n_KG1ikLW4JCTJrgffni=s176-c-k-c0x00ffffff-no-rj,0.0
UgywrPr0HIJvYrhZ27J4AaABAg,The Great Indian loot. Salaried class should not stay in this countries. Every moment they will remind you that earning money is a crime.  Run away brothers n sisters. You are better off paying 50-60% taxes and still get good lifestyle and social security abroad so why rot in this country.,8 days ago (edited),sunandks,UCGiUg4WsgjDeT2N8_TwYPRA,0,https://yt3.ggpht.com/ytc/AKedOLRuJhkZV1qpkGuOw4w_R1PE8rTa_VuBbAHKcQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjNFs5-KoWUuhb0j14AaABAg,"Its so unfortunate for salaried people inspite of paying so much and so many Taxes, they are not getting any benefits from Govts.",8 days ago,nandish patel,UCxyd5b_-Nu2H03OiuzyAp2Q,0,https://yt3.ggpht.com/ytc/AKedOLRISsGphXJLyE7m1OQcdGXer2TBjQAxFtyUPX_hNg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyxYw9C4456s3xgVV4AaABAg,Yahh so true,8 days ago,Dipty Prakash Swain,UCQnrtfwYRgbOV0gD940-5yw,0,https://yt3.ggpht.com/ytc/AKedOLTGzGdfJ_iG4CGwLt2vB3SiuyT6Vv2Xyv08ztxxSA=s176-c-k-c0x00ffffff-no-rj,0.0
