cid,text,time,author,channel,votes,photo,heart
UgxePgTncQgRDwJWtbt4AaABAg,"►For filing taxes, you can check out TaxBuddy.com and avail 35% discount for all ITR filings:
https://filemyreturns.taxbuddy.com/akshat
_____________________________________________________
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: https://bit.ly/Akshat50
Code: Akshat50
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Cryptocurrencies on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,20,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrpA4l8eoJ-dgmJj94AaABAg,"In times like this, I'd suggest considering having a diverse investment strategy. I grew from 6 figures to a 7 figure mark with my portfolio having exposure to different areas of the market, including small and large-caps of the ETF index, international stocks, coins, grade bonds and alternatives like currency markets, as this helps manage the overall risk on my portfolio managed by my FA.. Credits to my adviser, Bidkay, It has been a year and half of steady financial growth",2 days ago,maria guadalupe,UC-5mUxbUV2IfYrr5cBRa09A,5,https://yt3.ggpht.com/ktqfeOjdaKiGSPefK8cy2ITJafyEQLQkB8dQynfIdNZ5XvbK7HXrbHTvI8HpINYXUCAs5VodqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxePcuhkine9EWLbCJ4AaABAg,Crypto is the new gold,3 days ago,Scott Langford ,UCydiw-F0Keru5_S9t497_cg,21,https://yt3.ggpht.com/rVrP82W7G_7sLtNasTMWi1oDUmomtd7v1zroS0vYko5GwACJhNp4MG38zqrAYYawD-IbqBFDLg4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsmfT_T7Me2KNfiJJ4AaABAg,Could you please elaborate on this video about polygon  https://youtu.be/74vU4y1rPxI,4 days ago,Amit Koshti,UCBpSboFB1CKz8Y3Z1I6PolA,1,https://yt3.ggpht.com/ytc/AKedOLQKzyC_WTwgBVOVsSBXXPD1fcb5dP1DR-eItKIJbA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWsBqs7tPqAoCGI8F4AaABAg,don't forget to include the utopia ecosystem in your portfolio. This is the best web30 system.,4 days ago,Gabriel Randall,UCHQMpV92WXYjG0XHZ8e30fg,1,https://yt3.ggpht.com/ytc/AKedOLTpvlkMDA9DcM6beZFvUxYbmZ2PleGOr8B_Ag=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIiallL3WdTiGUvmd4AaABAg,Hi Akshat... Really enjoying your videos... Could you please let me know your opinion on cardano please,5 days ago,Dilu George,UCeuqF1Yc6ot6vz1FNiZDZQw,1,https://yt3.ggpht.com/ytc/AKedOLTgqDzAxQeWnS0PpySAtJsi0Dc0FQQJJbHKO3Ig=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7HzZ-sZjBXtj9yzN4AaABAg,Can you please guide me in my Cryptocurrency investment (Planeteer),5 days ago,Vinay Bamne,UCE8R2oWLcWLC2v7Qfc3I6XA,1,https://yt3.ggpht.com/ytc/AKedOLRlAncsracyXQ-uQBDThoY59y4QdpuhECM4SDx61g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsLsty8occso6fHxd4AaABAg,"A lot of people are complaining about other trader , but  I have been investing and trading with Expert Doris for some years now , but  she has been nice to me , I never experienced any lose with her trading, 💯💯❤️❤️❤️",7 days ago,maryam muhammad,UCq4OrksWZ-9XDdAlWp47BIg,39,https://yt3.ggpht.com/KQAwqhXB_6zUAK6Nf4mBFKBWqaHZUJLit3Ar6zEuRUVNbv4GvA_HUncfilTIARUJ2yqkFUTZIg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9o4GVa-1Mi2i1kpF4AaABAg,I'm glad a met a prolific and outstanding genius like him ☝️ I've never had complaints and my returnš have been benefiting,8 days ago,Jasonmaddison2020 on Instagram,UCEisKoolfkf3fgRJXJymKZA,2,https://yt3.ggpht.com/3nLNbAMXnaep-xdTmFCjXjunKRJYIlynHycZEDFn927JHV7GBWVg3K681P5O7VRnFQbDspX3I3I=s176-c-k-c0x00ffffff-no-rj,0.0
UgycIOQbGsWSyi1vISN4AaABAg,What do you think of Lblock token?,8 days ago,tanvir singh,UCTxNw0Lg7ShziOH-WLve39Q,1,https://yt3.ggpht.com/ytc/AKedOLQHDx46ABDO1Co2n_Zsz3gsdVcGK4z6V7Gc2Q=s176-c-k-c0x00ffffff-no-rj,0.0
