cid,text,time,author,channel,votes,photo,heart
UgzJdYZZDVHT-i-06W94AaABAg,"►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about US Stocks on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,11,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNpBgKZwvEw1rZhKh4AaABAg,nice sir,2 weeks ago,Raghavendra Badigeru,UCoV3ulF7OJ5XlzE3k-X_AcQ,1,https://yt3.ggpht.com/ytc/AKedOLTWgJESR08tSaW-Rw6iT9j2FC7fE_6Joovhhg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9hVCATfSMwHEy1JJ4AaABAg,10:15 👏👏👍🏻😅,1 month ago,Alok Ch.,UCgcoggIhN37J7TMHIrQ29cw,1,https://yt3.ggpht.com/ytc/AKedOLTL5Ysh5Ld4xoMqCZVjzl9It5gAT8RGUUdhYsPl8w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx24J3IA0_LXZcB5wl4AaABAg,How to find good small cap industries for investment,1 month ago,ankita saigal,UC-dRc4CvIa8MLtLUFqRsBOA,1,https://yt3.ggpht.com/ytc/AKedOLR37MTvMeGSNZ0CnsN5sAma4dVrIe6AzSbQAQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLyovuE2JkvgJvISx4AaABAg,Much needed to learners ❤️❤️,2 months ago,Ram,UC4NhvV6se94LwHCI3RizHmQ,0,https://yt3.ggpht.com/G3q_ROUzvB36TiEdjYS-TrlLRIDTeoneakAKZTiJXbJksxaYcd6oqvAnnnTWwu2yxyUfK2C5CQY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugydd04epDCNcwlJ8FN4AaABAg,great content!,2 months ago,Aditya Mittal,UCWX4k0fMw_l56S5HXSkpC3A,1,https://yt3.ggpht.com/ytc/AKedOLSvL0GtU4VICHSavcRBsqUCDYrC3fWHEqd59caA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4cv2AfokOQXbGJal4AaABAg,Thanks for presenting useful information,2 months ago,Niharranjan nayak,UCe98pCddCJI_gQYPuHZTXgg,1,https://yt3.ggpht.com/ytc/AKedOLRDIn-4lbeOmlZSwv04owg5KPcsXxbNNjwXcQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvCER90Q61EOPYRYt4AaABAg,More of such videos ❤️,2 months ago,Wilson Kennedy,UCZC6emkqoMZK6NzIu4aHBcw,1,https://yt3.ggpht.com/ytc/AKedOLTcVVkNgJAAKuglOQ1lmM-ghBo6WfJaL55S-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkXfZqXGCU8JVv8gl4AaABAg,I am just a newbie in investing and from past many days searching away to research and analyse before buying any stock. Thank you very much for the content and it will help a lot to me in my investing journey.,2 months ago,Gaurav Vishwakarma,UCquOim1fDGOxjfVx7ktV_vg,2,https://yt3.ggpht.com/ytc/AKedOLRxaGpT3pn1vUeHBDoO6QbhZGKuqpokbpWC=s176-c-k-c0x00ffffff-no-rj,0.0
UgwN57lB0AURE8EEmtd4AaABAg,Thank you so much Akshat for making this video. It is extremely important for retail investors like me. I hope I can spend time on weekends to do the research by myself now. 🙏❤,2 months ago,Apurva Prajapati,UCyGCChD50K4QEKoDDqTU08A,0,https://yt3.ggpht.com/ytc/AKedOLTPX5QxR5O_9HZwIPvPdlXtwvGH4BbcHYpEZdQysA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMM328DnmeAI5iNMd4AaABAg,Really good video . Thanks a lot Sir,2 months ago,Varsha Nataraj - Pianist,UCyhm-bcNIVmbjEDQ1Euh98w,0,https://yt3.ggpht.com/ytc/AKedOLRtWR-eB8KAXbCXrjhq7ZusP-_KnS_-fyaAnxSOWQ=s176-c-k-c0x00ffffff-no-rj,0.0
