cid,text,time,author,channel,votes,photo,heart
UgzuDhfZ2dzcCyzwgW54AaABAg,"►My LIVE COURSES:
https://wisdomhatch.com/
_____________________________________________________

►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat",4 weeks ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,27,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg,"Recently, I've been pondering concerning opening an investment account for retirement; I've set aside $120,000, but the current inflationary pressures is holding me from doing so; do you have any counsel for me, Akshat?",1 day ago,Murphy Wags,UCfWCTQ7-uMDcgLmiqvOcYRA,257,https://yt3.ggpht.com/WxnSH41in5lAF2u_kN0XHxik75CQBBFePoarNeyGP5xlpm407IfTDQWHAU6lN9ao3bX-EtO7=s176-c-k-c0x00ffffff-no-rj,0.0
UgxddzlRsqBcdiglkFh4AaABAg,Sir great information.  Hood im learning thanks gor knowledge sharing,1 day ago,ramesh Hariharan,UCzF6fzu9knY3KBv-uzKpiPA,0,https://yt3.ggpht.com/ytc/AKedOLQ1jzv2rUSF8Vd3aA8Zj9yuDzKf1AEApNxvXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHx3kqzPsVvZDfEjF4AaABAg,"i guess 20 -25 crore since  10 percent is for re and startups , sor 5 percent in startups",2 days ago,abhik,UC4NLJG7U7OKnpp6wkDZFpFA,1,https://yt3.ggpht.com/ytc/AKedOLT4H1F2LwD0_2_xmiqY41MVPQnua7LA_ZwEaZcgQQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-IOtJfxCfSEIkmCR4AaABAg,"Yea kedia, jhunjhunwala, damani sab k sab chor hai... Don't fall for their fairytale.",2 days ago,m_patel,UC1F1CSu793X5QZN_K-LL97A,0,https://yt3.ggpht.com/Y9i8pHgu3nmZEn8d3FtBOhPLKCIHoyvDFE1x66ki1rzFxaTtVlxxgnAlxdSGdhVH6NiShmFyWA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjWZU0bR9YunpE9kd4AaABAg,I really feel left aside hearing and seeing several testimonies from people on profits they make from crypto/Forex investments. Can someone please recommend a good expert that can trade on my behalf and generate profits for me🥺🥺🥺,2 days ago,Stephanie Kaka,UCnDGDcqqU-GxP3g0jqxlyjg,63,https://yt3.ggpht.com/ytc/AKedOLSmh2sziwViFHox8gCSJjY36XwPS3vxFWRmrfqy=s176-c-k-c0x00ffffff-no-rj,0.0
UgylQJaVo4K8HmJB9aR4AaABAg,My Portfolio Revealed!! where's the portfolio? You are beating around the bush .. That's clickbait.,3 days ago,Arka Bhattacharjee,UCPGhpEzBQNcUpHTfkINCcgQ,0,https://yt3.ggpht.com/ytc/AKedOLQEyqJQ38SX-cY3XXV80lsdGykhtw1RLRLeJy3inA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFKvUbd2O4b6SGN8B4AaABAg,"What’sapp✙19206816960

More updates on XRP,NFT’s,BTC.📊
What’sapp✙19206816960 

More updates on 
XRP,NFT’s,BTC,📊.📊",3 days ago,J. Bravo,UC9tDNKrSn7zGVtUTHrqZMVg,0,https://yt3.ggpht.com/RWoczeAoSlVq2Y7Vsnp-fK8svLJNVfaxttO9_QBBtPUYSgAzLO5D9VO2jxZ2Twy9Z-QGitPc=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsYNppTeMkXUogZXR4AaABAg,"Your total investment is 10 Crs

Guessing based on your 36 lacs investment in HDFC",3 days ago,Viren Sarvaiya,UCjaUkcH5j42tMoQi-cZYFvw,0,https://yt3.ggpht.com/ytc/AKedOLSIC2xPxpzziYKDMKF6rhWD61Lm41UnzMxpnkItHA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLfHWypTH5GsgnV894AaABAg,It should around 30cr,5 days ago,AnimeDestiny,UCQCLggUUOD8YbdVzXj7fR3Q,1,https://yt3.ggpht.com/ytc/AKedOLQw_nlx01Im3670EBjyoOtYR3azvxLsR7KtHosu=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_bwEGEnBksV4z49V4AaABAg,"Akshat please keep up the good work and continue to speak your mind. You carry a very balanced view . It's important to understand the interplay of finance, economics and politics.",6 days ago,jularakal,UC1joboZY8oyYi1uc694zyuw,2,https://yt3.ggpht.com/ytc/AKedOLQ3Niz_EvSTuPYgy5mQ9fA1ST2bOh3zGjUW3w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9Asd9EWquUAWsL1h4AaABAg,My guess is 4.5 cr to 5 cr,8 days ago,Tushar Nagar,UCGDZauqBE6GZUYoxW2agzTw,1,https://yt3.ggpht.com/ytc/AKedOLQdWTVyLA5fq-DVJ6dHShbqQVEv02syaAR85J16DsM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaxZ5ZpVnzv7ef-gt4AaABAg,"Wont disclose otherwise ""Bhai Utha Ke Le Jayenge"" 😀",8 days ago (edited),Aniruddha Jani,UCHMv__oWDxtHuE_SFU3au2Q,0,https://yt3.ggpht.com/ytc/AKedOLRDNEQRLjiBeLknjZ4kil60Xt3_YI24E78H5fMr4g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWKqnhz0umRW1VP2F4AaABAg,Sir jee... Give an alternative for Vauld...there is hardly any mainstream bank account they accept payment from... UPI is gone too... Haven't been able to invest for 2 months now,9 days ago,Ravi Gupta,UCW97rF7U-Cq4K28tFn692FQ,1,https://yt3.ggpht.com/ytc/AKedOLQn15Tld1MuUhQFKzF0sWPL2wu0WqnSZ0unQw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQVU7-vj15_VtOHJ54AaABAg,Absolutely amazing,10 days ago,Mss munira,UCC3PscH4eX7BJxQ-AHn_HAQ,0,https://yt3.ggpht.com/ytc/AKedOLSQlA9x-NznGXLYQM8VaiguFwc90Lv527CETsfIdORMJ7PYl1KtErvjp5BopVJU=s176-c-k-c0x00ffffff-no-rj,0.0
UgytMSh0atAH2fj1q_x4AaABAg,"I, for one, I'm certain that bitcoin will become the number one capital no matter how the economy turns.",10 days ago,Joshua Esbrand,UCQBMMcBpqiMHYtCf5Pn0j1Q,4,https://yt3.ggpht.com/jz2afhgdPwmdEa6NbE_ZkG-B4tLIjY9GPYiWs3JbxV-Gke37yaw5fKQoSmiLkH5y0JLxEGh6Mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRP8XCqixXNe3XnxR4AaABAg,"Take away is that you are a ""Growth investor"" looking at the entire portfolio. And a ""Value investor"" within the equity investing.",10 days ago,SaNapa,UCf2zCtjJPbwOM1FXPe_Q5Gg,2,https://yt3.ggpht.com/ytc/AKedOLTRyRYCBjPIo1JJTV91JaLPf2l6mlmE3mXhGw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_dBnEytb1V1suqfB4AaABAg,Many Happy Returns of the Day (6th April). and Thank you.,12 days ago,TIRUMALASETTISATYA RAJAN,UCCFOCF3U8IV7CPGdJTx-_Eg,0,https://yt3.ggpht.com/ytc/AKedOLTW22__WTSKyCQ7_ykZaL97mHJlZmLP4AgHn6P2=s176-c-k-c0x00ffffff-no-rj,0.0
UgymmKu7L0dI4kbxj6N4AaABAg,"my guess is, the portfolio size is anywhere b/w 100-200 Cr...",12 days ago,Viresh Patil,UCvy8_CN9DCXih-SuN4N6tlQ,0,https://yt3.ggpht.com/ytc/AKedOLQ9Kd-wADhhgTfS1itzYEtAmpxmoWpzfN9WjV0bdQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-IQxp5jOxc2M_IP94AaABAg,Another brilliant video Akshat 👍🏻. What tools do you use to track your portfolio? Can you make a video on this?,13 days ago,Ramadas Kamat,UCpdckAvN6o9jbgdEOK6Csbw,1,https://yt3.ggpht.com/ytc/AKedOLR6pW0PPlmfiHP-5fnJqjcTcFg1gRx9tZro-Ftb9g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZiVTJBWfxd,bro i dont know u will read this comment or not i just want ask every billionaire is bullish on china like ray dalio and charlie munger and monish pabrai give some thoughts make a video,4 weeks ago,Vamshi Krish,UCGivLvwYc5EeedfAnQANv_A,1,https://yt3.ggpht.com/ytc/AKedOLQ2Wcdj1es0eqZN0iQzK328MZnmR2vqRtoOZV39Pg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZiXbWJkcy4,Next video ... On your book shelf pls !!! ☮️ You shared which stock you buy and sell... But I want to know which book you will add in your book shelf.. pls .,4 weeks ago,anonymous,UCG_Xk1i_qIb0laSbR4i5HLA,1,https://yt3.ggpht.com/3eyqmqX_76oDX1ZNhEvcGEcyfus44IVsOYRrzzzwDFeFPSgn9HzExi1_d2M9sSlOThENKJpG9Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZiYII6wB_m,⭐ Haywire means erratic; out of control.,4 weeks ago,Ajith Sg,UCH42MRxJkHjLl4Swp80sWew,0,https://yt3.ggpht.com/ytc/AKedOLRRWcEBxgF_WebzDUm2H7hD9Pc1ZPIn-UqPUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZiYT_T2kHW,Scammers 😎,4 weeks ago,Vinay Chaudhary,UCdishAjCCLLJgYVRk6jL5Qw,0,https://yt3.ggpht.com/ytc/AKedOLT9H1YCGeFAmsCkx2ihkr6wrrBtXvNMmqxV4Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZiZAc2mpyi,50% in Finance Stocks?  🤣🤣🤣🤣Very good Allocation. God bless your Portfolio. Definitely you are a fool if you invest 50% in Financials.,4 weeks ago (edited),Mahesh chinna,UCWd04AEr_lewciZrbMF9SfA,1,https://yt3.ggpht.com/ytc/AKedOLSwQgtfTEGCmmxC780qDh5dGERu1RcG7cR0uA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZiaIbj4bic,"Akshat please make a video about hedge funds, which are best companies and minimum investment and commission.",4 weeks ago,Revanesh Doni,UC70jh0ts-nd564xdoppbzVA,1,https://yt3.ggpht.com/ytc/AKedOLRp7S2k7QeTkLOhN7urE5-8i3K1smS8iY4-fgTCzQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZidEwc4tkz,Chalo apna portfolio show karo,4 weeks ago,Vivek Vishal,UC6abGrC6C4ex8FP4wPP8Eow,0,https://yt3.ggpht.com/ytc/AKedOLQe51Wqsp_OvlSkXU_AY3ajMca0LjkvcInu1Tng_vAH0iwZmLundtsJ1m2se9nG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZidOqJMTYo,"Iske pass 10-15 lakhs ka portfolio hai busss....
Kiu jhoot bolna Bhai..",4 weeks ago,Vivek Vishal,UC6abGrC6C4ex8FP4wPP8Eow,0,https://yt3.ggpht.com/ytc/AKedOLQe51Wqsp_OvlSkXU_AY3ajMca0LjkvcInu1Tng_vAH0iwZmLundtsJ1m2se9nG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZievyGXg3q,"let's say your 15% money is in real state, and there was a video about your commercial properties, I guess they worth around 1.5 crore so, that means 1% is around 10 lacs, that make your portfolio around 10 crore.",4 weeks ago,Asymmetric Bets,UC1l9I6uNaXp8l7XzRkSqcdg,0,https://yt3.ggpht.com/2l2ya-WT-B5hpPN8kpO2DSqo1F-aHZgdavBXshSJZlPyNQcLjXwzoOYqsgiVJqFuHgB6jHEVxD4=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZihsYwrX4C,Hi Akshat thanks for posting such informative videos..I have one complaint though everytime  I try to enrol for your stock market course I seem to miss the bus..since you started this course I have been unlucky in getting a slot😰😰..could you please just include me in the currently stock course..Plz plz,4 weeks ago,Shahid Iqbal,UCX9ZpCLtNWlVDjt8Dn5GmLw,0,https://yt3.ggpht.com/ytc/AKedOLQH9mbeXSUbZrSCjuwqj-2-2saxXa-7W6x2w6X5h1I=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZituC9qbGH,Portfolio of 20-25 Cr I guess.,4 weeks ago,krishabh kumar,UCAZN_JvFvaFK86PvUor7FTg,0,https://yt3.ggpht.com/ytc/AKedOLQNGJLyzoMqkXe5JnQbBbtVGth9BtGBGPUC3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9Ziu9oEucj4," @krishabh kumar  Feedback appreciated
Wanting more info and insight?
WatsApp the number above,⬆️⬆️
Endeavor to reach out..",4 weeks ago,Akshat S ①⑨⑦②⑤②⑧⑤⑥③⑧,UCETDhdm7vqEvTAWCcVqsLeQ,0,https://yt3.ggpht.com/JJYRYxcnkyAhSXW19q99rgfwYC5LFR2-EBmHm_0msq8SJ2oImhFK2o50fjFFlRKlBK6YL2xe=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZjnN7joIbm,"Akshat sir plesss teach about angle investing
Analysis startup or maney more big fan of your content ❤🙏",4 weeks ago,varad kayande,UC2HoF0vo2JlaeYUMo594Rxg,1,https://yt3.ggpht.com/ytc/AKedOLTktgNmjVnmAtDGZ0TmBoqBDXF0u4Sj5DXBpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9Zjycwl8q4I,"Not sure why people.like u promote VAULD so much..such a lousy platform..adding money is such a pain..no UPI, no major banks like hdfc, icici sbi .it has been a month account opened..not able to add money..",4 weeks ago,Manoj Kottarathil,UCV5gfFdvIJDGsxNNFU8QxcA,1,https://yt3.ggpht.com/ytc/AKedOLTGxTeXt2Et3vkvLGOgvCvwoNxzJELeNq9PvPMgajnRW12kq_snjqV7PqUxZE7p=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9Zk3ncOHRb0,"Hi Akshat, lots of scammers are commenting with profiles created with your pic. Any plan to report them?",4 weeks ago,MyJio Sim,UCwZEZ1bNAEZeu1G2iWewVBg,0,https://yt3.ggpht.com/ytc/AKedOLTlGQC89bNR2jGawUuxKZNis6KghV4TrxqX2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9Zk75TWguWn,"Hi Sir, Got to know that you were taking courses only in this video. I see that the stock market and crypto course is already fully booked. Is there a way I can purchase these courses now?",4 weeks ago,Jaison Zachariah,UCN1wQbxW18HP7pru63Z7Njg,1,https://yt3.ggpht.com/ytc/AKedOLQ3yoTPW_nXbc6xRLXT76FxleNVOL8DQNkMLrryiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuDhfZ2dzcCyzwgW54AaABAg.9ZiTOlplS1D9ZzWLNsTCin,"Sir
Some scammers are baiting in comment section with your name in fake profiles
We are aware of highlight and tick for your profile and few may not aware
You have to respond",3 weeks ago,anillee92 tkl,UCn887X9rc6MJf971qIYydMg,1,https://yt3.ggpht.com/ytc/AKedOLSVWjfjwdHHbUU4PB3SlrkTGLPmWxpAFYhR8aEuHa9gd-mgUZQ5NkSve2n3jKar=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_suIeDrtWH,"You can apply reliable trading strategies and make better profit, but you'd have to be a pro.",17 hours ago,Matteo Santiago,UCeIbsiprfrED_czqhwOjUKg,30,https://yt3.ggpht.com/hiOaWIhCEcj_B40TvYPUP7-sIRtee4_Rn7R4JRnoeDI7NFGj8I27XQN8bgssHhvpFQIjLXZb9Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_suXhGWyBu,"It is an excellent moment to enter the market, and it is also beneficial to have a mentor on your side.",17 hours ago,Allen Kalulu,UCbIxkKjDLL-W9od2YX16qfQ,14,https://yt3.ggpht.com/ytc/AKedOLSpHhHVnKPNx0b65ChyvGzLJwKgNnHBdmmOUSOh=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_svtW15Ph5,I agree with you; nothing is as terrible as it appears; there are still smart methods to profit in today's market; I've done it and got very sufficient return while others grumbled; it demands a high degree of information and diversification.,17 hours ago,The Illuminator,UCKIW8MfTdiNiFONYlPfiZ1g,17,https://yt3.ggpht.com/fz8MTlOBXL9QV08a_a7E8hkZnK7BI_0RLjsMxD8wvWEnalloHbQBUJlyI7rOq8PSdGaTuDqK=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_sw6H5tBl8,What tactics do you employ? I’m in the red 🛑,17 hours ago,Blackstar,UCKwstkb97BkftWggf6Un1Ng,6,https://yt3.ggpht.com/ky3oHEsZY7gBDD3rKWosoSFVyHahBRcPpjetRkJsB-JY-0wqHADRH6jRUJt1XSnAgTAz2Yhi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_swfChl04b," @Blackstar   You may diversify into REITS, mutual funds, and securities if you are comfortable with them, but I personally let my investment manager handle all of my investments, which is how I've generated $638k in gross profit over the last 5 months.",17 hours ago,The Illuminator,UCKIW8MfTdiNiFONYlPfiZ1g,10,https://yt3.ggpht.com/fz8MTlOBXL9QV08a_a7E8hkZnK7BI_0RLjsMxD8wvWEnalloHbQBUJlyI7rOq8PSdGaTuDqK=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_swuBpD2KG,"I'm a newbie, so all of this is greek to me; could you recommend an investment manager or connect me with yours?",17 hours ago,Jaiden Maé,UCW_n7uFPA4fA3QDt6Ro0QJA,4,https://yt3.ggpht.com/PctY2XjNTVwKZmhopaACilKHAgRsIkWCOxtS4j2sN49vd9PFQIE3h3XJ6W-9RfzNue_12z8N=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHWPIPzO7dKYvq4Od4AaABAg.9_rn7pl_fhR9_sx4BTSXvN,Jessica Ann Ems is the finance manager that assists me; you can try looking up her name on the internet and find all the info you need.,17 hours ago,The Illuminator,UCKIW8MfTdiNiFONYlPfiZ1g,4,https://yt3.ggpht.com/fz8MTlOBXL9QV08a_a7E8hkZnK7BI_0RLjsMxD8wvWEnalloHbQBUJlyI7rOq8PSdGaTuDqK=s176-c-k-c0x00ffffff-no-rj,0.0
UgxddzlRsqBcdiglkFh4AaABAg.9_qb4rTD_Og9_rKxSnmcnJ,"Thank you for your comment***
Contact the What’sapp line above for more information and consultation on investment, also participate in the  new investment.. I am sure you will like to be part of***",1 day ago,Akshat S.㊉①⑤⑤⑨⑨⑥④⑦③⑧⑧,UCpcih8iJPMVgt-4mJ01_sxg,0,https://yt3.ggpht.com/BMcQ_j8qiVh5Fjm-tP4lrY3T3lMr9MiyCpvIOncofzbxp4q80Qd0gBtQcLjHPXAQa9OyAAXu=s176-c-k-c0x00ffffff-no-rj,0.0
