cid,text,time,author,channel,votes,photo,heart
UgyTg3UI48IPQ3MGniV4AaABAg,"►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►For personalized classes on cryptocurrencies, please check: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,28,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWDVRMAk-Rn49adV14AaABAg,NICE VIDEO..... I HAVE BEEN TRADING FOR MONTHS NOW. I KEEP MAKING MORE LOSS TRADE WRONG COINS PLEASE I NEED SOME KIND OF ASSIST OR ADVICE ON WHAT TO DO,4 days ago,Wilson Brown,UCaDAY7gusZbY8WAo2guEuyw,44,https://yt3.ggpht.com/ytc/AKedOLS4gSwmDLfNBa46Q2x_Bj00do-hpFi9AvwJ4x1b=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYC9lh0WMEFCL2xpV4AaABAg,Hey @akshat Shrivastava could you please share update on this portfolio,12 days ago,Kaushal chintawar,UC0dh7cuQoY0Hy2cmobx7G2A,0,https://yt3.ggpht.com/ytc/AKedOLRSvrBmz6atRIg4eR-eXemngfuCeseVGQlXpZcCJA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_XJT8LcqM0bTIFfp4AaABAg,"Thank you for your comment..⬆️
Be sure to contact the what'sapp line above for more information and consultation on investment",2 weeks ago,Akshat S.㊉①④⓪①③⑦⑤②④⑧②,UCe9OfcawJa5qIVlQG5nvZ9Q,0,https://yt3.ggpht.com/IhggWxSMbZpDe8On0nDfsD1pkipI-QkDqfaWaCLJS8KSROR1xw5pIvvekByHkMMOmfP8uRMj=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMn9GyeXT0aR1_hKB4AaABAg,I am so very greatful for your videos so meaningful..... 👍,1 month ago,parul bhardwaj,UCC-kdll4aBGihmAihM50Cqg,2,https://yt3.ggpht.com/ytc/AKedOLRySSwPwvupLKafMUnL0W44QS601Hx0mO1hXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOcpCEjd2q1-osU0Z4AaABAg,Please shift a little to your right or left so that Shri Krishna isn't covered by your head,1 month ago,Priyom Palit,UC8DRo2lO7W4dAEiajuQSOqQ,1,https://yt3.ggpht.com/ytc/AKedOLSpVMt3UF_QKaYW4fl-dRpkGWf_Bs_W0V3WAlegEw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrDddCLFkpRxoaj3d4AaABAg,"Akshat, you mentioned investing into windmill... Wanted to know how do we invest into startups and which platform can we use as retail investors",2 months ago,Swopnil Mohapatra,UCk6Ch6YULBfXoxtS05CZVhg,1,https://yt3.ggpht.com/ytc/AKedOLQuGNrHxReUWWmUxlJoeptlv6_Wo82Vgsf_k16shg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUT9MEQvSyNRBy8IF4AaABAg,"Hi Akshat, will this suggestion still remain the same. Any change in the strategy?",2 months ago,Balaji K,UCpY3kgRQmXE5sheEEDGMwCw,1,https://yt3.ggpht.com/ytc/AKedOLTBpOgoqfkEso6QTYmmnnD-M4W628HzhBZiPAAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgydOqbR9Mua7pU3AVx4AaABAg,"Jobs will pay your bills, business will make you rich but investment makes and keep you wealthy, the future is inevitable",2 months ago,Leo Edward,UCMZYSmtFF76UwrmoQEydg7A,56,https://yt3.ggpht.com/ytc/AKedOLQt0aygkOP010yeQtq13WjkU9v8kY8KbBlM0D7k=s176-c-k-c0x00ffffff-no-rj,0.0
UgydjxH45yVbac17t694AaABAg,"Which is the best plateform in india for crypto trading,/investment?",2 months ago,Sharad Dhangar,UCg9xkCOTelpFdLT3nHStWGw,0,https://yt3.ggpht.com/ytc/AKedOLT4uj6PaBl54v5zuXQHGFueum3Hy3OGul9rzc3h2w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNEsC-8qTW8b9GrOR4AaABAg,"I LIKE YOUR VIDEOS, HANDHOLD EXAMPLES ON INVESTMENT",2 months ago,yogesh sagar,UCkfMBCmWnhbxl6sjSIFYjlw,1,https://yt3.ggpht.com/ytc/AKedOLSNIVY9K0vSCEniJJIEPscifJ27Y3SaVRzgPAS9pg=s176-c-k-c0x00ffffff-no-rj,0.0
