cid,text,time,author,channel,votes,photo,heart
UgxuTEcSMRvi6lYcHHB4AaABAg,"►You can check out Navi NASDAQ 100 FOF through the links below:
https://bit.ly/364Pqni
https://bit.ly/3IOS8eW
https://bit.ly/3HR0EZK
https://bit.ly/3HTjEqc",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,7,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxI4_GNU5I-uafsToN4AaABAg,bro,3 weeks ago,Sam Sheldin,UCniAEci3sU1OjbDH0LPL2Ww,2,https://yt3.ggpht.com/ytc/AKedOLTX4NlY4tGkEWeIpQjMg5NAp7qhQWMNMnN66v44Wg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjNASVUKoK8k9r3Q14AaABAg,"I have studied  economics books a little. In such a volatile situation, I think I will withdraw my opinion to invest complying with yr advice. Thanks.",3 weeks ago (edited),Pratibha Bhandari,UCbmUcOit7QnLVzwsEbLBpUQ,2,https://yt3.ggpht.com/ytc/AKedOLQy_omoNR97rl966dcU3vgtRsiYwXtD2VvXzw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFMq6lnv8N0Zf5hER4AaABAg,Help line above ✅✅,3 weeks ago,Akshat S +⑨①⑧④④⑦⑦①⑨⑦②⑦,UC_4cIFeXne-mV1xCENGnfzw,0,https://yt3.ggpht.com/-PTdCwJANJVwkUC3H74YmgOWX8muynMJJegKXwqXwxklOnSviFZtn9Kr7Pu5Km1eBKVdcsHq=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwrys00lS8rdV0hEPZ4AaABAg,"Akshat you being invested in cryptos,you are somewhat biased towards cryptos, just imagine any terrorist organization taking inspiration from people like you start funding their motive thru cryptos, being it decentralized who should take the responsibility. My dear money, money and money is not everything.",3 weeks ago,Satyajeet,UCOHekpd8ZrRcir6wiHoivSA,0,https://yt3.ggpht.com/ytc/AKedOLQBHon2xvON0SXHjPANbMYlVI7A6ChDSj55lg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiZE9Mei2KvpDSRrt4AaABAg,Waiting for Stocks related to NUCLEAR BOMB...Had this been the case...people would have made a lot of money in events like war,3 weeks ago,Deependra Sharma,UCH1_itP600t8uNRdKrKLxdA,0,https://yt3.ggpht.com/ytc/AKedOLT-G9L3Z_zTETN7h9TyrKjBCz41NsYtN9-w6fOVuDI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxu8h5CpRoLtOZnmlh4AaABAg,The Market has been pretty bad until today it decided to surge. Everybody was Practically Crying then. It kept dipping. That's what you get when you feel you can navigate the process on your own. Big thank to mrs Josphine leela. I'm not bothered with how bad the Market is because my assests are insured due to her advice and I still receive my profits,4 weeks ago,Smart Nelson,UCisqS6dm3dhKCZxXOQnj8-Q,2,https://yt3.ggpht.com/ytc/AKedOLTSn8zr1uT4p2VxuNi0Rcdx3YOA-6IaOIPW-l2Y=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9I8of_ArdgLIlyMx4AaABAg,"the best investment one can do right now is investing in forex trading, though stock is good but ever since I swapped to forex I've seen much difference.",1 month ago,Shanice v. Walter,UCsEWPGs4_aG6h1Vbgx6lqtg,19,https://yt3.ggpht.com/ytc/AKedOLSCFZ5H3vcrr0JUR9jv2w0k2tZV96FvFSC1YnQm=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFCOb-s8Cqa7KQbGl4AaABAg,If possible please make a video about wockhard rights entitlement,1 month ago,Gargi Kathuria,UC_e188BfBD2GSKKl1NBUHmw,0,https://yt3.ggpht.com/ytc/AKedOLRt7Eg_2PDzcOWpdcnOfP9nDQllWc4J_Fnb-5Sb=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvTWMgIgaasn_fW1B4AaABAg,"Super analysis, thanks akshat.. just one question, how does these crypto/bitcoin guys pay to peddle!!!",1 month ago,Saurabh Dutta,UCiogEDjUAIdXe686UK05Tkg,1,https://yt3.ggpht.com/ytc/AKedOLT2atzc0LCuGZYpdiitZEar-W7pPvl_nGPmtSkyJn0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwN8aG3Ao1lj5XQ8qZ4AaABAg,Please make video on Cardano,1 month ago,Shekar Raikar,UCUSdA2hMc9Xrl4b_Orx9y5A,0,https://yt3.ggpht.com/ytc/AKedOLS0eSWlJW1sdPs8ZQy8V9TMmrDg9eNyDuSi5Hfmqw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw85UTfqq97QAyISpl4AaABAg,"Hi Akshant, Your videos are really good but Its very difficult to relate for someone like me who can't afford to Invest more than 10k/month in the market.",1 month ago,vikas bali,UC-XW96suKGq9WLtTz0SEd_g,0,https://yt3.ggpht.com/ytc/AKedOLROUU10MAXzFeftivH6i9PklXVY2h0ga8fIjHh5AQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx82d6YD4WB1qNcWQV4AaABAg,Very informative,1 month ago,ahamedkutty elayedath,UCjIWpmLYqqo6_RIhKNp82Yw,0,https://yt3.ggpht.com/ytc/AKedOLTKwpI6Oet3DLId3xMrCJ2YlljxnMs6PNMc=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTo-ib5OQYu_OKd5x4AaABAg,Govt has banned investment in us stocks  by mf. Then how NAVI NasDaq can operate?,1 month ago,Aakash Bisen,UCL0Vu8OATYX1FyKIfFfGWuw,0,https://yt3.ggpht.com/ytc/AKedOLSF_qXLl4QdoHKSeWvWknScsVeU_7FxjmwBAGFD=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNgG--hHn2GxDXSbV4AaABAg,Best time to invest in Russian market for long term. Too risky but things will normalise in 10 years,1 month ago,pn tiwari,UCEGE8UctS8WsN0NxgstsAVg,0,https://yt3.ggpht.com/ytc/AKedOLR8aIAmslEFg5u-AWEnwCwBRtPq2Zey6WuAGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFahpxq8sJOJuUapt4AaABAg,"Thanks Akshay.your videos bring in a lot of clarity, and to that extent relieves our doubts and anxiety. This is surely a service of a subtler level...
Your inspiration to share knowledge is very rare and highly commendable.
Keep it up...
May my Master's blessings be showered on you.",1 month ago,Uma Rajavel,UC3gOdgz0L7axYaODh4889NA,4,https://yt3.ggpht.com/ytc/AKedOLTMLDbtPhi7JoUart5RW3t_WwhfY_4mlX3rqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzkvYSsDe76gvJ2x14AaABAg,Nice u mention to increase speed .. 👍,1 month ago,Madhu S,UCzuopN3RWt3boaBeNxNs_Dg,0,https://yt3.ggpht.com/ytc/AKedOLQ3MeiLXKjgMV97dGG5Z2gH3eUEq3oqNZOvDw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXLLj-e5WSDYMvSgB4AaABAg,"Crypto trading is a sham to be frank IMHO, not the tech mind you.",1 month ago,Wanderer Nomad,UCW43liUHo_hix90H4dCnJKg,0,https://yt3.ggpht.com/ytc/AKedOLSrocvhX_Tztl9SFK7vFvPvW5fd0U1xEFgBtg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQF4-M75A9rY3NJhp4AaABAg,"Although I have interests in global economics I don't watch the news anymore... I have enough FUD lol.  Thanks for this news and offering your insight on how to navigate during unfortunate times/events like this.  You're right about keeping level headed when investing so that's why I think it's important to limit the amount of FUD we consume.  I don't watch the media but the news that you present has enough to know issues going on without riding the emotional rollercoaster if I were to watch the news everyday.  Now I buy and just trade long term more than ever, I have made over 23` btc from day trading with Kelvin McCain Signal in few weeks, this is one of the best medium to backup your assets incase it goes bearish.:yt:",1 month ago,Rebecca Flory,UCTEjJpcI3c2T4Lpub_2kT4A,2,https://yt3.ggpht.com/jlZ6hF7HvuPIoGqQeHSE7AJDmB_GDzn05crLAppzNXbq4UjHoNirqkrZMXqErZZZXoF5VDGt5w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9cLqamuZoXxzN8UF4AaABAg,🙏🙏🙏,1 month ago,Pravin Jain,UCpTT3sgKacuxW5qm5HjaF7g,0,https://yt3.ggpht.com/ytc/AKedOLRgyGEGpmqa25s8_4rETk47Pn-VN7rrOUz9ag=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuTEcSMRvi6lYcHHB4AaABAg.9ZRSu9YoD6P9ZRVwbc3BGB," @Cibin Sabu  Feedback appreciated.
Wanting more info and insight? 
WatsApp the number above, 
Endeavour to reach out",1 month ago,Akshat S+①⑦②⑤②⑤⑧⓪⑤⓪③⑧,UCAIqtvj26p3hiVnXEIvTmzg,0,https://yt3.ggpht.com/lun6taX1OA5kPywGcllcXsWzxYCiEMFOxB08m-Pul6TW6T1dAF7a9sF7FsQINDh5SPA8RDiM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuTEcSMRvi6lYcHHB4AaABAg.9ZRSu9YoD6P9ZRc7OVv_bX,@Akshat shrivaatava- Asian paints and HUL sell or still Hold?,1 month ago,Chetan,UCAd7_cP5oJxPlXH1nTKUp8g,0,https://yt3.ggpht.com/ytc/AKedOLRYQSRYZHztPcuy-T1uywBZpiUPUD5TVmM5n18tNA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuTEcSMRvi6lYcHHB4AaABAg.9ZRSu9YoD6P9ZS5kwP3FsD," @Chetan  still waiting ? Sell everything and run man, more danger to come.",1 month ago,ASH,UChMJ0fzUfcFtQ7nHL3Yj0og,0,https://yt3.ggpht.com/ytc/AKedOLTp0p47OpC7rFWATNM-qPQqkPEPp4ehjftEhw=s176-c-k-c0x00ffffff-no-rj,0.0
