cid,text,time,author,channel,votes,photo,heart
Ugz2Fm0Qutpvq2FIufd4AaABAg,"Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib
____________
►Check out our new course website:
https://wisdomhatch.com/
_________________
►I teach about Stock Market and Cryptos on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,20,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCqsawF6L8xInc-_p4AaABAg,can someone share the resource from which Akshat sir fetches out data like market share and those pie charts?,3 weeks ago,Akshat Yadav,UChymC4CxRek3te3jjjG6JFw,0,https://yt3.ggpht.com/ytc/AKedOLTVE7aDwPG5fSO6Z_zfwp07LfWfOMVkOkpK3w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk7Yi5NSwFf0wPz9x4AaABAg,Can anyone please share all these sites that he uses and shows the data to us. Thank You.,1 month ago,Pranav Bobde,UCid1JWyGUEfNua0wdDHiWiw,1,https://yt3.ggpht.com/ytc/AKedOLTurTuJiP9b_lCkfeYaDj9S6ir9RuTqzXnlFN1XGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzD8ssPR6ZGcTyqzlp4AaABAg,"As you invest, you buy yourself a day off when you have to work... I pray anyone who reads this will be successful",2 months ago,Robert Arthur,UCO6n_TqglELYkdlFsxBtjRA,41,https://yt3.ggpht.com/ytc/AKedOLQO5EinONN8V0e8UKZ-rTSg-M2kopgOsXYwagVI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9JV9QxetPvGr9wp14AaABAg,what is that website your are using for research?,2 months ago,Nihal Saeed,UCgoRsnKnke5-JXEvC2iqaYQ,1,https://yt3.ggpht.com/ytc/AKedOLRGWBd_oSUSdYjnQuSUWR2bDOSEcN9XxOkZAOclsuQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTtrohOLMyfLk-4n14AaABAg,Can anyone tell me which is the site where he is checking the profits and pie charts of market shares?,2 months ago,Shreyas Palsule,UCxKrJCPEmWYTrL1gd-W0Caw,0,https://yt3.ggpht.com/ytc/AKedOLQuKUa0KrN9Vb1dxOWZrAmnlBgnshs9-2IU4CZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZj8ZX3gNK-2ULmLJ4AaABAg,What software do you use for checking the revenue break-up of companies?,2 months ago,Piyush2003m,UCjSMCtDPOpe3TRP9zZbAzPw,0,https://yt3.ggpht.com/ytc/AKedOLQASLwRZgLOC0jVlcU5x4T3L-8bGnymxfuMORar=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrkkHeUUWzwN9sbGN4AaABAg,@ 09:34 and 11:35 which website is he using to find info about stocks?,2 months ago,Parth Gada,UCO2cRGPgWmOjwM7xonT1cwg,0,https://yt3.ggpht.com/ytc/AKedOLQru2pKlzcjoDFTxxwxcv3LKU3hTXdElzcOrnMnp9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjEyu94yPnXUkwP5R4AaABAg,Have you made videos on Ayurvedic pharmaceuticals companies,2 months ago,Jasbir s,UCgcLIQrFCs-1SJR2sFeZOvg,1,https://yt3.ggpht.com/ytc/AKedOLTaVIM5kudu58lg46Ys87-xtYW3zLbJkO-dtVo5aA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwzj6rbgCWgqbkHfcZ4AaABAg,Make vedio on lalpathlab please ❤❤❤,2 months ago,Rafi Rahim,UCIK7xi_kLOQ7ydyai532Gbw,1,https://yt3.ggpht.com/ytc/AKedOLRXhJmyC0A1JtTll7PAGzIDq-5DguZOTIK_fuLLuw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0JOUw71AfIQwBeX54AaABAg,"Can you make vedio on infoedge its corrected by 33%
Its good time to entry your view please",2 months ago,Rafi Rahim,UCIK7xi_kLOQ7ydyai532Gbw,0,https://yt3.ggpht.com/ytc/AKedOLRXhJmyC0A1JtTll7PAGzIDq-5DguZOTIK_fuLLuw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzetHehiG1_4iTBXw94AaABAg,👌,3 months ago,Alex Manga,UCzi1w-TdtLHiR-7EO2zAxWg,1,https://yt3.ggpht.com/ytc/AKedOLQCF9pt09UXS_y4E0fLM0aYTdsKdC_EvnOFIMQH=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxu67EsLZH7Wxx2XzF4AaABAg,"dilapidation - DAMAGE, DISTRUCTION",3 months ago,Rajiv Bajpai,UChr9bEJ8Bu5emG4NVv-uUDw,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEHY-Duolsgj56SFF4AaABAg,When you have to watch the whole video as comment section heros mot posting the stocks names and time stamps.  :(,3 months ago,Nartan Nss,UCuWG-PZfXah4fKUKhfAPrnQ,0,https://yt3.ggpht.com/ytc/AKedOLRxAy0Lvq9Nf1Ojq8ulv8-BoyPjPuLgBIc2qcCgIQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy29U-Te-0368o6DrB4AaABAg,Please make a detailed analysis of Divis lab,3 months ago,SANAT SAHA,UCSKX9ZkXvdTqOSG3bY6nnwg,0,https://yt3.ggpht.com/ytc/AKedOLQu3qk-PRPNKFLI5Rz-c-rJXEz1ybRm2VTtTg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgZDUDrgYroPrZiER4AaABAg,I don’t know why but i am quite positive about tata power and exide,3 months ago,Rony Vora,UC80qAcYPY0uG9mMWw328R5g,0,https://yt3.ggpht.com/ytc/AKedOLR-SUMwmTb6nfnscVLulJpKBYYnp8GE2aXg1hiKdw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLM6l72ZpaEBX7W9t4AaABAg,ModlLe ok,3 months ago,Suresh G,UCXs4-IgUOGMCrr7003uAf1g,1,https://yt3.ggpht.com/UFRsHQe-znjEme12p-80UZTRLPMsAXRo1FV5jZaDpoT1SAA-7ejFdPD1JnfWLIJVfsyKo-LWnyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-RSZMoIERq5O3skl4AaABAg,Does he sell before 1 year or after? Tax varies right,3 months ago,Eminem,UCXjtVInT4fQmbZjXu6b9XBg,1,https://yt3.ggpht.com/ytc/AKedOLRwRDOJ32aWfdDnUGdOkJpKazgcAfB8moH-cuoCEX9UpZv9U797861rABdvwh0p=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWu6cK3C0OWKbAs2d4AaABAg,"Hi Akshat,

May I know which website are you using for the detailed overview of the company’s?, I have been using the ticker tape can’t able to find the same detailed view as you are sharing .
It would helpful if you share the info, if it is ok for you.

Thanks.",3 months ago,Santhosh Reddy Chilakala,UC0pSLssjeGbkd8Eg2clz6Nw,0,https://yt3.ggpht.com/ytc/AKedOLTolCPXkYMlgNdrBTzUHXzZltIA3N5SxfGLVgHm1w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-5tjXKLEMKAII-BV4AaABAg,You sometime look like saurabh Mukherjee,3 months ago,Rohit Mehar,UCxasHUMZ2wJWmVpAQBqVTyw,0,https://yt3.ggpht.com/ytc/AKedOLSNmHYjLAy4vECefR6fWN4AFTV7mDspjoGX40jGgw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2Fm0Qutpvq2FIufd4AaABAg.9VwRBcGUpAV9VwTjpsTuA5,R u Selling jp power ??.. thot the target was atleast 100% around 9rs,4 months ago,Tom's Treat,UC-3ea4PjG1KPwJfZ9rUIPMw,0,https://yt3.ggpht.com/ytc/AKedOLTj6ELKfqAjMFwg5iF-wouf-6Dwjyi2oXga=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2Fm0Qutpvq2FIufd4AaABAg.9VwRBcGUpAV9VwUYE1RByX,What about Alibaba?,4 months ago,sp1977,UCxhxS9XWUG3YYKEugD-mNQg,0,https://yt3.ggpht.com/ytc/AKedOLQGVXQNI-27ug4ZHzA-ahaHSIwuetz0UOW8Mi0IDA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2Fm0Qutpvq2FIufd4AaABAg.9VwRBcGUpAV9VwVt_6_ER1,show your full portfolio as of today,4 months ago,Jay Patel,UCg-WgJIfHNvC5WvmkwHaXlQ,1,https://yt3.ggpht.com/SqpYDKKkS8DrimDubToVZhMubXeUgsqFzivsj4nmvf0KbVdBq9964w3orkkfjKDVjb0Ruj7P=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2Fm0Qutpvq2FIufd4AaABAg.9VwRBcGUpAV9VwiXpn5wiy,Pls provide the web links..,4 months ago,Venkat's World,UC3Omk79kB3yncasQTwFbnrg,0,https://yt3.ggpht.com/ytc/AKedOLRCJaK1YU4hMjpfm0AZzM-miIaAwcgbETgVIIwG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2Fm0Qutpvq2FIufd4AaABAg.9VwRBcGUpAV9Vwj9LNIT-Y,Which is the website you are using in the video to review the fundamentals of the company ?,4 months ago,monarksingh yede,UCYLZAUB7DtuATEGVuwnTuGg,0,https://yt3.ggpht.com/ytc/AKedOLR9UWcWUEez5ZkTB9KrQ8k4wsGOi2bh8umRfc8-lA=s176-c-k-c0x00ffffff-no-rj,0.0
