cid,text,time,author,channel,votes,photo,heart
Ugwfbj0W7hDxoAOFUCN4AaABAg,"►I teach about Indian and US Stocks on my course, you can check it out here:
https://wisdomhatch.com/
_____________________________________________________
►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100",2 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,22,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLPZdOaMHkbKhHBnV4AaABAg,"Akshat, how to invest in us stocks.",2 months ago,Poushali Roy,UC8lUF4pkVIR-P9lixQGWqzg,2,https://yt3.ggpht.com/ytc/AKedOLTj5D0dPiBtEAhBo6g3yf2Tt2xhbRfv9mTENg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlhAhUHwvajoAbUoN4AaABAg,It happened,2 months ago,counting_stars_ lately _Osheen Mahajan,UCGvUERq7Raem-3zes06Veqw,1,https://yt3.ggpht.com/ytc/AKedOLSmxTsaeN-Z8h2e_mBS_ijH3ljxDIPBPqzC2Vu72w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzdb6jcf2ywpHDnoV54AaABAg,PLEASE please please make video on CHINA stocks for long term.,2 months ago,Prisha For kids,UCcpR2qy_tQl5WO0cnZj1MnA,1,https://yt3.ggpht.com/uKQlfM8mrwJbB9a0ZxpdStmgY_61wmgP5uHpKqxqtAi6fX6t92APNHV599chy_PU8nAIhR2iTY8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmjlGeZFI7QcbiPzN4AaABAg,chinese stock investing advice please,2 months ago,Syed Moin Doja,UChQHRqCgAjUfGRq3Wd41qbw,0,https://yt3.ggpht.com/ytc/AKedOLTq7Hc4K-CrpDGV3Xq98xB-XaGaHYUYTM5jLg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyyAmwn_IjFlBKf6Z4AaABAg,How do u invest in Chinese nd us stocks which platform,2 months ago,Alok Jain,UCCwScZrRlFwZoMH_9sqoyuw,1,https://yt3.ggpht.com/ytc/AKedOLSqnCLqOPETebS4LSDe_ziZNz3aTg2dfj5bMA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbX9yPF6xGHOgrGvF4AaABAg,How can a new investor invest in Chinese stocks? Would request if you can guide,2 months ago,Ananya Sharma,UCIDFZ6WBi-5E6AeOhYq8uig,1,https://yt3.ggpht.com/ytc/AKedOLTduo5r6I6QlHe-epcUYbma4NfTC7OWP-G7iQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzgttzvk2CeaWlPF_d4AaABAg,"Nice Video - but a question : here u say paytm is good, later in another video u say paytm is bad since it incurred huge cost for educating customers which benefited Gpay",2 months ago (edited),life is beautiful,UCHPcd2-MLo5oxIJfpk7Rn2w,0,https://yt3.ggpht.com/ytc/AKedOLTcuq9A61KLzo4WqibP4FLrzGhlUwT3bhrFc-wh=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbV9uYxo6LAyRzMPJ4AaABAg,Instead of making daily making one video daily and confusing people simply advise them to invest in top 10 to 15 top quality stock from diversified sector to earn safe decent return. I know all tuber making video will never do this ie they will not close their shop. They will keep confusing people on daily basis.,2 months ago,pn tiwari,UCEGE8UctS8WsN0NxgstsAVg,0,https://yt3.ggpht.com/ytc/AKedOLR8aIAmslEFg5u-AWEnwCwBRtPq2Zey6WuAGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnGilhKZ4g61q5XgF4AaABAg,Hey Akshay please make more videos of Chinese stocks,2 months ago,Nishant,UC4X7-t5hk508RF1oOgekmVw,0,https://yt3.ggpht.com/ytc/AKedOLSSUBkEzDguT7jtA9X14tb7LpPnDgU0Pbdc1P_Y=s176-c-k-c0x00ffffff-no-rj,0.0
UgygP2fYKpJ86p9Q2wR4AaABAg,"I have come to realize trading digital currencies is more profitable than holding it and waiting for it to skyrocket😊. I’m so happy now I have been earning ₹16 lakh returns from my ₹76,000 Investment every 13 days.",2 months ago,Sriram Ghandikota,UC42a3uw4Uucx2ELqAzIJaEA,53,https://yt3.ggpht.com/ytc/AKedOLSEi2kZP2KVjn66QmEdT2sJrQUrC6DqkwS-s2FeqQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyky7S-xNA8r4CXO_B4AaABAg,"Forex controls a huge part of my passive income I invest big and my profits are even bigger, courtesy of my broker Mrs Katherine Flores.",2 months ago,Memphis Ginger,UCL__uVMM_7l7mHIbTpprtCw,5,https://yt3.ggpht.com/cu_pPBoZVesbOhXcjXgQZxXdPDCsNl1F-jy25Bck4Crg_xsBp2p9fqpuSM3LNOF6HlQlFTsagVY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyf_7WoRJXFt2r9QH54AaABAg,Paytm? Seriously? I believe every single tech stock or new age start-ups in India is overvalued and inflated by volumes,2 months ago (edited),mad_titan THANOS,UCoW2kwO_3hI16F-zz7q-4bg,0,https://yt3.ggpht.com/ytc/AKedOLQUL2kgvSl_qe5Njj5laoyGJlci79rKxCaVxM3oeg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZNww1R1hkS4w_Qg94AaABAg,"China's phenominal growth is actually amazing, considering it's a non-capitalistic economy. And the prospect of overtaking the US - an out-and-out capitalistic economy - is even more amazing. But the fact that it's an unscrupulous economy, to put it mildly, coupled with the facts that it's too protectionist, has a very expansionist and usurping mentality - makes me feel that its economic success is only ephemeral, and I really doubt it will ever overtake the US. In fact, China had better start preparing for India overtaking it. And yes, don't touch Alibaba with a bargepole - it's on its way to self-destruction.",2 months ago (edited),Rohit Joshi,UCPIUrZyboFN8cNN4xI5jJdA,0,https://yt3.ggpht.com/ytc/AKedOLTp6f6TKDZD19SD_khyK6JqhRuC4NOmYM_tfaC_Nw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxyty5aFBPs5V94R6Z4AaABAg,"Not 90, 100% crash is coming! Let it be next heading",2 months ago,Movies of Chackojaison. Real life and Nature,UClbJ39SFUgPdr1ZOQRpYQfw,0,https://yt3.ggpht.com/5LUaWFYoqr05pfVa_4YtA8fZvOdEXGxFggUoAM-oYH2W3REIo94E2Svs8JqSWu5237vtfvvX=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmF4BdO1d99VxN3U94AaABAg,"@akshat , do you invest in Alibaba on NYSE or HKG?",2 months ago,udit pathak,UClC71QZRoPA5coLGxSAOMIQ,0,https://yt3.ggpht.com/ytc/AKedOLQjpHUvex3FY4S8EUOqjfm9ApH_LF3k41rBsw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrOaQoPBZtYNliOVh4AaABAg,akshat kindly make a brief video on chinese stock,2 months ago,tanmay majumdar,UCpYfZ33mMZEZzO5EKGDM_DA,0,https://yt3.ggpht.com/ytc/AKedOLT4VYbQCM-8AhCJ3KIafgVY1RzPq9CW_FG8Csvy0A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNUZuOK9JDyx0Zb-14AaABAg,How about NASDAQ?,2 months ago,SUNIL NAIR,UCGbiSIOyHpAUrSc3PFXLh7A,0,https://yt3.ggpht.com/ytc/AKedOLSMvRDHoM2mOCNYiTtnUxldrsus82dkcW_P=s176-c-k-c0x00ffffff-no-rj,0.0
