cid,text,time,author,channel,votes,photo,heart
Ugy0fpfKlU_IxXxx8bV4AaABAg,"►StockGro is India's first social investment platform, empowering millions of Indians to learn more about trading & investment in simple and effective ways. 
You can experience stock market in a live yet risk-free manner and win big cash prizes by participating in trading competitions. Download the app now: https://stockgro.app.link/akshat
_____________________________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►For personalized classes on stock markets, please check: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",3 months ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,27,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzaZoBs4Dal8QJ-Md4AaABAg,"Yes, please make a 3rd part for this",4 hours ago,mahesh d,UCOqDJsJPjA2m-c08DezBCUw,0,https://yt3.ggpht.com/ytc/AKedOLRwdCjKq592oe2RJBVZLJ8Zt0EHnhwqz4JB=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1bzmAhH97YAJ2q314AaABAg,Thank you for sharing your knowledge and explaining in such simple ways...truly appreciated...thank you,1 day ago,Srikanth Bandla,UC932tYsevViaEdlDfIVjQbw,0,https://yt3.ggpht.com/ytc/AKedOLTJHfeCnPsJR8e6Rsxlr1fQ7PpsAC9-5rLanv1NBg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiYEIR1OeoNPbkfC94AaABAg,"Strong ""X"" = Marubozu",6 days ago,Manpreet Singh,UCxnmIQ_kc0ZFA4RuXsdZy4w,1,https://yt3.ggpht.com/ytc/AKedOLSHOZuA1lVwGkXrjiO_BhmAZ2dy8wUopWd2cXfT=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYXGlI5ikcTvS62IZ4AaABAg,Amazing video! Secret content is available here openly!,8 days ago,Rajat Bandejiya,UCsg9jrhQfeEnFxjPF1TT3UA,0,https://yt3.ggpht.com/ytc/AKedOLQPN3RUZFgGXBLE-zywKc4jEm7QJu272EuoCjRfZa0=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZzXJYlONSGjWSuKJ4AaABAg,"Thanks Akshat, thank you for your continuous assistance",2 weeks ago,Abhishek Paul,UCaE9qLYMtDBCkEXXTdniCQQ,1,https://yt3.ggpht.com/ytc/AKedOLTQpQpHbf9uLB0vfN7U8WW4v-sV1Vm7_46PLg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9EwsY3xEwM3N1uul4AaABAg,Super duper advice 👍🙏🙏,2 weeks ago,Pc San,UCQLOOb2M5OkMz3XIqxMJtww,1,https://yt3.ggpht.com/ytc/AKedOLSd4OyH2_kHO-hTvLYxC5CEvSWUb4y6fCKiZ8Gi9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNwnU7XHQeWA3B5WB4AaABAg,Candle jokes were lit,2 weeks ago,Antony Peter Mannaly,UCkqMRCoe5goG_wdWFar0WeQ,0,https://yt3.ggpht.com/ytc/AKedOLSyuiUm2EJBM3ns-dN2i9XpNQm6i6fs_EWpxGrQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvGAyqK79uJ85ZUBZ4AaABAg,Excellent video sir,2 weeks ago,sureka g,UCAWYlZ_fPkXoHU8NLsYIx6Q,0,https://yt3.ggpht.com/ytc/AKedOLQ5FH99QRaeIrT6TYfSOW65yK2cJqO5l1ZdOHvL=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtPdvhoi32tNgpfVR4AaABAg,Akshat ji u r really great...,2 weeks ago,Ganesan Sumithra,UCWG6Krb8ylj7vU5iJngSBAg,1,https://yt3.ggpht.com/YFSyoSselysQBvNChtoA1lApy87UgJLi7blYZVe69BgkGMzSeUfqpC-B0RUioSwsWvH6akzHKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFf-p2N2vEYBA3SaB4AaABAg,Very informative,2 weeks ago,Rohit Chandragiri,UCiiKbqDgD-pjXW5xUqsLNvw,1,https://yt3.ggpht.com/ytc/AKedOLQrCRJUEb2vDP_5SMMGY9wRwCu9mEvDUr46aKuLkxu4UBTWgkW9tXc1By4TT691=s176-c-k-c0x00ffffff-no-rj,0.0
UgxH0lT4OoRGhAI3pg14AaABAg,"Superb video Akshat. Trend lines are powerful concept in trading. Just like you showed, great returns could be made from a strong and boring stock like HUL, thru thorough knowledge of trend line concept.",4 weeks ago,Abhilash Nandamuri,UCl26VSB71mEniAKY1ocx6cQ,2,https://yt3.ggpht.com/ytc/AKedOLRIEaEeTxFVIOBOLXIKPUYo28P6pDEvk28y7_eBXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuRpE6WuxKECwHKwB4AaABAg,"Mezoburu candle, 
Need 3 part.",1 month ago (edited),Manoj Kumar Das,UC2NB6ronxAGsMl3kzlgwABA,1,https://yt3.ggpht.com/ytc/AKedOLS1znOu6QqjcZgl3Brgt3RaXKuMvCSw68c5LnK6=s176-c-k-c0x00ffffff-no-rj,0.0
