cid,text,time,author,channel,votes,photo,heart
UgwTiTU5QbW_BcMLIch4AaABAg,"►For personalized classes on stock market, please check [Last few seats left for March Batch]:
https://wisdomhatch.com/",1 month ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,2,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYt3WJlH-S1gZEE9x4AaABAg,Sir fir kahi baadi firm wala kahenga ye banda stable nahi hai same addicted hai money ke liye kar raha rather then kabiliyat ke liye,7 days ago,Smarty Zaveri,UCrWMlVMOKb4Kc8rKZ88arxA,0,https://yt3.ggpht.com/ytc/AKedOLTpazFs7_9v7SyXedBkbdwFwnZz30qCvp_hogJmCYS6O1q5Wc05tpFZF4igJW8C=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWC_bh8iu4uGVbmKx4AaABAg,Switching Jobs are very risky. Every management has different rules for Employees 😷,12 days ago,Rocky Yalcin,UCNSSoYt4gJ_rd6WV6e0S49w,0,https://yt3.ggpht.com/ytc/AKedOLSJCr2S0bSCE7U3kjWy0wpbCSjlYPYPnRGdYSEtDg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzunW-QFtFc5KINK4p4AaABAg,Disagree.....dont make assumption .,2 weeks ago,Tejas Vaidhya,UCXJpHRi_DQ1Q7eVvMqM-WVA,0,https://yt3.ggpht.com/ytc/AKedOLRlFG3iqHE2d8uA501BRCjzY8UimDbSFrAw_w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4K4IWw2XcjPTf4n94AaABAg,"Thank God, I am in one of the big four companies... The learning, hike, values and ethics are really good here.",2 weeks ago,Sigma,UCJJjIZCsozIBYRl4RZALfXQ,0,https://yt3.ggpht.com/4KJBWKxpgBsY7-ua0qeix_fJov43szNhCnw_rfqHzhDzC0wAFn2_oJ4Ub8kfhoDqURUFOn09ow=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQuniqVLrOv8J3o1t4AaABAg,In IT no one switches for less than 30%,2 weeks ago,a013x Gaming,UCOBbJTkHo4MWPrlMXn07aRA,0,https://yt3.ggpht.com/ytc/AKedOLQk4KIRIbX3S7-pZnb6wbPJLwFouw5yUXZgEA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-j9uJWor-u1n9Yxh4AaABAg,8% annual attrition is not high. It is very good TCS,3 weeks ago,P M,UCp--SKtH0k61u1H64VgMI5g,1,https://yt3.ggpht.com/ytc/AKedOLQY03gFmPZnBrX5ndWOmKVtyk2iCLn_I4KoFQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwF9wXhAfYy5RP9vWV4AaABAg,But what about those who work at govt jobs /PSU's? This flexibility is not there. Also getting into govt / PSU jobs is also highly challenging due to huge competition,3 weeks ago,Sohini Chatterjee,UCCan8OzYvzHroKevS3q1iDg,0,https://yt3.ggpht.com/ytc/AKedOLQqnDE-EEb0laKFBjl3TxOBCXHwqIos-a3TtYNfKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwESaTovCMsWKgqIlF4AaABAg,Is it applicable for Government jobs. ???,3 weeks ago,Prem Hub,UC6UHM2dUVt6v-w6hKchpLSA,1,https://yt3.ggpht.com/ytc/AKedOLSvhXYiDk7ZPV8hirgixjrvux1jMtNhnhzrFA3_x6XKCWn_-kZc198C_NNilF2H=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw58s8p5SL_pDlMGAF4AaABAg,Add big 4 firms to it attrition rate around 23%,3 weeks ago,Lav Agarwal,UC9CoRYnB1BURDqQ-ejEgHJQ,0,https://yt3.ggpht.com/ytc/AKedOLTEM4z2WZa-W6di6c-wtwSFxKGcX9vSXHGsMvCs=s176-c-k-c0x00ffffff-no-rj,0.0
