cid,text,time,author,channel,votes,photo,heart
Ugx_kZ1Lf8UP8o6pRMp4AaABAg,►Business Analysis/ Management Consulting course: taught by me and an ex-McKinsey consultant: https://wisdomhatch.com/management-consulting/,3 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,4,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgznsmB6UZVgXKQqU6l4AaABAg,This guy is crazy he excluded delhi lol 🤣. U r right on what you are saying. But stop running a propoganda.😂😂,4 hours ago,Sujit Sarkar,UC6xq6RhcxDLmH7ryk2RdPDA,0,https://yt3.ggpht.com/ytc/AKedOLTjz7FmQ-cRX541k3nFiRu4nFmAlwHrDkDOCI9AFQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxPWLz1G6hgkTs-bh4AaABAg,"Ok the freebie bosses of political class are AAP .. did you intentionally omit them? Free laptops seriously? Did they say they will give it to everybody, do you have the exact no’s how it will impact state’s budget.. half baked knowledge just for videos and politically motivated.. I’m sensing next Dhruv Rathee in making",13 hours ago,Rahul Sharma,UCf8UZTFvbfSRHqgcnonUBvA,0,https://yt3.ggpht.com/ytc/AKedOLR9FF0lcH6UuPiyeupOiXxu3dFfB4XJrSxC=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjlB-mzwmFiIePlCB4AaABAg,Bro why did you not add the freebie king Kejriwal? Dilli jal board is in incessant losses.,14 hours ago,Sarthak Sharma,UCvSYQ4_-3mbQKZWqXjmSwhw,0,https://yt3.ggpht.com/ytc/AKedOLR5LsthGYCkK55LOkbPE1RvVkmAVCgD9yShbSkxnQM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzj2zzuylzSsC6h2Ht4AaABAg,The money can either come from increased taxation or reduced corruption.,15 hours ago,Naman Kukreja,UCmq2qRYtSIF0T54QlcR6Hzw,0,https://yt3.ggpht.com/ytc/AKedOLSAPlwP_JheQH9iv_m8JrMujeTC8hkkqK-WSG7e9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHBrF3_PuGPOlk_jF4AaABAg,You haven't mentioned Delhi in this chart,18 hours ago,Aayushi Saxena,UCyQGsvd7X5uelqa_E_MvQiQ,0,https://yt3.ggpht.com/ytc/AKedOLTSvi5MF2bOaKQW0HvJxtHfWAtjOaXWIb5TSsZqGA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7llfW3j6Ab32rpXF4AaABAg,Janta Jb Aware hogi tbhi kuchh ho skta!,22 hours ago,Aditya Andy Tiwari,UCvPlsFK_zTiQCb1swc_aYTw,1,https://yt3.ggpht.com/ytc/AKedOLQQks3IwILvbPikNurQSEP0t9tWS4mE14oKN62WMw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsshpPaDtbO5hrET94AaABAg,"So true, we should remain vigilant and not fall for freebies.",23 hours ago,Gunjit Kumar,UCzbrRSVLfkSTRwvrTUdSjhw,0,https://yt3.ggpht.com/ytc/AKedOLSAk7bvamUsPGI_tIcMSCasjQ9whBIU6zft3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHFNpguyWnw45tcxx4AaABAg,THIS AKSHAT IS ANTI INDIA BASTARD.  HE IS WORKING FOR FOREIGN INTERESTS PRODUCING NEGATIVE VIDEOS ABOUT INDIA. ALL COUNTRIES DO THE SAME BUT THIS BASTARD WILL NOT TELL YOU THAT,1 day ago,Ram Charandas,UCAloOzhQAekqwh-L34pyu4Q,0,https://yt3.ggpht.com/ytc/AKedOLSlDjsXRR2yjjHCiZhykGdlAc7Wamy8s49S0A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKypzgcar-MIUkHHB4AaABAg,"Free things must be banned legally by law, otherwise India will become shreelanka tomorrow.",1 day ago,sachin rathod,UC790Gi9L3PtmoZEpmrJxNGg,0,https://yt3.ggpht.com/ytc/AKedOLTP_vl0J7906XSUxcWWThoMqdwvWaUyuGj2Ug=s176-c-k-c0x00ffffff-no-rj,0.0
