cid,text,time,author,channel,votes,photo,heart
UgwddTT7EBQVrezgfWF4AaABAg,"►Check out this exclusive offer by Vested ($10 credited to every funded account who signs up using this link) : 
https://app.vested.co.in/signup?state=referral_code:AKVES100
_____________________________________________________
►I teach about US Stocks on my course, you can check it out here:
https://wisdomhatch.com/",3 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,8,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgznjOSRQxgm3Degh1Z4AaABAg,I bet no one has made more from investment than me since last year.😃,2 months ago,Cooper Smith,UCI-UdH76T4-71C9xJKHyVvA,61,https://yt3.ggpht.com/ytc/AKedOLRjIDLqlZYyFA1YZpSLnUDHOhqhJ8lMzn5Iky21=s176-c-k-c0x00ffffff-no-rj,0.0
UgxV_HVcvNFG8-OhNMV4AaABAg,"Hey Akshat I am never able to understand if investing in an ETF is better or stocks in US markets. Since ETFs have almost all major stocks and ETFs pay up dividends as well. It will be great if you can break it down. Thank you for all the content, helps a ton.",2 months ago,Murtaza_Fit,UCNYJyjL8byV6L98X-7z_rdg,1,https://yt3.ggpht.com/hiZD_gI_5HZYf8mVE9yk-g6xbe1CzfiOCvAplMIGGGo-wLS76y_VlI2eCIpeZp3L3t-suSi06zY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDqZENMU_9LRalPRl4AaABAg,You had said and supported the vie of Ray Dalion  that he has reduced investment in tech stocks.,2 months ago,Ramesh Vedak,UC8AlkiDPCKgvJ5nXPUKtdbQ,0,https://yt3.ggpht.com/ytc/AKedOLRhI2ISspnJvuRgoOo0fCWivEUnEt5_w-mF=s176-c-k-c0x00ffffff-no-rj,0.0
Ugya0Nibo-sMmTK6TuZ4AaABAg,"So, is reliance on its way to become Amazon of India?",2 months ago (edited),Rahul Mehra,UC2Q81O9bXfX92hp8SfczJ8Q,0,https://yt3.ggpht.com/ytc/AKedOLRmE0WU53QVRMMhVVtBfv21MA4YKvKgFDdBfMZdvQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy56HtOR7BJ9-vAdvp4AaABAg,Not relevant as Apple's worth is after 45years being in market and GDP of India is one year . So Apple maybe need another 4500000000000000000000Years to come close to India 😬🤣,2 months ago,rduhoon007,UCWWjLKGld7hy5Y8XGHGELIA,0,https://yt3.ggpht.com/ytc/AKedOLRshNhJHzFtFgN9VPdE_k5GecTvpxzKSObc7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR4LlRnFYQedcjPyd4AaABAg,Please make a video on how retail investors can invest in startups in small amounts,2 months ago,Kush,UCKfJ9Cp5jr_hYyirM2gETrQ,1,https://yt3.ggpht.com/v1atzkNpVNcuDnKSiHP_o-3zxW3ntLau6T6A_UooMAPuA-03Qg-T6VAviNkrt11Rz8qqQnSWfg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4kdzmKGjrvloUFVV4AaABAg,Cheap labour is a key point for tech companies like tcs to move them forward and make them irreplacable to big tech companies in usa.. Otherwise they would not be abLe to compete in price!!,3 months ago,Rahul Shaw,UCAnyD6boQaDWQ4yzzks_n4A,1,https://yt3.ggpht.com/ytc/AKedOLTuLUpeYY0dUqjA77KxoIcZ95dM8iES0ExD0RX1XA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzu2wuYxbDRxUP3m0V4AaABAg,"Hi
Pl prepare a video in Indian monopoly stocks",3 months ago,Prasad Macherla,UCU_Yu0gxki8V-pTisXGqGyA,0,https://yt3.ggpht.com/ytc/AKedOLSRvGcgfC9zTXG3BxByEuVUA7BI5g9eZFFpL13GfHPSi0BM4TNV3A7fM8BKLerj=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSf1keMXATFreu7md4AaABAg,"https://youtu.be/qgFaOB-pNMU
Hey Akshat, in the above video of yours, you told no- FAANG stocks. But here you are talking about Amazon, a FAANG stock. I am confused.",3 months ago,ANEES AHMED,UCcRzyNAuNnMTA4OJvSXoOpA,0,https://yt3.ggpht.com/ytc/AKedOLScmCDuyQRw2Li6nkScbZedAKvM7VRt6KLDYCDKmg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyE1eY62jIUSNxxWdF4AaABAg,"How do you invest in Indian stocks being in US, isit legal?",3 months ago,MyOwnChannel,UCy_G7oAIOlljhrAjxIdiF9Q,1,https://yt3.ggpht.com/ytc/AKedOLTOUEv6EJfoGW9lUOB-WOwmHGc4PTmcP5z1oQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLe_NaT2HzRxuHhRN4AaABAg,Isn't reliance a probable tech giant in india,3 months ago,Ryan Dileep,UCbqkQ9kdvGgtBnNK9_5HqHg,0,https://yt3.ggpht.com/ytc/AKedOLRTiCQ0D8LOmWILPvLqljLhbjdVDEJFFK3hzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDYfSrveGtypCgJBt4AaABAg,"Reading about people grabbing multi-figures monthly as income in investments even in this crazy days in the market,any pointers on how to make substantial progress in earnings?would be appreciated....",3 months ago,David Fred,UC3im4og61aSZeGlqpR16aFw,32,https://yt3.ggpht.com/oA6mSYHicW9E4AAZKaQ5YmRC_LRXyS9cc5Q2HqisZH8CzeQAf8NpTr5TAlJQYu9tqMkG0nrPrFY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAG3jAi_mraZy8eRp4AaABAg,Well I have a view that the market cap of apple is 3 trillion dollars which took years to be built but India's GDP which is Goods produced by a country in A SINGLE YEAR SO here is the difference 🎉,3 months ago,The Curious Guy,UC7y-2nJ-_YFiwt_VoMwzBCQ,2,https://yt3.ggpht.com/ytc/AKedOLQVRlHI_zYy3E0mfeBC9L5EFWFqrpJ4qTp50QN9aA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAz36xoHRVR_JGv394AaABAg,"Hii,is it possible for NRI’s to use this platform vested?",3 months ago,Prajith Ponnappan,UCNjTybOrE_xdBRfdN25NsLA,1,https://yt3.ggpht.com/ytc/AKedOLR8v7pcs04f_G3c5iLNck2Vq9OrIHFF2_mvhfgI=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSqjm_oAeqGNWDQ5l4AaABAg,"Thanks Akshat. For tbose who cannot or do t want do direct US investing, please suggest good etf or MF route to invest in US tech.",3 months ago,Prasanth Pathiyil,UCM15I0gY8dZ3oqs9MAO3RhQ,2,https://yt3.ggpht.com/ytc/AKedOLQxhCI34JrQHNyBMmkHHWEYu890iwNlvasb6g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwkh_DydahCCmhfXzd4AaABAg,"Hey Akshat, completely satisfied with your analysis that big tech companies will remain big for substantial period of time because they have access to wide range of resources and can use them efficiently........Thus on the other side they kept on acquiring emerging companies and literally wipe out their competition......so conclusively we can bet on monopolies and can get sense of being  big giant",3 months ago,PRANSHUL SAXENA,UCimasC3luilXLHY6_pMgf6Q,0,https://yt3.ggpht.com/ytc/AKedOLSq06UOq8ooL8Dz3hFKbG4QZaxYrlO2IxN14mnvBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEylSa7LlC6AlWyOF4AaABAg,Hey Akshat! Can you do a video on spinning mills/fabric industry. All stocks in this sector have given massive bull run specially the stocks like PASARI & DIGJAMLTD. Do you recommend investing in these stocks.,3 months ago,Suhail Bhat,UCjYefyAWl2QtEFPJ8krK9ZQ,0,https://yt3.ggpht.com/ytc/AKedOLQkIZNNNoaE5ID5CITX4nTulE61HNi7D9EWSU5r2g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzxata6Xwzi-1FDVw54AaABAg,THE GDP OF INDIA IS OF ONE YEAR WHILE THE APPLE'S MARKET CAP IS WHAT IT HAS BUILT OVER SO MANY DECADES,3 months ago,Aryan,UC-mSq-N1SINLl11BKjuseHQ,0,https://yt3.ggpht.com/ytc/AKedOLR8ULoPxwEPROdt_EOf2xykRbIXoa0tpGmbi0EHEw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxb0ErnhS99156Zd1p4AaABAg,"No, 3.1 trillion dollars India’s GDP",3 months ago,Aswini Sau,UC0O2fSBpkYS0RQHaMn48Aww,0,https://yt3.ggpht.com/ytc/AKedOLRImOx96YzLU_XRkoE4-pt_yN6PEZC3o9I0pUecxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwddTT7EBQVrezgfWF4AaABAg.9WzNV4h7VGh9WzNe-zqsTX,Sir would you like to add my music in your videos ?,3 months ago,iSHAN BeatZ ♬,UCHTglPJz71JyjHbQJObGw8A,1,https://yt3.ggpht.com/hHn1YpSWBAzvWdU-hSU6d0qebDwXfZqbDYqA19XBMDU8dHNgfOroOtBG2FTZ8WpUaxNMx6bo8WU=s176-c-k-c0x00ffffff-no-rj,0.0
