cid,text,time,author,channel,votes,photo,heart
UgwzbcV3NeAsf9moEAB4AaABAg,"Folks, I can't explain everything on 1 video-- will make a separate video explaining why I did not buy via ETFs and used Passive mutual Funds instead. 

►My LIVE COURSES [Enrolment for June Batch has begun. Filling Fast!]:
https://wisdomhatch.com/
_____________________________________________________
Check out these index funds for trying out swing trading:
►Navi Nifty 50 fund: https://navimutualfund.com/navinifty50indexfund
►ICICI Prudential Sensex Index Fund: https://www.icicipruamc.com/mutual-fund/other-funds/icici-prudential-sensex-index-fund?utm_source=google&utm_medium=cpc&utm_campaign=&utm_adgroup=&utm_term=&utm_network=Search_g&utm_matchtype=&utm_device=c&utm_placement=&utm_content=471783804888&utm_Adposition=&utm_location=9061692&utm_campaignid=9566765272&gclid=CjwKCAjwrfCRBhAXEiwAnkmKmUdGR4pNjGUdu-v78v4KAIUPOEfx9m6Q_t5qO5tvOHDOH4BDbiCLyRoCaC8QAvD_BwE&gclsrc=aw.ds
►DSP Index Fund: https://invest.dspim.com/mutual-fund-products/equity-schemes/index-linked-equity-scheme/den50-direct-growth",3 weeks ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,47,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWnUXl8b3JuGjWYap4AaABAg,"You speak non stop without pause makes it so irritating. Take a pause, don't be boring.",3 days ago,Dr Bean,UCGDcEzOXXo8jevvVNkM2fMg,1,https://yt3.ggpht.com/ytc/AKedOLSltHYCGIZm234_VRD7vCjhCBd49hd2FN0YDkTvu9u-aPk-BTAumBmRRmJbNKsM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhhcKHX2L_v5Q2xD14AaABAg,"What’sapp✙19206816960

More updates on XRP,NFT’s,BTC.📊
What’sapp✙19206816960 

More updates on 
XRP,NFT’s,BTC,📊.📊",3 days ago,J. Bravo,UC9tDNKrSn7zGVtUTHrqZMVg,0,https://yt3.ggpht.com/RWoczeAoSlVq2Y7Vsnp-fK8svLJNVfaxttO9_QBBtPUYSgAzLO5D9VO2jxZ2Twy9Z-QGitPc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4QItTSGhBVKDgdR94AaABAg,Which platform do you use to make trades the hi looks good,5 days ago,Kartik agarwal,UCgkwmF-m6tMZRkSia3Jo4DA,1,https://yt3.ggpht.com/ytc/AKedOLSzZfIqdtDnWGxdboQ_BF22Y9CjP0aOVuAm0t3uOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyITJuOFo2gaDucPkl4AaABAg,why not use niftybees instead of these mutual funds ?,5 days ago,StarStalker,UC7v-yKYyhjqErtWoALY6MGQ,1,https://yt3.ggpht.com/ytc/AKedOLRUGNMrTuatvtuzb5or2frXeWMrJWu1cHzSymGP=s176-c-k-c0x00ffffff-no-rj,0.0
UgzO8KWQd0_aUQ2sZpZ4AaABAg,Where I can make swing trading on mutual fund,7 days ago,kshanatosh das,UCdPQ2xjjQeqyKYZfg1S-I5w,0,https://yt3.ggpht.com/ytc/AKedOLT9pnR4PhQQ-2kIpVL7zX5oMXFYTdeONcFN2g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzu8GfKFjC0mjOCZQp4AaABAg,Shandar👍,11 days ago,Aayush Khandelwal,UC-x-P3UizZbO6KP382gX0zg,1,https://yt3.ggpht.com/ytc/AKedOLTygHlwKYJzWxI7jSO7VIctTL_40RAE1Kwb6qRZgw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2eNw_FHkSZ-h8cYx4AaABAg,very good and safe,12 days ago,harish gupta,UCdUdFCA5sxmwj6CrJGbcGAw,1,https://yt3.ggpht.com/ytc/AKedOLTRCJkm7NKaP3WRTb1FshWaVjcWY7n0FoJd5C9NUg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6cKZo1Sj_ZC3-FGV4AaABAg,"Hello sir , How about copy trading and what is statergy behind this",12 days ago,SSS Media creations ,UCqHjeL8ybOKARzDfpBUdKwQ,1,https://yt3.ggpht.com/ytc/AKedOLQ0soHghRbJVNNoS7IUzXwn7LJ7uDWiO0EnOoX-i-GaMr992pxBCSYj1cz-M4En=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuhhodBXK3tph39o54AaABAg,Why not nifty BeesETF instead of index funds?,2 weeks ago,divyanshu srivastava,UCLxkXcj9Lt1G3O8nzozyqMQ,1,https://yt3.ggpht.com/ytc/AKedOLQ2vt0z39FAnyOsbf60ofL7IT3kX2Dnob6Ay4IeGw=s176-c-k-c0x00ffffff-no-rj,0.0
