cid,text,time,author,channel,votes,photo,heart
Ugy2Nb3eXzJlo0iZyNZ4AaABAg,"https://wisdomhatch.com/management-consulting/
_____________________________________________________
►Get 50% kickback on your trading fees while trading in Cryptos, check out Vauld: 
https://mobile.vauld.me/Mr0X/Akshat",11 days ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,10,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxF1vH7Taq_3fTQZHl4AaABAg,"BC
Kya sound he be ye.
Kabhi up kabhi down",1 day ago,Paresh Chocha,UC04FKxnZIYZ_mTCnUzQlgxQ,0,https://yt3.ggpht.com/ytc/AKedOLRA5l2p4oQUcLvBenftfOAAXIyuLuXbnpFNUNGT=s176-c-k-c0x00ffffff-no-rj,0.0
UgwH_TDP9mahlrmWZdd4AaABAg,"Hey Akshat, thanks for the video. However, do note that taxes would be applicable even if you transact on a decentralised platform or exchange. Tax liability isn't absolved merely because it can't be tracked; not paying taxes will tantamount to tax evasion",1 day ago,Rohan,UChucCHx-_FszEUT9c01DliA,0,https://yt3.ggpht.com/ytc/AKedOLRWbwWdW5yF6kgDLfR_yFR4UzOASrecfhmrlPIPIQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqMAA1xB-v8rvQ_AZ4AaABAg,Make a video on using metamask and other decentralised exchange and how to withdraw money fortm them,1 day ago,Deepesh Kataria,UC9RvANgaD98gJKEbf1b96IA,0,https://yt3.ggpht.com/ytc/AKedOLQRhGMFBSXXrKahXu8rQo3JwNF55UY9OKSojg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcGbrc5chOKWqIr1d4AaABAg,"What’sapp✙19206816960

More updates on XRP,NFT’s,BTC.📊
What’sapp✙19206816960 

More updates on 
XRP,NFT’s,BTC,📊.📊",3 days ago,J. Bravo,UC9tDNKrSn7zGVtUTHrqZMVg,0,https://yt3.ggpht.com/RWoczeAoSlVq2Y7Vsnp-fK8svLJNVfaxttO9_QBBtPUYSgAzLO5D9VO2jxZ2Twy9Z-QGitPc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxp2Cd3QZdwFXniVrh4AaABAg,"Hey Akshat
hope you are doing good. How to contact you?",4 days ago,Brajesh Kumar Tiwari,UCp2d1TZuUROsuXHRXjjYP8g,1,https://yt3.ggpht.com/ytc/AKedOLRdACgNMcowsq9dlb5HkZ-Ap5r8fwjB8gdppA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLdOkp7iw1_QudMfp4AaABAg,"Thanks for your knowledge sharing session for crypto currency..

Can u just guid me to how buy and where to buy Rubel of rassia from India ?

Thanks in advance and waiting for sweet reply...",5 days ago,Dipak Kasundra,UCAopLrovJ9lrR5HKQnv5Kgg,2,https://yt3.ggpht.com/ytc/AKedOLSLYviXtm8znavBldccUwz8N4X96scd-KjPZHKt_M4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-_E3OTgxNIbGSpwh4AaABAg,Hi Akshat as crypto are taxed at 30 percent and as you said vauld is semi centralized so the returns on fd will also be taxed at 30 percent right or wrong if wrong can you explain it in short,5 days ago,Arko Chakraborty,UCel6gCOdLj9fI5FgRYugvmQ,2,https://yt3.ggpht.com/ytc/AKedOLRDmlMYG72_qpApLafKqXf3OxcClCwBEwozBv4oEQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9Ck5K0rX5Df1oH_B4AaABAg,Hi what are your thoughts on Crypto trading bots like Bitsleader?,5 days ago,Anuj Sanghavi,UCJLZ1pzUlXYN9ubmW8siKSw,2,https://yt3.ggpht.com/ytc/AKedOLS4L4j2Hbou6R4VjYTpTlg9TekZuJZPoSioLw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5rVROZ0SalzRwEw94AaABAg,Please make a video about how to save the 30% tax. I am already staking altcoins for long term and want to know how I could withdraw them as USDT when time comes.,5 days ago,Millionaire Minimalist,UCoo2oNrGlI1dNZxzYYflvLg,0,https://yt3.ggpht.com/2pfBnRrTZ6Ef1pa1tLCarF2rCSY1bntUgFSUJlxSY66w3Z8-WqVepXS36w1rxK8QQfyA51Uv9w=s176-c-k-c0x00ffffff-no-rj,0.0
