cid,text,time,author,channel,votes,photo,heart
UgzJXiQeIbJEWekmpOx4AaABAg,"►Download the Cambly app to start practicing 1-on-1 with a native English speaking tutor. 
https://www.cambly.com/en/student/subscribe?promoCode=akshatspecial
►Use Code “akshatspecial"" to get 25% off for any 3 month plan
_________________________________
►Check out our new course website:
https://wisdomhatch.com/
_____________________________________________________
►I teach about Stock market and cryptocurrencies on my course, you can check it out here: https://docs.google.com/forms/d/11xglZTe8SwGD0vh3A77Gopc-mtRR-pom-zH7fpp44qM/viewform?edit_requested=true",4 months ago,Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,12,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZgHvrHnoSBXE9GUF4AaABAg,"Hello sir, I've been working for Indian Railways as a Junior engineer(Mechanical) since 5 years.

The nature of my job is maintenance of trains and labour management including distribution of work.

How relevant this experience of mine will be of I decide to go for MBA?",11 days ago,Parag Mehare,UC7KaqpA34nhhfhLZPM8i0hQ,0,https://yt3.ggpht.com/ytc/AKedOLQK4fwVuRDZ_-URfoLcXTcwAYw6lUbrzDNRwNrj=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQP-d5OUNqbYy-8np4AaABAg,"Dynamic,brilliant.I love to learn new things. This has healed me.thanks",2 months ago,geeta singh,UCqTF-9XZMTSuKXHQ6dzGKnQ,1,https://yt3.ggpht.com/ytc/AKedOLRvCiZmg_k9ytwyRgftkxBNS1wb4c04-D8haA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPCc4l1V2eyVV4j0l4AaABAg,"Dear Akshat , I started my investment journey from 2012 approx , made mistakes & paid heavy cost for that , had seen many other person videos on YouTube regarding investing, but the way you have explained investment in stock market is awesome and I must admit  any layman can make good investment practice watching your video. What I really like is the clarity of your statement and logical reason behind every point. Keep up the great work. Big follower of you.",2 months ago,latturaj,UCwmAkTtZ7WcvQVE4TMsddoA,2,https://yt3.ggpht.com/ytc/AKedOLRJ0ZrJgZeeMV9lLmEeD15yJSGRdXw9nLsZfA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxynWE9sgsr3swihJx4AaABAg,Thank you Akshat for a Very informative video thank you,2 months ago,Siva Nuli,UCsvvQF20tX1GLgoX9l4j_mQ,1,https://yt3.ggpht.com/ytc/AKedOLRQrxsrdcZz9q2NwArjgmK0cplSPd3a_mKuoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEfzSOU0uoG8vMfRN4AaABAg,"I just found your content very informative which can be practically implemented for self growth. I join ur YouTube channel few weeks back and now after watching numerous videos of urs, I felt that u opens up new horizons to my life by adding value. Now I daily wait for content and watch during my night shift ...I wish u all d best for giving such insight and vision to the youth. Love and blessings for Zayn..",2 months ago,h s,UCmQ5A73FwgGIwCxo9uA5G9w,2,https://yt3.ggpht.com/ytc/AKedOLQckJd9wMnWtwvPEn0mTY3VvKcAcnjLJNhl7g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-B4nvPvYMIpRayY54AaABAg,"Glad you showcased what MBA actually means. It is more than just a 15-20L degree, it's all about how you want to mold it to your favor.",2 months ago (edited),Shreyas Bhasin,UC7Qv3qzMcO0iIySfeQoXSKQ,2,https://yt3.ggpht.com/ytc/AKedOLTjzIEFDN9wQJL9bKQSDECqP9U15Bef6RaxauK2EA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4WkUrhqBz0ok1Ej94AaABAg,its not absolutely free if I spend a minute to see the advertisements 😂,2 months ago,Rahul Arora,UCFJZGhl-L9I44Jnq90uEOwg,0,https://yt3.ggpht.com/ytc/AKedOLSjZbTrGF6XXccVEa8Jb00P6pNr4JeZ4oMAh6V_DCM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQ_VoLl9PqaDS6oOl4AaABAg,"No need to make video of 20-30 mins, if you could concise it within 5-6 mins",2 months ago,Ashis Raj,UCip935SnMHnJZh-T5HSNl5A,1,https://yt3.ggpht.com/ytc/AKedOLTvyPg8k4FvRoDNwsOss2Qm3PWdAbvkQT0eSnLpEVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPS0EWmOeEaohNKiJ4AaABAg,Absolutely loved this video in your entire channel. Thank you very much,2 months ago,Thiruppathi Karuppiah,UCjrZoGzyQ1Ao4VsqWlaLqbg,2,https://yt3.ggpht.com/ytc/AKedOLQUoGx56GAJhZb4-Yri2_ie1OZqUeRps2DpC9ujnw=s176-c-k-c0x00ffffff-no-rj,0.0
